regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Anhui,2038,0,19.1470512390137,1000000000.0
Anhui,2048,0,21.5190696716309,1000000000.0
Fujian,2038,0,19.1470512390137,526389168.0
Fujian,2048,0,21.5190696716309,526389168.0
Jiangsu,2038,0,19.1470512390137,939030233.0
Jiangsu,2048,0,21.5190696716309,939030233.0
Shanghai,2038,0,19.1470512390137,562001986.0
Shanghai,2048,0,21.5190696716309,562001986.0
Zhejiang,2038,0,19.1470512390137,1286513358.0
Zhejiang,2048,0,21.5190696716309,1286513358.0
