GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Anhui-Battery_Storage-11177,2038,296946.37972984696,28236.268854795515,208126.0936154934
Anhui-Battery_Storage-11177,2048,273006.37040236796,23270.973793883575,164458.14533824375
Anhui-Central_PV-401,2038,845339.4074710312,16175.598804967343,.
Anhui-Central_PV-401,2048,704967.749310975,14733.05369693839,.
Anhui-Central_PV-402,2038,845339.4074710312,16175.598804967343,.
Anhui-Central_PV-402,2048,704967.749310975,14733.05369693839,.
Anhui-Central_PV-403,2038,845339.4074710312,16175.598804967343,.
Anhui-Central_PV-403,2048,704967.749310975,14733.05369693839,.
Anhui-Central_PV-404,2038,845339.4074710312,16175.598804967343,.
Anhui-Central_PV-404,2048,704967.749310975,14733.05369693839,.
Anhui-Central_PV_EP-ep-50012,2012,1904280.0411805075,38085.6537405628,.
Anhui-Central_PV_EP-ep-50026,2013,1904280.0411805075,38085.6537405628,.
Anhui-Central_PV_EP-ep-50053,2014,1904280.0411805075,38085.6537405628,.
Anhui-Central_PV_EP-ep-50083,2015,1904280.0411805075,38085.6537405628,.
Anhui-Central_PV_EP-ep-50112,2016,1904280.0411805075,38085.6537405628,.
Anhui-Central_PV_EP-ep-50143,2017,1904280.0411805075,38085.6537405628,.
Anhui-Central_PV_EP-ep-50173,2011,1904280.0411805075,38085.6537405628,.
Anhui-Coal_1000_OT-12107,2038,727326.316060398,6672.827728208647,.
Anhui-Coal_1000_OT-12107,2048,727326.316060398,6672.827728208647,.
Anhui-Coal_1000_OT-12107_CCS,2038,986760.1332593004,24540.05848482141,.
Anhui-Coal_1000_OT-12107_CCS,2048,986760.1332593004,24540.05848482141,.
Anhui-Coal_1000_OT-12107_H2,2038,10000.0,6672.827728208647,.
Anhui-Coal_1000_OT-12107_H2,2048,10000.0,6672.827728208647,.
Anhui-Coal_1000_RC-12115,2038,765433.1365820178,7023.402539464653,.
Anhui-Coal_1000_RC-12115,2048,765433.1365820178,7023.402539464653,.
Anhui-Coal_1000_RC-12115_CCS,2038,986760.1332593004,24890.63329607741,.
Anhui-Coal_1000_RC-12115_CCS,2048,986760.1332593004,24890.63329607741,.
Anhui-Coal_1000_RC-12115_H2,2038,10000.0,7023.402539464653,.
Anhui-Coal_1000_RC-12115_H2,2048,10000.0,7023.402539464653,.
Anhui-Coal_1000_RC-12125,2038,765433.1365820178,7023.402539464653,.
Anhui-Coal_1000_RC-12125,2048,765433.1365820178,7023.402539464653,.
Anhui-Coal_1000_RC-12125_CCS,2038,986760.1332593004,24890.63329607741,.
Anhui-Coal_1000_RC-12125_CCS,2048,986760.1332593004,24890.63329607741,.
Anhui-Coal_1000_RC-12125_H2,2038,10000.0,7023.402539464653,.
Anhui-Coal_1000_RC-12125_H2,2048,10000.0,7023.402539464653,.
Anhui-Coal_100_RC-ep-1231,2005,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1233,2009,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1234,2009,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1235,2008,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1236,2007,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1237,2006,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1238,2005,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1239,1990,1065293.663349348,20486.798215511324,.
Anhui-Coal_100_RC-ep-1241,1990,1065293.663349348,20486.798215511324,.
Anhui-Coal_300_OT-12111,2038,782656.2817433081,7526.113589567604,.
Anhui-Coal_300_OT-12111,2048,782656.2817433081,7526.113589567604,.
Anhui-Coal_300_OT-12111_CCS,2038,986760.1332593004,25393.34434618036,.
Anhui-Coal_300_OT-12111_CCS,2048,986760.1332593004,25393.34434618036,.
Anhui-Coal_300_OT-12111_H2,2038,10000.0,7526.113589567604,.
Anhui-Coal_300_OT-12111_H2,2048,10000.0,7526.113589567604,.
Anhui-Coal_300_RC-12119,2038,833562.3901853123,8015.595401509951,.
Anhui-Coal_300_RC-12119,2048,833562.3901853123,8015.595401509951,.
Anhui-Coal_300_RC-12119_CCS,2038,986760.1332593004,25882.82615812271,.
Anhui-Coal_300_RC-12119_CCS,2048,986760.1332593004,25882.82615812271,.
Anhui-Coal_300_RC-12119_H2,2038,10000.0,8015.595401509951,.
Anhui-Coal_300_RC-12119_H2,2048,10000.0,8015.595401509951,.
Anhui-Coal_300_RC-12129,2038,833562.3901853123,8015.595401509951,.
Anhui-Coal_300_RC-12129,2048,833562.3901853123,8015.595401509951,.
Anhui-Coal_300_RC-12129_CCS,2038,986760.1332593004,25882.82615812271,.
Anhui-Coal_300_RC-12129_CCS,2048,986760.1332593004,25882.82615812271,.
Anhui-Coal_300_RC-12129_H2,2038,10000.0,8015.595401509951,.
Anhui-Coal_300_RC-12129_H2,2048,10000.0,8015.595401509951,.
Anhui-Coal_600_OT-12109,2038,757193.9670555936,6946.67295813315,.
Anhui-Coal_600_OT-12109,2048,757193.9670555936,6946.67295813315,.
Anhui-Coal_600_OT-12109_CCS,2038,986760.1332593004,24813.903714745906,.
Anhui-Coal_600_OT-12109_CCS,2048,986760.1332593004,24813.903714745906,.
Anhui-Coal_600_OT-12109_H2,2038,10000.0,6946.67295813315,.
Anhui-Coal_600_OT-12109_H2,2048,10000.0,6946.67295813315,.
Anhui-Coal_600_RC-12117,2038,771199.761496225,7076.319492107069,.
Anhui-Coal_600_RC-12117,2048,771199.761496225,7076.319492107069,.
Anhui-Coal_600_RC-12117_CCS,2038,986760.1332593004,24943.550248719825,.
Anhui-Coal_600_RC-12117_CCS,2048,986760.1332593004,24943.550248719825,.
Anhui-Coal_600_RC-12117_H2,2038,10000.0,7076.319492107069,.
Anhui-Coal_600_RC-12117_H2,2048,10000.0,7076.319492107069,.
Anhui-Coal_600_RC-12127,2038,771199.761496225,7076.319492107069,.
Anhui-Coal_600_RC-12127,2048,771199.761496225,7076.319492107069,.
Anhui-Coal_600_RC-12127_CCS,2038,986760.1332593004,24943.550248719825,.
Anhui-Coal_600_RC-12127_CCS,2048,986760.1332593004,24943.550248719825,.
Anhui-Coal_600_RC-12127_H2,2038,10000.0,7076.319492107069,.
Anhui-Coal_600_RC-12127_H2,2048,10000.0,7076.319492107069,.
Anhui-Coal_IGCC_RC-12121,2038,2162821.6884008236,19843.85724090597,.
Anhui-Coal_IGCC_RC-12121,2048,2162821.6884008236,19843.85724090597,.
Anhui-Coal_IGCC_RC-12121_CCS,2038,986760.1332593004,37711.08799751873,.
Anhui-Coal_IGCC_RC-12121_CCS,2048,986760.1332593004,37711.08799751873,.
Anhui-Coal_IGCC_RC-12121_H2,2038,10000.0,19843.85724090597,.
Anhui-Coal_IGCC_RC-12121_H2,2048,10000.0,19843.85724090597,.
Anhui-Coal_IGCC_RC-12131,2038,2162821.6884008236,19843.85724090597,.
Anhui-Coal_IGCC_RC-12131,2048,2162821.6884008236,19843.85724090597,.
Anhui-Coal_IGCC_RC-12131_CCS,2038,986760.1332593004,37711.08799751873,.
Anhui-Coal_IGCC_RC-12131_CCS,2048,986760.1332593004,37711.08799751873,.
Anhui-Coal_IGCC_RC-12131_H2,2038,10000.0,19843.85724090597,.
Anhui-Coal_IGCC_RC-12131_H2,2048,10000.0,19843.85724090597,.
Anhui-Coal_Small_RC-ep-1157,1990,1024321.3898421412,20486.798215511324,.
Anhui-Coal_Small_RC-ep-1199,1990,1024321.3898421412,20486.798215511324,.
Anhui-Coal_Small_RC-ep-1232,1990,1024321.3898421412,20486.798215511324,.
Anhui-Coal_Small_RC-ep-1242,1990,1024321.3898421412,20486.798215511324,.
Anhui-Commercial_PV-2,2038,1166979.0761531717,13078.0627857571,.
Anhui-Commercial_PV-2,2048,962032.1045061252,11360.224773180636,.
Anhui-Commercial_PV-3,2038,1166979.0761531717,13078.0627857571,.
Anhui-Commercial_PV-3,2048,962032.1045061252,11360.224773180636,.
Anhui-Commercial_PV-4,2038,1166979.0761531717,13078.0627857571,.
Anhui-Commercial_PV-4,2048,962032.1045061252,11360.224773180636,.
Anhui-EP_Coal_1000_OT-ep-3093,2018,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-1152,2011,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-1153,2015,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-1154,2015,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-1155,2015,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-1156,2015,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-3094,2017,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-3095,2017,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_1000_RC-ep-3096,2017,770376.9028826355,14136.763898421414,.
Anhui-EP_Coal_300_OT-ep-1206,2006,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1207,2006,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1208,1996,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1209,1996,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1218,2005,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1219,2005,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1220,2005,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_OT-ep-1221,2005,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1200,2012,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1201,2012,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1202,2001,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1203,2000,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1204,2012,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1205,2011,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1210,1986,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1211,1986,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1212,2000,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1213,2000,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1214,2009,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1215,2009,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1216,1990,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1217,1990,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1222,2005,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1223,1996,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1224,2012,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1225,2012,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1226,1999,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1227,1999,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1228,2013,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_300_RC-ep-1229,2013,831400.7326698696,15988.85724090597,.
Anhui-EP_Coal_600_OT-ep-1168,2008,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1169,2008,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1170,2008,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1171,2008,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1172,2012,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1173,2012,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1174,2011,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1175,2010,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1194,2008,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_OT-ep-1195,2008,677683.5998627316,12435.48387096774,.
Anhui-EP_Coal_600_RC-ep-1158,2015,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1159,2013,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1160,2013,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1161,2014,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1162,2013,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1163,2014,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1164,2013,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1165,2014,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1166,2014,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1167,2015,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1176,2006,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1177,2006,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1178,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1179,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1180,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1181,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1182,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1183,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1184,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1185,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1186,2009,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1187,2008,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1188,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1189,2007,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1190,2008,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1191,2008,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1192,1990,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1193,1990,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1196,2008,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1197,2008,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-1198,2008,758016.8256691832,13909.221002059025,.
Anhui-EP_Coal_600_RC-ep-3097,2017,758016.8256691832,13909.221002059025,.
