base_gen_project,retrofit_gen_project
Anhui-Coal_1000_OT-12107,Anhui-Coal_1000_OT-12107_H2
Anhui-Coal_1000_RC-12115,Anhui-Coal_1000_RC-12115_H2
Anhui-Coal_1000_RC-12125,Anhui-Coal_1000_RC-12125_H2
Anhui-Coal_100_RC-ep-1231,Anhui-Coal_100_RC-ep-1231_H2
Anhui-Coal_100_RC-ep-1233,Anhui-Coal_100_RC-ep-1233_H2
Anhui-Coal_100_RC-ep-1234,Anhui-Coal_100_RC-ep-1234_H2
Anhui-Coal_100_RC-ep-1235,Anhui-Coal_100_RC-ep-1235_H2
Anhui-Coal_100_RC-ep-1236,Anhui-Coal_100_RC-ep-1236_H2
Anhui-Coal_100_RC-ep-1237,Anhui-Coal_100_RC-ep-1237_H2
Anhui-Coal_100_RC-ep-1238,Anhui-Coal_100_RC-ep-1238_H2
Anhui-Coal_100_RC-ep-1239,Anhui-Coal_100_RC-ep-1239_H2
Anhui-Coal_100_RC-ep-1241,Anhui-Coal_100_RC-ep-1241_H2
Anhui-Coal_300_OT-12111,Anhui-Coal_300_OT-12111_H2
Anhui-Coal_300_RC-12119,Anhui-Coal_300_RC-12119_H2
Anhui-Coal_300_RC-12129,Anhui-Coal_300_RC-12129_H2
Anhui-Coal_600_OT-12109,Anhui-Coal_600_OT-12109_H2
Anhui-Coal_600_RC-12117,Anhui-Coal_600_RC-12117_H2
Anhui-Coal_600_RC-12127,Anhui-Coal_600_RC-12127_H2
Anhui-Coal_IGCC_RC-12121,Anhui-Coal_IGCC_RC-12121_H2
Anhui-Coal_IGCC_RC-12131,Anhui-Coal_IGCC_RC-12131_H2
Anhui-Coal_Small_RC-ep-1157,Anhui-Coal_Small_RC-ep-1157_H2
Anhui-Coal_Small_RC-ep-1199,Anhui-Coal_Small_RC-ep-1199_H2
Anhui-Coal_Small_RC-ep-1232,Anhui-Coal_Small_RC-ep-1232_H2
Anhui-Coal_Small_RC-ep-1242,Anhui-Coal_Small_RC-ep-1242_H2
Anhui-EP_Coal_1000_OT-ep-3093,Anhui-EP_Coal_1000_OT-ep-3093_H2
Anhui-EP_Coal_1000_RC-ep-1152,Anhui-EP_Coal_1000_RC-ep-1152_H2
Anhui-EP_Coal_1000_RC-ep-1153,Anhui-EP_Coal_1000_RC-ep-1153_H2
Anhui-EP_Coal_1000_RC-ep-1154,Anhui-EP_Coal_1000_RC-ep-1154_H2
Anhui-EP_Coal_1000_RC-ep-1155,Anhui-EP_Coal_1000_RC-ep-1155_H2
Anhui-EP_Coal_1000_RC-ep-1156,Anhui-EP_Coal_1000_RC-ep-1156_H2
Anhui-EP_Coal_1000_RC-ep-3094,Anhui-EP_Coal_1000_RC-ep-3094_H2
Anhui-EP_Coal_1000_RC-ep-3095,Anhui-EP_Coal_1000_RC-ep-3095_H2
Anhui-EP_Coal_1000_RC-ep-3096,Anhui-EP_Coal_1000_RC-ep-3096_H2
Anhui-EP_Coal_300_OT-ep-1206,Anhui-EP_Coal_300_OT-ep-1206_H2
Anhui-EP_Coal_300_OT-ep-1207,Anhui-EP_Coal_300_OT-ep-1207_H2
Anhui-EP_Coal_300_OT-ep-1208,Anhui-EP_Coal_300_OT-ep-1208_H2
Anhui-EP_Coal_300_OT-ep-1209,Anhui-EP_Coal_300_OT-ep-1209_H2
Anhui-EP_Coal_300_OT-ep-1218,Anhui-EP_Coal_300_OT-ep-1218_H2
