GENERATION_PROJECT,gen_dbid,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_flexible_baseload,gen_is_baseload,gen_can_provide_spinning_reserves,gen_can_provide_quickstart_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_min_build_capacity,gen_is_cogen,gen_storage_efficiency,gen_min_load_fraction,gen_is_pumped_hydro,gen_storage_energy_to_power_ratio,gen_can_suspend,gen_ccs_capture_efficiency,gen_ccs_energy_load
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Storage,Anhui,30.0,False,False,False,True,True,.,0.0,3968.771448181194,0.0055,0.02,.,.,False,0.767,0.0,False,6.0,1.0,.,.
Anhui-Central_PV-401,new.401,Central_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,.,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV-402,new.402,Central_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,8500.0,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV-403,new.403,Central_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,8500.0,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV-404,new.404,Central_PV,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,3968.771448181194,0.0,0.02,8500.0,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50012,existing.50012,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,14.6,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50026,existing.50026,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,31.4,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50053,existing.50053,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,404.1,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50083,existing.50083,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,754.3,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50112,existing.50112,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,2245.2,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50143,existing.50143,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,5424.9,.,False,.,0.0,False,.,1.0,.,.
Anhui-Central_PV_EP-ep-50173,existing.50173,Central_PV_EP,Solar,Anhui,30.0,True,False,False,True,False,.,0.0,0.0,0.0,0.02,4.0,.,False,.,0.0,False,.,1.0,.,.
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Coal,Anhui,40.0,False,True,False,False,False,7.88,6.61461908030199,396.8771448181194,0.32,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.88,6.61461908030199,396.8771448181194,0.32,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_1000_RC-12125,new.12125,Coal_1000_RC,Coal,Anhui,40.0,False,True,False,False,False,7.88,6.61461908030199,396.8771448181194,0.32,0.05,.,.,False,.,0.4,False,.,1.0,.,.
Anhui-Coal_100_RC-ep-1231,existing.1231,Coal_100_RC,Coal,Anhui,30.0,False,True,False,False,False,9.06,3.9687714481811938,0.0,0.52,0.05,210.0,.,False,.,0.4,False,.,1.0,.,.
