timepoint_id,timestamp,timeseries
2040.06.26.00,2040-06-26_00:00,2040.06.26
2040.06.26.04,2040-06-26_04:00,2040.06.26
2040.06.26.08,2040-06-26_08:00,2040.06.26
2040.06.26.12,2040-06-26_12:00,2040.06.26
2040.06.26.16,2040-06-26_16:00,2040.06.26
2040.06.26.20,2040-06-26_20:00,2040.06.26
2040.12.19.00,2040-12-19_00:00,2040.12.19
2040.12.19.04,2040-12-19_04:00,2040.12.19
2040.12.19.08,2040-12-19_08:00,2040.12.19
2040.12.19.12,2040-12-19_12:00,2040.12.19
2040.12.19.16,2040-12-19_16:00,2040.12.19
2040.12.19.20,2040-12-19_20:00,2040.12.19
2050.06.12.00,2050-06-12_00:00,2050.06.12
2050.06.12.04,2050-06-12_04:00,2050.06.12
2050.06.12.08,2050-06-12_08:00,2050.06.12
2050.06.12.12,2050-06-12_12:00,2050.06.12
2050.06.12.16,2050-06-12_16:00,2050.06.12
2050.06.12.20,2050-06-12_20:00,2050.06.12
2050.12.12.00,2050-12-12_00:00,2050.12.12
2050.12.12.04,2050-12-12_04:00,2050.12.12
2050.12.12.08,2050-12-12_08:00,2050.12.12
2050.12.12.12,2050-12-12_12:00,2050.12.12
2050.12.12.16,2050-12-12_16:00,2050.12.12
2050.12.12.20,2050-12-12_20:00,2050.12.12
