GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Central_PV-401,2040.06.26.00,0.0
Anhui-Central_PV-402,2040.06.26.00,0.0
Anhui-Central_PV-403,2040.06.26.00,0.0
Anhui-Central_PV-404,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50012,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50026,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50053,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50083,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50112,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50143,2040.06.26.00,0.0
Anhui-Central_PV_EP-ep-50173,2040.06.26.00,0.0
Anhui-Commercial_PV-2,2040.06.26.00,0.0
Anhui-Commercial_PV-3,2040.06.26.00,0.0
Anhui-Commercial_PV-4,2040.06.26.00,0.0
Anhui-Residential_PV-201,2040.06.26.00,0.0
Anhui-Residential_PV-202,2040.06.26.00,0.0
Anhui-Residential_PV-203,2040.06.26.00,0.0
Anhui-Residential_PV-204,2040.06.26.00,0.0
Anhui-Wind-1081,2040.06.26.00,0.11836
Anhui-Wind-1082,2040.06.26.00,0.11836
Anhui-Wind-1083,2040.06.26.00,0.11836
Anhui-Wind-1155,2040.06.26.00,0.11836
Anhui-Wind-1158,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40078,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40103,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40131,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40160,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40186,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40214,2040.06.26.00,0.11836
Anhui-Wind_EP-ep-40256,2040.06.26.00,0.11836
Fujian-Central_PV-407,2040.06.26.00,0.0
Fujian-Central_PV-408,2040.06.26.00,0.0
Fujian-Central_PV-409,2040.06.26.00,0.0
Fujian-Central_PV-410,2040.06.26.00,0.0
Fujian-Central_PV-411,2040.06.26.00,0.0
Fujian-Central_PV-600,2040.06.26.00,0.0
Fujian-Central_PV_EP-ep-50028,2040.06.26.00,0.0
Fujian-Central_PV_EP-ep-50057,2040.06.26.00,0.0
Fujian-Central_PV_EP-ep-50086,2040.06.26.00,0.0
Fujian-Central_PV_EP-ep-50116,2040.06.26.00,0.0
Fujian-Central_PV_EP-ep-50147,2040.06.26.00,0.0
Fujian-Central_PV_EP-ep-50175,2040.06.26.00,0.0
Fujian-Commercial_PV-10,2040.06.26.00,0.0
Fujian-Commercial_PV-11,2040.06.26.00,0.0
Fujian-Commercial_PV-200,2040.06.26.00,0.0
Fujian-Commercial_PV-7,2040.06.26.00,0.0
Fujian-Commercial_PV-8,2040.06.26.00,0.0
Fujian-Commercial_PV-9,2040.06.26.00,0.0
Fujian-Offshore_Wind-13118,2040.06.26.00,0.237678
Fujian-Residential_PV-207,2040.06.26.00,0.0
Fujian-Residential_PV-208,2040.06.26.00,0.0
Fujian-Residential_PV-209,2040.06.26.00,0.0
Fujian-Residential_PV-210,2040.06.26.00,0.0
Fujian-Residential_PV-211,2040.06.26.00,0.0
Fujian-Residential_PV-400,2040.06.26.00,0.0
Fujian-Wind-1021,2040.06.26.00,0.300997
Fujian-Wind-1022,2040.06.26.00,0.300997
Fujian-Wind-1024,2040.06.26.00,0.300997
Fujian-Wind-1029,2040.06.26.00,0.300997
Fujian-Wind-1035,2040.06.26.00,0.300997
Fujian-Wind-1042,2040.06.26.00,0.300997
Fujian-Wind-1044,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40001,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40008,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40025,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40045,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40106,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40133,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40162,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40190,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40218,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40241,2040.06.26.00,0.300997
Fujian-Wind_EP-ep-40259,2040.06.26.00,0.300997
Jiangsu-Central_PV-474,2040.06.26.00,0.0
Jiangsu-Central_PV-475,2040.06.26.00,0.0
Jiangsu-Central_PV-476,2040.06.26.00,0.0
Jiangsu-Central_PV-477,2040.06.26.00,0.0
Jiangsu-Central_PV-478,2040.06.26.00,0.0
Jiangsu-Central_PV-570,2040.06.26.00,0.0
Jiangsu-Central_PV-571,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50016,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50037,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50066,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50096,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50127,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50156,2040.06.26.00,0.0
Jiangsu-Central_PV_EP-ep-50180,2040.06.26.00,0.0
Jiangsu-Commercial_PV-129,2040.06.26.00,0.0
Jiangsu-Commercial_PV-170,2040.06.26.00,0.0
Jiangsu-Commercial_PV-74,2040.06.26.00,0.0
Jiangsu-Commercial_PV-75,2040.06.26.00,0.0
Jiangsu-Commercial_PV-76,2040.06.26.00,0.0
Jiangsu-Commercial_PV-77,2040.06.26.00,0.0
Jiangsu-Commercial_PV-78,2040.06.26.00,0.0
Jiangsu-Offshore_Wind-13135,2040.06.26.00,0.0940515
Jiangsu-Residential_PV-274,2040.06.26.00,0.0
Jiangsu-Residential_PV-275,2040.06.26.00,0.0
Jiangsu-Residential_PV-276,2040.06.26.00,0.0
Jiangsu-Residential_PV-277,2040.06.26.00,0.0
Jiangsu-Residential_PV-278,2040.06.26.00,0.0
Jiangsu-Residential_PV-357,2040.06.26.00,0.0
Jiangsu-Residential_PV-370,2040.06.26.00,0.0
Jiangsu-Wind-1078,2040.06.26.00,0.0553373
Jiangsu-Wind-1079,2040.06.26.00,0.0553373
Jiangsu-Wind-1080,2040.06.26.00,0.0553373
Jiangsu-Wind-1084,2040.06.26.00,0.0553373
Jiangsu-Wind-1085,2040.06.26.00,0.0553373
