GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Anhui-Battery_Storage-11177,2038,-0.0
Anhui-Battery_Storage-11177,2048,-0.0
Anhui-Central_PV-401,2038,0.0
Anhui-Central_PV-401,2048,481477.9398081359
Anhui-Central_PV-402,2038,0.0
Anhui-Central_PV-402,2048,8500.0
Anhui-Central_PV-403,2038,0.0
Anhui-Central_PV-403,2048,8500.0
Anhui-Central_PV-404,2038,0.0
Anhui-Central_PV-404,2048,0.0
Anhui-Central_PV_EP-ep-50012,2012,14.6
Anhui-Central_PV_EP-ep-50026,2013,31.4
Anhui-Central_PV_EP-ep-50053,2014,404.1
Anhui-Central_PV_EP-ep-50083,2015,754.3
Anhui-Central_PV_EP-ep-50112,2016,2245.2
Anhui-Central_PV_EP-ep-50143,2017,5424.9
Anhui-Central_PV_EP-ep-50173,2011,4.0
Anhui-Coal_1000_OT-12107,2038,154548.2169408764
Anhui-Coal_1000_OT-12107,2048,50755.69950688952
Anhui-Coal_1000_OT-12107_CCS,2038,0.0
Anhui-Coal_1000_OT-12107_CCS,2048,0.0
Anhui-Coal_1000_OT-12107_H2,2038,0.0
Anhui-Coal_1000_OT-12107_H2,2048,-0.0
Anhui-Coal_1000_RC-12115,2038,0.0
Anhui-Coal_1000_RC-12115,2048,0.0
Anhui-Coal_1000_RC-12115_CCS,2038,0.0
Anhui-Coal_1000_RC-12115_CCS,2048,0.0
Anhui-Coal_1000_RC-12115_H2,2038,0.0
Anhui-Coal_1000_RC-12115_H2,2048,-0.0
Anhui-Coal_1000_RC-12125,2038,0.0
Anhui-Coal_1000_RC-12125,2048,0.0
Anhui-Coal_1000_RC-12125_CCS,2038,0.0
Anhui-Coal_1000_RC-12125_CCS,2048,0.0
Anhui-Coal_1000_RC-12125_H2,2038,0.0
Anhui-Coal_1000_RC-12125_H2,2048,0.0
Anhui-Coal_100_RC-ep-1231,2005,210.0
Anhui-Coal_100_RC-ep-1233,2009,135.0
Anhui-Coal_100_RC-ep-1234,2009,135.0
Anhui-Coal_100_RC-ep-1235,2008,135.0
Anhui-Coal_100_RC-ep-1236,2007,135.0
Anhui-Coal_100_RC-ep-1237,2006,135.0
Anhui-Coal_100_RC-ep-1238,2005,135.0
Anhui-Coal_100_RC-ep-1239,1990,135.0
Anhui-Coal_100_RC-ep-1241,1990,111.0
Anhui-Coal_300_OT-12111,2038,0.0
Anhui-Coal_300_OT-12111,2048,0.0
Anhui-Coal_300_OT-12111_CCS,2038,0.0
Anhui-Coal_300_OT-12111_CCS,2048,0.0
Anhui-Coal_300_OT-12111_H2,2038,0.0
Anhui-Coal_300_OT-12111_H2,2048,0.0
Anhui-Coal_300_RC-12119,2038,0.0
Anhui-Coal_300_RC-12119,2048,0.0
Anhui-Coal_300_RC-12119_CCS,2038,0.0
Anhui-Coal_300_RC-12119_CCS,2048,0.0
Anhui-Coal_300_RC-12119_H2,2038,0.0
Anhui-Coal_300_RC-12119_H2,2048,-0.0
Anhui-Coal_300_RC-12129,2038,0.0
Anhui-Coal_300_RC-12129,2048,0.0
Anhui-Coal_300_RC-12129_CCS,2038,0.0
Anhui-Coal_300_RC-12129_CCS,2048,0.0
Anhui-Coal_300_RC-12129_H2,2038,0.0
Anhui-Coal_300_RC-12129_H2,2048,0.0
Anhui-Coal_600_OT-12109,2038,0.0
Anhui-Coal_600_OT-12109,2048,0.0
Anhui-Coal_600_OT-12109_CCS,2038,0.0
Anhui-Coal_600_OT-12109_CCS,2048,0.0
Anhui-Coal_600_OT-12109_H2,2038,0.0
Anhui-Coal_600_OT-12109_H2,2048,-0.0
Anhui-Coal_600_RC-12117,2038,0.0
Anhui-Coal_600_RC-12117,2048,0.0
Anhui-Coal_600_RC-12117_CCS,2038,0.0
Anhui-Coal_600_RC-12117_CCS,2048,0.0
Anhui-Coal_600_RC-12117_H2,2038,0.0
Anhui-Coal_600_RC-12117_H2,2048,0.0
Anhui-Coal_600_RC-12127,2038,0.0
Anhui-Coal_600_RC-12127,2048,0.0
Anhui-Coal_600_RC-12127_CCS,2038,0.0
Anhui-Coal_600_RC-12127_CCS,2048,0.0
Anhui-Coal_600_RC-12127_H2,2038,0.0
Anhui-Coal_600_RC-12127_H2,2048,0.0
Anhui-Coal_IGCC_RC-12121,2038,0.0
Anhui-Coal_IGCC_RC-12121,2048,0.0
Anhui-Coal_IGCC_RC-12121_CCS,2038,0.0
Anhui-Coal_IGCC_RC-12121_CCS,2048,0.0
Anhui-Coal_IGCC_RC-12121_H2,2038,-0.0
Anhui-Coal_IGCC_RC-12121_H2,2048,-0.0
Anhui-Coal_IGCC_RC-12131,2038,0.0
Anhui-Coal_IGCC_RC-12131,2048,0.0
Anhui-Coal_IGCC_RC-12131_CCS,2038,0.0
Anhui-Coal_IGCC_RC-12131_CCS,2048,0.0
Anhui-Coal_IGCC_RC-12131_H2,2038,0.0
Anhui-Coal_IGCC_RC-12131_H2,2048,0.0
Anhui-Coal_Small_RC-ep-1157,1990,974.6
Anhui-Coal_Small_RC-ep-1199,1990,517.35
Anhui-Coal_Small_RC-ep-1232,1990,170.0
Anhui-Coal_Small_RC-ep-1242,1990,30.0
Anhui-Commercial_PV-2,2038,0.0
Anhui-Commercial_PV-2,2048,0.0
Anhui-Commercial_PV-3,2038,0.0
Anhui-Commercial_PV-3,2048,0.0
Anhui-Commercial_PV-4,2038,0.0
Anhui-Commercial_PV-4,2048,0.0
Anhui-EP_Coal_1000_OT-ep-3093,2018,1000.0
Anhui-EP_Coal_1000_RC-ep-1152,2011,1050.0
Anhui-EP_Coal_1000_RC-ep-1153,2015,1000.0
Anhui-EP_Coal_1000_RC-ep-1154,2015,1000.0
Anhui-EP_Coal_1000_RC-ep-1155,2015,1000.0
Anhui-EP_Coal_1000_RC-ep-1156,2015,1000.0
Anhui-EP_Coal_1000_RC-ep-3094,2017,1000.0
Anhui-EP_Coal_1000_RC-ep-3095,2017,1000.0
Anhui-EP_Coal_1000_RC-ep-3096,2017,1000.0
Anhui-EP_Coal_300_OT-ep-1206,2006,330.0
Anhui-EP_Coal_300_OT-ep-1207,2006,330.0
Anhui-EP_Coal_300_OT-ep-1208,1996,330.0
Anhui-EP_Coal_300_OT-ep-1209,1996,330.0
Anhui-EP_Coal_300_OT-ep-1218,2005,320.0
Anhui-EP_Coal_300_OT-ep-1219,2005,320.0
Anhui-EP_Coal_300_OT-ep-1220,2005,320.0
Anhui-EP_Coal_300_OT-ep-1221,2005,320.0
Anhui-EP_Coal_300_RC-ep-1200,2012,350.0
Anhui-EP_Coal_300_RC-ep-1201,2012,350.0
Anhui-EP_Coal_300_RC-ep-1202,2001,350.0
Anhui-EP_Coal_300_RC-ep-1203,2000,350.0
Anhui-EP_Coal_300_RC-ep-1204,2012,330.0
Anhui-EP_Coal_300_RC-ep-1205,2011,330.0
Anhui-EP_Coal_300_RC-ep-1210,1986,320.0
Anhui-EP_Coal_300_RC-ep-1211,1986,320.0
Anhui-EP_Coal_300_RC-ep-1212,2000,320.0
Anhui-EP_Coal_300_RC-ep-1213,2000,320.0
Anhui-EP_Coal_300_RC-ep-1214,2009,320.0
Anhui-EP_Coal_300_RC-ep-1215,2009,320.0
Anhui-EP_Coal_300_RC-ep-1216,1990,320.0
Anhui-EP_Coal_300_RC-ep-1217,1990,320.0
Anhui-EP_Coal_300_RC-ep-1222,2005,300.0
Anhui-EP_Coal_300_RC-ep-1223,1996,300.0
Anhui-EP_Coal_300_RC-ep-1224,2012,300.0
Anhui-EP_Coal_300_RC-ep-1225,2012,300.0
Anhui-EP_Coal_300_RC-ep-1226,1999,300.0
Anhui-EP_Coal_300_RC-ep-1227,1999,300.0
Anhui-EP_Coal_300_RC-ep-1228,2013,300.0
Anhui-EP_Coal_300_RC-ep-1229,2013,300.0
Anhui-EP_Coal_600_OT-ep-1168,2008,660.0
Anhui-EP_Coal_600_OT-ep-1169,2008,660.0
Anhui-EP_Coal_600_OT-ep-1170,2008,660.0
Anhui-EP_Coal_600_OT-ep-1171,2008,660.0
Anhui-EP_Coal_600_OT-ep-1172,2012,660.0
Anhui-EP_Coal_600_OT-ep-1173,2012,660.0
Anhui-EP_Coal_600_OT-ep-1174,2011,660.0
Anhui-EP_Coal_600_OT-ep-1175,2010,660.0
Anhui-EP_Coal_600_OT-ep-1194,2008,630.0
Anhui-EP_Coal_600_OT-ep-1195,2008,630.0
Anhui-EP_Coal_600_RC-ep-1158,2015,660.0
Anhui-EP_Coal_600_RC-ep-1159,2013,660.0
Anhui-EP_Coal_600_RC-ep-1160,2013,660.0
Anhui-EP_Coal_600_RC-ep-1161,2014,660.0
Anhui-EP_Coal_600_RC-ep-1162,2013,660.0
Anhui-EP_Coal_600_RC-ep-1163,2014,660.0
Anhui-EP_Coal_600_RC-ep-1164,2013,660.0
Anhui-EP_Coal_600_RC-ep-1165,2014,660.0
Anhui-EP_Coal_600_RC-ep-1166,2014,660.0
Anhui-EP_Coal_600_RC-ep-1167,2015,660.0
Anhui-EP_Coal_600_RC-ep-1176,2006,640.0
Anhui-EP_Coal_600_RC-ep-1177,2006,640.0
Anhui-EP_Coal_600_RC-ep-1178,2007,640.0
Anhui-EP_Coal_600_RC-ep-1179,2007,640.0
Anhui-EP_Coal_600_RC-ep-1180,2007,640.0
Anhui-EP_Coal_600_RC-ep-1181,2007,640.0
Anhui-EP_Coal_600_RC-ep-1182,2007,630.0
Anhui-EP_Coal_600_RC-ep-1183,2007,630.0
Anhui-EP_Coal_600_RC-ep-1184,2007,630.0
Anhui-EP_Coal_600_RC-ep-1185,2007,630.0
Anhui-EP_Coal_600_RC-ep-1186,2009,630.0
Anhui-EP_Coal_600_RC-ep-1187,2008,630.0
Anhui-EP_Coal_600_RC-ep-1188,2007,630.0
Anhui-EP_Coal_600_RC-ep-1189,2007,630.0
Anhui-EP_Coal_600_RC-ep-1190,2008,630.0
Anhui-EP_Coal_600_RC-ep-1191,2008,630.0
Anhui-EP_Coal_600_RC-ep-1192,1990,630.0
Anhui-EP_Coal_600_RC-ep-1193,1990,630.0
Anhui-EP_Coal_600_RC-ep-1196,2008,600.0
Anhui-EP_Coal_600_RC-ep-1197,2008,600.0
Anhui-EP_Coal_600_RC-ep-1198,2008,600.0
Anhui-EP_Coal_600_RC-ep-3097,2017,660.0
Anhui-EP_Coal_600_RC-ep-3098,2017,660.0
Anhui-EP_Coal_600_RC-ep-3099,2018,660.0
Anhui-EP_Coal_600_RC-ep-3100,2018,660.0
Anhui-Gas_CCGT_OT-12113,2038,0.0
Anhui-Gas_CCGT_OT-12113,2048,0.0
Anhui-Gas_CCGT_RC-12123,2038,0.0
Anhui-Gas_CCGT_RC-12123,2048,0.0
Anhui-Gas_CCGT_RC-12133,2038,0.0
Anhui-Gas_CCGT_RC-12133,2048,0.0
Anhui-Gas_Combustion_Turbine_RC-13107,2038,0.0
Anhui-Gas_Combustion_Turbine_RC-13107,2048,0.0
Anhui-Hydro_NonPumped-ep-30001,1981,14.35
Anhui-Hydro_NonPumped-ep-30032,1982,9.18
Anhui-Hydro_NonPumped-ep-30063,1983,10.7
Anhui-Hydro_NonPumped-ep-30094,1984,12.84
Anhui-Hydro_NonPumped-ep-30125,1985,7.31
Anhui-Hydro_NonPumped-ep-30156,1986,9.98
Anhui-Hydro_NonPumped-ep-30187,1987,23.62
Anhui-Hydro_NonPumped-ep-30218,1988,22.38
Anhui-Hydro_NonPumped-ep-30249,1989,16.76
Anhui-Hydro_NonPumped-ep-30280,1990,13.1
Anhui-Hydro_NonPumped-ep-30311,1991,16.31
