TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Fujian,Zhejiang,2040.06.26.00,0.0
Fujian,Zhejiang,2040.06.26.04,0.0
Fujian,Zhejiang,2040.06.26.08,21392.03174400625
Fujian,Zhejiang,2040.06.26.12,6217.184150532643
Fujian,Zhejiang,2040.06.26.16,0.0
Fujian,Zhejiang,2040.06.26.20,0.0
Fujian,Zhejiang,2040.12.19.00,0.0
Fujian,Zhejiang,2040.12.19.04,0.0
Fujian,Zhejiang,2040.12.19.08,10191.26958102235
Fujian,Zhejiang,2040.12.19.12,6528.270336582303
Fujian,Zhejiang,2040.12.19.16,0.0
Fujian,Zhejiang,2040.12.19.20,0.0
Fujian,Zhejiang,2050.06.12.00,0.0
Fujian,Zhejiang,2050.06.12.04,0.0
Fujian,Zhejiang,2050.06.12.08,0.0
Fujian,Zhejiang,2050.06.12.12,0.0
Fujian,Zhejiang,2050.06.12.16,0.0
Fujian,Zhejiang,2050.06.12.20,0.0
Fujian,Zhejiang,2050.12.12.00,0.0
Fujian,Zhejiang,2050.12.12.04,0.0
Fujian,Zhejiang,2050.12.12.08,16055.66155737928
Fujian,Zhejiang,2050.12.12.12,21392.03174400625
Fujian,Zhejiang,2050.12.12.16,4701.410758428718
Fujian,Zhejiang,2050.12.12.20,86.68323961969236
Zhejiang,Fujian,2040.06.26.00,6999.517760143977
Zhejiang,Fujian,2040.06.26.04,7267.793521422515
Zhejiang,Fujian,2040.06.26.08,0.0
Zhejiang,Fujian,2040.06.26.12,0.0
Zhejiang,Fujian,2040.06.26.16,0.0
Zhejiang,Fujian,2040.06.26.20,13915.88052758625
Zhejiang,Fujian,2040.12.19.00,3797.333880150605
Zhejiang,Fujian,2040.12.19.04,1243.193738117019
Zhejiang,Fujian,2040.12.19.08,0.0
Zhejiang,Fujian,2040.12.19.12,0.0
Zhejiang,Fujian,2040.12.19.16,0.0
Zhejiang,Fujian,2040.12.19.20,10460.3493699351
