BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingency
East_China,2040.06.26.00,-0.0
East_China,2040.06.26.04,12479.05829420158
East_China,2040.06.26.08,14604.81829420158
East_China,2040.06.26.12,13679.90036155647
East_China,2040.06.26.16,2451.721104146279
East_China,2040.06.26.20,480.1931279090971
East_China,2040.12.19.00,2289.952768470499
East_China,2040.12.19.04,3193.994807599334
East_China,2040.12.19.08,4899.504674632709
East_China,2040.12.19.12,4726.3137668763
East_China,2040.12.19.16,42.65493784107591
East_China,2040.12.19.20,2178.175755881499
East_China,2050.06.12.00,10157.75677143241
East_China,2050.06.12.04,14187.23308688022
East_China,2050.06.12.08,141647.7469696794
East_China,2050.06.12.12,141907.6739178062
East_China,2050.06.12.16,54634.07496206555
East_China,2050.06.12.20,6624.081234620301
East_China,2050.12.12.00,56094.61335993562
East_China,2050.12.12.04,61761.82065625893
East_China,2050.12.12.08,93836.38872798195
East_China,2050.12.12.12,92038.2207892765
East_China,2050.12.12.16,9565.487615447997
East_China,2050.12.12.20,48843.61732754276
