STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Anhui-Battery_Storage-11177,2040.06.26.00,-0.0
Anhui-Battery_Storage-11177,2040.06.26.04,-0.0
Anhui-Battery_Storage-11177,2040.06.26.08,0.0
Anhui-Battery_Storage-11177,2040.06.26.12,-0.0
Anhui-Battery_Storage-11177,2040.06.26.16,-0.0
Anhui-Battery_Storage-11177,2040.06.26.20,-0.0
Anhui-Battery_Storage-11177,2040.12.19.00,0.0
Anhui-Battery_Storage-11177,2040.12.19.04,-0.0
Anhui-Battery_Storage-11177,2040.12.19.08,-0.0
Anhui-Battery_Storage-11177,2040.12.19.12,0.0
Anhui-Battery_Storage-11177,2040.12.19.16,0.0
Anhui-Battery_Storage-11177,2040.12.19.20,0.0
Anhui-Battery_Storage-11177,2050.06.12.00,-0.0
Anhui-Battery_Storage-11177,2050.06.12.04,0.0
Anhui-Battery_Storage-11177,2050.06.12.08,-0.0
Anhui-Battery_Storage-11177,2050.06.12.12,-0.0
Anhui-Battery_Storage-11177,2050.06.12.16,-0.0
Anhui-Battery_Storage-11177,2050.06.12.20,-0.0
Anhui-Battery_Storage-11177,2050.12.12.00,0.0
Anhui-Battery_Storage-11177,2050.12.12.04,0.0
Anhui-Battery_Storage-11177,2050.12.12.08,0.0
Anhui-Battery_Storage-11177,2050.12.12.12,-0.0
Anhui-Battery_Storage-11177,2050.12.12.16,-0.0
Anhui-Battery_Storage-11177,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.04,58.36550288982059
Anhui-Hydro_Pumped-ep-35020,2040.06.26.08,116.7310057796412
Anhui-Hydro_Pumped-ep-35020,2040.06.26.12,175.0965086694618
Anhui-Hydro_Pumped-ep-35020,2040.06.26.16,106.4312111520258
Anhui-Hydro_Pumped-ep-35020,2040.06.26.20,68.665297517436
Anhui-Hydro_Pumped-ep-35020,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.04,13.58603689246011
Anhui-Hydro_Pumped-ep-35020,2040.12.19.08,27.17207378492023
Anhui-Hydro_Pumped-ep-35020,2040.12.19.12,40.75811067738034
Anhui-Hydro_Pumped-ep-35020,2040.12.19.16,24.77453786272138
Anhui-Hydro_Pumped-ep-35020,2040.12.19.20,8.790965048062425
Anhui-Hydro_Pumped-ep-35020,2050.06.12.00,68.665297517436
Anhui-Hydro_Pumped-ep-35020,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.08,103.2512
Anhui-Hydro_Pumped-ep-35020,2050.06.12.12,206.5024
Anhui-Hydro_Pumped-ep-35020,2050.06.12.16,205.995892552308
Anhui-Hydro_Pumped-ep-35020,2050.06.12.20,137.330595034872
Anhui-Hydro_Pumped-ep-35020,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.04,13.58603689246011
Anhui-Hydro_Pumped-ep-35020,2050.12.12.08,27.17207378492023
Anhui-Hydro_Pumped-ep-35020,2050.12.12.12,40.75811067738034
Anhui-Hydro_Pumped-ep-35020,2050.12.12.16,31.96714562931792
Anhui-Hydro_Pumped-ep-35020,2050.12.12.20,15.98357281465896
Anhui-Hydro_Pumped-ep-35027,2040.06.26.00,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.04,437.7412716736561
Anhui-Hydro_Pumped-ep-35027,2040.06.26.08,875.4825433473122
Anhui-Hydro_Pumped-ep-35027,2040.06.26.12,1313.223815020968
Anhui-Hydro_Pumped-ep-35027,2040.06.26.16,798.2340836401962
Anhui-Hydro_Pumped-ep-35027,2040.06.26.20,514.989731380772
Anhui-Hydro_Pumped-ep-35027,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.04,101.8952766934511
Anhui-Hydro_Pumped-ep-35027,2040.12.19.08,203.7905533869021
Anhui-Hydro_Pumped-ep-35027,2040.12.19.12,305.6858300803532
Anhui-Hydro_Pumped-ep-35027,2040.12.19.16,185.8090339704108
Anhui-Hydro_Pumped-ep-35027,2040.12.19.20,65.93223786046838
Anhui-Hydro_Pumped-ep-35027,2050.06.12.00,514.989731380772
Anhui-Hydro_Pumped-ep-35027,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.08,774.384
Anhui-Hydro_Pumped-ep-35027,2050.06.12.12,1548.768
Anhui-Hydro_Pumped-ep-35027,2050.06.12.16,1544.969194142316
Anhui-Hydro_Pumped-ep-35027,2050.06.12.20,1029.979462761544
Anhui-Hydro_Pumped-ep-35027,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.04,101.8952766934511
Anhui-Hydro_Pumped-ep-35027,2050.12.12.08,203.7905533869021
Anhui-Hydro_Pumped-ep-35027,2050.12.12.12,305.6858300803532
Anhui-Hydro_Pumped-ep-35027,2050.12.12.16,239.7535922198848
Anhui-Hydro_Pumped-ep-35027,2050.12.12.20,119.8767961099424
Anhui-Hydro_Pumped-ep-35039,2040.06.26.00,0.0
