GEN_BLD_SUSPEND_YRS_1,GEN_BLD_SUSPEND_YRS_2,GEN_BLD_SUSPEND_YRS_3,SuspendGen
Anhui-Battery_Storage-11177,2038,2038,-0.0
Anhui-Battery_Storage-11177,2038,2048,-0.0
Anhui-Battery_Storage-11177,2048,2048,-0.0
Anhui-Central_PV-401,2038,2038,0.0
Anhui-Central_PV-401,2038,2048,0.0
Anhui-Central_PV-401,2048,2048,0.0
Anhui-Central_PV-402,2038,2038,0.0
Anhui-Central_PV-402,2038,2048,0.0
Anhui-Central_PV-402,2048,2048,0.0
Anhui-Central_PV-403,2038,2038,0.0
Anhui-Central_PV-403,2038,2048,0.0
Anhui-Central_PV-403,2048,2048,0.0
Anhui-Central_PV-404,2038,2038,0.0
Anhui-Central_PV-404,2038,2048,0.0
Anhui-Central_PV-404,2048,2048,0.0
Anhui-Central_PV_EP-ep-50012,2012,2038,0.0
Anhui-Central_PV_EP-ep-50026,2013,2038,0.0
Anhui-Central_PV_EP-ep-50053,2014,2038,0.0
Anhui-Central_PV_EP-ep-50083,2015,2038,0.0
Anhui-Central_PV_EP-ep-50112,2016,2038,0.0
Anhui-Central_PV_EP-ep-50143,2017,2038,0.0
Anhui-Central_PV_EP-ep-50173,2011,2038,0.0
Anhui-Coal_1000_OT-12107,2038,2038,0.0
Anhui-Coal_1000_OT-12107,2038,2048,0.0
Anhui-Coal_1000_OT-12107,2048,2048,0.0
Anhui-Coal_1000_OT-12107_CCS,2038,2038,-0.0
Anhui-Coal_1000_OT-12107_CCS,2038,2048,0.0
Anhui-Coal_1000_OT-12107_CCS,2048,2048,-0.0
Anhui-Coal_1000_OT-12107_H2,2038,2038,-0.0
Anhui-Coal_1000_OT-12107_H2,2038,2048,0.0
Anhui-Coal_1000_OT-12107_H2,2048,2048,0.0
Anhui-Coal_1000_RC-12115,2038,2038,0.0
Anhui-Coal_1000_RC-12115,2038,2048,0.0
Anhui-Coal_1000_RC-12115,2048,2048,0.0
Anhui-Coal_1000_RC-12115_CCS,2038,2038,-0.0
Anhui-Coal_1000_RC-12115_CCS,2038,2048,0.0
Anhui-Coal_1000_RC-12115_CCS,2048,2048,-0.0
Anhui-Coal_1000_RC-12115_H2,2038,2038,-0.0
Anhui-Coal_1000_RC-12115_H2,2038,2048,0.0
Anhui-Coal_1000_RC-12115_H2,2048,2048,0.0
Anhui-Coal_1000_RC-12125,2038,2038,0.0
Anhui-Coal_1000_RC-12125,2038,2048,0.0
Anhui-Coal_1000_RC-12125,2048,2048,0.0
Anhui-Coal_1000_RC-12125_CCS,2038,2038,-0.0
Anhui-Coal_1000_RC-12125_CCS,2038,2048,0.0
Anhui-Coal_1000_RC-12125_CCS,2048,2048,-0.0
Anhui-Coal_1000_RC-12125_H2,2038,2038,-0.0
Anhui-Coal_1000_RC-12125_H2,2038,2048,-0.0
Anhui-Coal_1000_RC-12125_H2,2048,2048,-0.0
Anhui-Coal_100_RC-ep-1233,2009,2038,135.0
Anhui-Coal_100_RC-ep-1234,2009,2038,135.0
Anhui-Coal_300_OT-12111,2038,2038,-0.0
Anhui-Coal_300_OT-12111,2038,2048,0.0
Anhui-Coal_300_OT-12111,2048,2048,0.0
Anhui-Coal_300_OT-12111_CCS,2038,2038,-0.0
Anhui-Coal_300_OT-12111_CCS,2038,2048,-0.0
Anhui-Coal_300_OT-12111_CCS,2048,2048,0.0
Anhui-Coal_300_OT-12111_H2,2038,2038,-0.0
Anhui-Coal_300_OT-12111_H2,2038,2048,0.0
Anhui-Coal_300_OT-12111_H2,2048,2048,-0.0
Anhui-Coal_300_RC-12119,2038,2038,-0.0
Anhui-Coal_300_RC-12119,2038,2048,0.0
Anhui-Coal_300_RC-12119,2048,2048,0.0
Anhui-Coal_300_RC-12119_CCS,2038,2038,-0.0
Anhui-Coal_300_RC-12119_CCS,2038,2048,-0.0
Anhui-Coal_300_RC-12119_CCS,2048,2048,0.0
Anhui-Coal_300_RC-12119_H2,2038,2038,-0.0
Anhui-Coal_300_RC-12119_H2,2038,2048,0.0
Anhui-Coal_300_RC-12119_H2,2048,2048,0.0
Anhui-Coal_300_RC-12129,2038,2038,-0.0
Anhui-Coal_300_RC-12129,2038,2048,0.0
Anhui-Coal_300_RC-12129,2048,2048,0.0
Anhui-Coal_300_RC-12129_CCS,2038,2038,-0.0
Anhui-Coal_300_RC-12129_CCS,2038,2048,-0.0
Anhui-Coal_300_RC-12129_CCS,2048,2048,0.0
Anhui-Coal_300_RC-12129_H2,2038,2038,-0.0
Anhui-Coal_300_RC-12129_H2,2038,2048,-0.0
Anhui-Coal_300_RC-12129_H2,2048,2048,0.0
Anhui-Coal_600_OT-12109,2038,2038,0.0
Anhui-Coal_600_OT-12109,2038,2048,0.0
Anhui-Coal_600_OT-12109,2048,2048,0.0
Anhui-Coal_600_OT-12109_CCS,2038,2038,-0.0
Anhui-Coal_600_OT-12109_CCS,2038,2048,-0.0
Anhui-Coal_600_OT-12109_CCS,2048,2048,0.0
Anhui-Coal_600_OT-12109_H2,2038,2038,-0.0
