load_zone,period,Coal,Gas,Hydrogen,Solar,Storage,Uranium,Water,Wind,hydro,fuel cells
Anhui,2038,196758.2169408764,0.0,0.0,8878.5,0.0,2350.0,4081.5966095312288,2174.0,0,0
Anhui,2048,226863.9164477659,0.0,0.0,498477.9398081359,0.0,2350.0,5681.378165246416,9030.0,0,0
Fujian,2038,16804.268552948015,0.0,0.0,84319.13162256255,0.0,14104.0,7945.06265338009,14458.600000999999,0,0
Fujian,2048,12237.354636722886,0.0,0.0,116046.96350703761,9646.643472305099,14104.0,12986.23,32228.973938255738,0,0
Jiangsu,2038,143101.50154861918,0.0,0.0,10130.242857000001,0.0,10394.0,4650.189353552047,22000.000000000004,0,0
Jiangsu,2048,118746.87495712709,0.0,0.0,7914.285715,45370.12959305624,10394.0,6191.12,35000.000004,0,0
Shanghai,2038,48623.09569111731,0.0,0.0,7779.099999999999,0.0,0,0,0.0,0,0
Shanghai,2048,59101.16875282793,0.0,0.0,7201.0,0.0,0,0,0.0,0,0
Zhejiang,2038,92098.34768594486,0.0,0.0,128136.99999999999,0.0,13207.0,14541.540088228458,10619.900000000001,0,0
Zhejiang,2048,110861.26464342308,0.0,0.0,120000.0,5032.615251886728,13207.0,17727.260000000002,9440.0,0,0
