load_zone,technology,period,capacity
Anhui,Battery_Storage,2038,0.0
Anhui,Battery_Storage,2048,0.0
Anhui,Battery_Storage_MWh,2038,-0.0
Anhui,Battery_Storage_MWh,2048,0.0
Anhui,Central_PV,2038,0.0
Anhui,Central_PV,2048,498477.9398081359
Anhui,Central_PV_EP,2038,8878.5
Anhui,Central_PV_EP,2048,0
Anhui,Coal_1000_OT,2038,154548.2169408764
Anhui,Coal_1000_OT,2048,205303.9164477659
Anhui,Coal_1000_OT_CCS,2038,0.0
Anhui,Coal_1000_OT_CCS,2048,0.0
Anhui,Coal_1000_OT_H2,2038,0.0
Anhui,Coal_1000_OT_H2,2048,0.0
Anhui,Coal_1000_RC,2038,0.0
Anhui,Coal_1000_RC,2048,0.0
Anhui,Coal_1000_RC_CCS,2038,0.0
Anhui,Coal_1000_RC_CCS,2048,0.0
Anhui,Coal_1000_RC_H2,2038,0.0
Anhui,Coal_1000_RC_H2,2048,0.0
Anhui,Coal_1000_SEA,2038,0.0
Anhui,Coal_1000_SEA,2048,0.0
Anhui,Coal_1000_SEA_CCS,2038,0.0
Anhui,Coal_1000_SEA_CCS,2048,0.0
Anhui,Coal_1000_SEA_H2,2038,0.0
Anhui,Coal_1000_SEA_H2,2048,0.0
Anhui,Coal_100_OT,2038,0.0
Anhui,Coal_100_OT,2048,0.0
Anhui,Coal_100_OT_CCS,2038,0.0
Anhui,Coal_100_OT_CCS,2048,0.0
Anhui,Coal_100_OT_H2,2038,0.0
Anhui,Coal_100_OT_H2,2048,0.0
Anhui,Coal_100_RC,2038,0.0
Anhui,Coal_100_RC,2048,0
Anhui,Coal_100_RC_CCS,2038,0
Anhui,Coal_100_RC_CCS,2048,0
Anhui,Coal_100_RC_H2,2038,0
Anhui,Coal_100_RC_H2,2048,0
Anhui,Coal_100_SEA,2038,0.0
Anhui,Coal_100_SEA,2048,0.0
Anhui,Coal_100_SEA_CCS,2038,0.0
Anhui,Coal_100_SEA_CCS,2048,0.0
Anhui,Coal_100_SEA_H2,2038,0.0
Anhui,Coal_100_SEA_H2,2048,0.0
Anhui,Coal_300_OT,2038,0.0
Anhui,Coal_300_OT,2048,0.0
Anhui,Coal_300_OT_CCS,2038,0.0
Anhui,Coal_300_OT_CCS,2048,0.0
Anhui,Coal_300_OT_H2,2038,0.0
Anhui,Coal_300_OT_H2,2048,0.0
Anhui,Coal_300_RC,2038,0.0
Anhui,Coal_300_RC,2048,0.0
Anhui,Coal_300_RC_CCS,2038,0.0
Anhui,Coal_300_RC_CCS,2048,0.0
Anhui,Coal_300_RC_H2,2038,0.0
Anhui,Coal_300_RC_H2,2048,0.0
Anhui,Coal_300_SEA,2038,0.0
Anhui,Coal_300_SEA,2048,0.0
Anhui,Coal_300_SEA_CCS,2038,0.0
Anhui,Coal_300_SEA_CCS,2048,0.0
Anhui,Coal_300_SEA_H2,2038,0.0
Anhui,Coal_300_SEA_H2,2048,0.0
Anhui,Coal_600_OT,2038,0.0
Anhui,Coal_600_OT,2048,0.0
Anhui,Coal_600_OT_CCS,2038,0.0
Anhui,Coal_600_OT_CCS,2048,0.0
Anhui,Coal_600_OT_H2,2038,0.0
Anhui,Coal_600_OT_H2,2048,0.0
Anhui,Coal_600_RC,2038,0.0
Anhui,Coal_600_RC,2048,0.0
Anhui,Coal_600_RC_CCS,2038,0.0
Anhui,Coal_600_RC_CCS,2048,0.0
Anhui,Coal_600_RC_H2,2038,0.0
Anhui,Coal_600_RC_H2,2048,0.0
Anhui,Coal_600_SEA,2038,0.0
Anhui,Coal_600_SEA,2048,0.0
Anhui,Coal_600_SEA_CCS,2038,0.0
Anhui,Coal_600_SEA_CCS,2048,0.0
Anhui,Coal_600_SEA_H2,2038,0.0
Anhui,Coal_600_SEA_H2,2048,0.0
Anhui,Coal_IGCC_RC,2038,0.0
Anhui,Coal_IGCC_RC,2048,0.0
Anhui,Coal_IGCC_RC_CCS,2038,0.0
Anhui,Coal_IGCC_RC_CCS,2048,0.0
Anhui,Coal_IGCC_RC_H2,2038,0.0
Anhui,Coal_IGCC_RC_H2,2048,0.0
Anhui,Coal_Small_OT,2038,0.0
Anhui,Coal_Small_OT,2048,0.0
Anhui,Coal_Small_OT_CCS,2038,0.0
Anhui,Coal_Small_OT_CCS,2048,0.0
Anhui,Coal_Small_OT_H2,2038,0.0
Anhui,Coal_Small_OT_H2,2048,0.0
Anhui,Coal_Small_RC,2038,0
Anhui,Coal_Small_RC,2048,0
Anhui,Coal_Small_RC_CCS,2038,0
Anhui,Coal_Small_RC_CCS,2048,0
Anhui,Coal_Small_RC_H2,2038,0
Anhui,Coal_Small_RC_H2,2048,0
Anhui,Coal_Small_SEA,2038,0.0
Anhui,Coal_Small_SEA,2048,0.0
Anhui,Coal_Small_SEA_CCS,2038,0.0
Anhui,Coal_Small_SEA_CCS,2048,0.0
Anhui,Coal_Small_SEA_H2,2038,0.0
Anhui,Coal_Small_SEA_H2,2048,0.0
Anhui,Commercial_PV,2038,0.0
Anhui,Commercial_PV,2048,0.0
Anhui,EP_Coal_1000_OT,2038,1000.0
Anhui,EP_Coal_1000_OT,2048,1000.0
Anhui,EP_Coal_1000_OT_CCS,2038,0
Anhui,EP_Coal_1000_OT_CCS,2048,0
Anhui,EP_Coal_1000_OT_H2,2038,0
Anhui,EP_Coal_1000_OT_H2,2048,0
Anhui,EP_Coal_1000_RC,2038,8050.0
Anhui,EP_Coal_1000_RC,2048,8050.0
Anhui,EP_Coal_1000_RC_CCS,2038,0
