load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_OT_CCS,Coal_1000_OT_H2,Coal_1000_RC,Coal_1000_RC_CCS,Coal_1000_RC_H2,Coal_1000_SEA,Coal_1000_SEA_CCS,Coal_1000_SEA_H2,Coal_100_OT,Coal_100_OT_CCS,Coal_100_OT_H2,Coal_100_RC,Coal_100_RC_CCS,Coal_100_RC_H2,Coal_100_SEA,Coal_100_SEA_CCS,Coal_100_SEA_H2,Coal_300_OT,Coal_300_OT_CCS,Coal_300_OT_H2,Coal_300_RC,Coal_300_RC_CCS,Coal_300_RC_H2,Coal_300_SEA,Coal_300_SEA_CCS,Coal_300_SEA_H2,Coal_600_OT,Coal_600_OT_CCS,Coal_600_OT_H2,Coal_600_RC,Coal_600_RC_CCS,Coal_600_RC_H2,Coal_600_SEA,Coal_600_SEA_CCS,Coal_600_SEA_H2,Coal_IGCC_RC,Coal_IGCC_RC_CCS,Coal_IGCC_RC_H2,Coal_Small_OT,Coal_Small_OT_CCS,Coal_Small_OT_H2,Coal_Small_RC,Coal_Small_RC_CCS,Coal_Small_RC_H2,Coal_Small_SEA,Coal_Small_SEA_CCS,Coal_Small_SEA_H2,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_OT_CCS,EP_Coal_1000_OT_H2,EP_Coal_1000_RC,EP_Coal_1000_RC_CCS,EP_Coal_1000_RC_H2,EP_Coal_1000_SEA,EP_Coal_1000_SEA_CCS,EP_Coal_1000_SEA_H2,EP_Coal_300_OT,EP_Coal_300_OT_CCS,EP_Coal_300_OT_H2,EP_Coal_300_RC,EP_Coal_300_RC_CCS,EP_Coal_300_RC_H2,EP_Coal_300_SEA,EP_Coal_300_SEA_CCS,EP_Coal_300_SEA_H2,EP_Coal_600_OT,EP_Coal_600_OT_CCS,EP_Coal_600_OT_H2,EP_Coal_600_RC,EP_Coal_600_RC_CCS,EP_Coal_600_RC_H2,EP_Coal_600_SEA,EP_Coal_600_SEA_CCS,EP_Coal_600_SEA_H2,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Fuel_Cell,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,hydro,fuel cells
Anhui,2038,0.0,0.0,8878.5,154548.2169408764,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1000.0,0.0,0.0,8050.0,0.0,0.0,0,0,0,1940.0,0.0,0.0,3500.0,0.0,0.0,0,0,0,6540.0,0.0,0.0,21180.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2001.3781652464158,2080.218444284813,0,0,2350.0,0,0.0,0.0,2174.0,0,0
Anhui,2048,0.0,498477.9398081359,0.0,205303.9164477659,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1000.0,0.0,0.0,8050.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2640.0,0.0,0.0,9870.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2001.3781652464158,3680.0,0,0,2350.0,0,0.0,9030.0,0.0,0,0
Fujian,2038,0.0,83391.13162256255,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0,0,0,11484.268552948015,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6545.06265338009,1400.0,7543.0,6561.0,0.0,0.0,0.0,12200.000000999999,2258.6,0,0
Fujian,2048,9646.643472305099,116046.96350703761,0.0,3057.354636722886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0.0,0,0,0,3860.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11586.23,1400.0,7543.0,6561.0,0.0,20028.97393725573,0.0,12200.000000999999,0.0,0,0
Jiangsu,2038,0.0,0.0,9073.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1057.142857,17060.0,0.0,0.0,8030.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,17760.0,0.0,0.0,3720.0,0.0,0.0,4620.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2648.72,2001.4693535520464,6480.0,3914.0,0.0,0.0,0.0,16054.400000000001,5945.6,0,0
Jiangsu,2048,45370.12959305624,6857.142858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1057.142857,15060.0,0.0,0.0,8030.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5280.0,0.0,0.0,2520.0,0.0,0.0,4620.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2648.72,3542.4,4488.0,5906.0,0.0,0.0,0.0,35000.000004,0.0,0,0
Shanghai,2038,0.0,5001.0,578.1,39353.09569111731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,3800.0,0.0,0.0,0,0,0,2000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1320.0,0.0,0.0,1200.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Shanghai,2048,0.0,5001.0,0.0,55781.16875282793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0.0,0,0,0,2000.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1320.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Zhejiang,2038,0.0,120000.0,8137.0,53138.34768594486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2000.0,0.0,0.0,16000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3720.0,0.0,0.0,14160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.67,4136.870088228459,9541.0,3666.0,0.0,0.0,0.0,9440.0,1179.8999999999999,0,0
Zhejiang,2048,5032.615251886728,120000.0,0.0,92231.26464342308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2000.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1320.0,0.0,0.0,3960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.67,7322.59,6927.0,6280.0,0.0,0.0,0.0,9440.0,0.0,0,0
