PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2038,EmissionsCosts,annual,0.0,0.0
2038,FuelCostsPerPeriod,annual,43075275949.93686,98553115985.88025
2038,GenRetrofitCapitalCostAdjustment,annual,0.0,0.0
2038,GenVariableOMCostsInTP,timepoint,5363347065.363064,12270950185.428385
2038,HydrogenFixedCostAnnual,annual,0.0,0.0
2038,HydrogenVariableCost,timepoint,0.0,0.0
2038,LocalTDFixedCosts,annual,11535173743.908197,26391643253.12538
2038,StorageEnergyFixedCost,annual,0.0,0.0
2038,TotalGenFixedCosts,annual,25005964023.36439,57211837147.5457
2038,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2038,TxFixedCosts,annual,680091340.995587,1555999801.0930715
2048,EmissionsCosts,annual,0.0,0.0
2048,FuelCostsPerPeriod,annual,28303440013.293625,87026949728.47835
2048,GenRetrofitCapitalCostAdjustment,annual,0.0,0.0
2048,GenVariableOMCostsInTP,timepoint,3392310498.63831,10430620274.062967
2048,HydrogenFixedCostAnnual,annual,0.0,0.0
2048,HydrogenVariableCost,timepoint,0.0,0.0
2048,LocalTDFixedCosts,annual,10159244733.011265,31237477855.83026
2048,StorageEnergyFixedCost,annual,1114434695.6493254,3426645389.6909127
2048,TotalGenFixedCosts,annual,29754721629.058987,91489326462.8172
2048,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2048,TxFixedCosts,annual,829496567.2793659,2550522340.275989
