gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Anhui,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Anhui,Storage,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Fujian,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Fujian,Storage,2048,-4803.684717794164,0.0,0.0,9646.643472305099,154515110.95694602,224486787.44295,23.96775998426274,0.1871257716894977,20616.672608558634,15812.987890764472
Battery_Storage,Jiangsu,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Jiangsu,Storage,2048,-24908.984328485927,0.0,0.0,45370.12959305624,726716046.7087266,1055807096.7851135,21.739007627296676,0.20631050228310505,106905.51213942461,81996.52781093869
Battery_Storage,Shanghai,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Shanghai,Storage,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Zhejiang,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Zhejiang,Storage,2048,-2762.992646592117,0.0,0.0,5032.615251886728,80609914.34807146,117113857.64135484,21.739007627296676,0.20631050228310505,11858.337539021963,9095.344892429846
Central_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Anhui,Solar,2048,953962.5891538734,0.0,0.0,498477.9398081359,20436533412.712788,7344102253.932489,29.121305156511003,0.2184647107681869,0.0,0.0
Central_PV,Fujian,Solar,2038,140274.1422851797,0.0,0.0,83391.13162256255,4095803478.1051064,1348901489.0187972,38.81474431727215,0.1920231759620111,0.0,0.0
Central_PV,Fujian,Solar,2048,132853.57883009186,0.0,0.0,116046.96350703761,5434623004.770374,1830021613.6909611,54.68158767293865,0.13068789736565103,0.0,0.0
Central_PV,Jiangsu,Solar,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Jiangsu,Solar,2048,13391.415866813126,0.0,0.0,6857.142857999999,281128246.49211204,101026653.93449157,28.537303615046977,0.2229354810121157,0.0,0.0
Central_PV,Shanghai,Solar,2038,7287.139469906688,0.0,0.0,5001.0,245626996.48581898,80894169.62364168,44.80786561830987,0.1663397793022831,0.0,0.0
Central_PV,Shanghai,Solar,2048,9570.061603594799,0.0,0.0,5001.0,245626996.48581898,80894169.62364168,34.119024478046164,0.21845086698630137,0.0,0.0
Central_PV,Zhejiang,Solar,2038,212016.678978048,0.0,0.0,120000.0,5893869141.831289,1941071856.5960813,36.954361497373476,0.20169014362447488,0.0,0.0
Central_PV,Zhejiang,Solar,2048,135585.629824512,0.0,0.0,120000.0,5893869141.831289,1941071856.5960813,57.78592472202332,0.1289817635316895,0.0,0.0
Central_PV_EP,Anhui,Solar,2038,8761.0320220122,0.0,0.0,8878.5,977742180.5549864,338143476.7355868,150.19756279675667,0.11264490744292237,0.0,0.0
Central_PV_EP,Fujian,Solar,2038,1571.2751926144,0.0,0.0,928.0,102195724.90342146,35343486.671242274,87.5334965009001,0.1932858989497717,0.0,0.0
Central_PV_EP,Jiangsu,Solar,2038,8460.633410713377,0.0,0.0,9073.1,999172447.8677082,345554944.9535003,158.9393284808241,0.10644936480547944,0.0,0.0
Central_PV_EP,Shanghai,Solar,2038,842.3705913923327,0.0,0.0,578.1,63663091.12787494,22017316.427419353,101.7134363792014,0.16633977930228308,0.0,0.0
Central_PV_EP,Zhejiang,Solar,2038,14376.497776889133,0.0,0.0,8137.0,896084712.865453,309902964.48695946,83.88605459189732,0.201690145539726,0.0,0.0
Coal_1000_OT,Anhui,Coal,2038,1239954.1519306437,8201824392.06011,933310514.2682309,154548.2169408764,5682292062.688729,1031273627.3482853,12.028985151485998,0.9158777785951643,0.0,0.0
Coal_1000_OT,Anhui,Coal,2048,1152240.9612737948,7621635047.547151,867289006.1724783,205303.9164477659,7548432702.50307,1369957666.3824837,14.354658419839387,0.640681184195818,0.0,0.0
Coal_1000_OT,Fujian,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT,Fujian,Coal,2048,6308.545557414004,41728625.81302503,4748427.100556182,3057.354636722886,112410109.47231524,20401200.79489175,27.667222894999483,0.23554794520547953,0.0,0.0
Coal_1000_OT,Jiangsu,Coal,2038,0.0,0.0,0.0,79611.50154861918,2927085231.410403,531233835.0179518,0.0,0.0,0.0,0.0
Coal_1000_OT,Jiangsu,Coal,2048,0.0,0.0,0.0,81236.87495712709,2986845522.4113855,542079671.7669364,0.0,0.0,0.0,0.0
Coal_1000_OT,Shanghai,Coal,2038,11113.702001728117,73512905.31342123,8365256.823815949,39353.09569111731,1446899794.2138143,262596428.11853585,160.43341160025017,0.03223856778835352,0.0,0.0
Coal_1000_OT,Shanghai,Coal,2048,46177.994742955765,305449845.11684024,34758065.81583542,55781.16875282793,2050912645.4234805,372218129.565756,59.08833060626368,0.09450251231654519,0.0,0.0
Coal_1000_OT,Zhejiang,Coal,2038,22168.088183663916,146633459.07348043,16685866.772432178,53138.34768594486,1953743739.3777947,354583039.86996466,110.74298414828333,0.0476229273986926,0.0,0.0
Coal_1000_OT,Zhejiang,Coal,2048,10153.428962760585,67161064.94756702,7642461.612040383,92231.26464342308,3391077512.1757593,615443340.1203834,401.2124310107084,0.012566966718638606,0.0,0.0
Coal_1000_OT_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Fujian,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Fujian,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Jiangsu,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Jiangsu,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Shanghai,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Shanghai,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Zhejiang,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Zhejiang,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
