load_zone,period,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,TXPowerNet
Anhui,2038,1583742.5079306616,0.0,17799.162839040004,0.0,8761.032022012203,0.0,11043.925584737854,3579.8742481293098,-1297152.9926814286
Anhui,2048,1302005.3452738076,0.0,17799.162839040004,0.0,953962.5891538734,0.0,11923.262794477505,20125.670726963963,-1917723.460533011
Fujian,2038,82190.14951254982,0.0,106825.27348162563,0.0,141845.41747779417,0.0,28493.646129363693,48454.50141018714,-1416.8149311591515
Fujian,2048,44169.01088086628,0.0,106825.27348162563,0.0,132853.5788300919,15812.987890764472,29545.303453910023,127571.0974281042,45829.440055574385
Jiangsu,2038,145285.64340741636,0.0,78725.31853148165,0.0,10773.595147786413,0.0,10977.173579902954,20032.164389776,787133.0862149519
Jiangsu,2048,154238.69003490993,0.0,78725.31853148161,0.0,15985.51163320337,81996.52781093869,11824.162751774053,43925.50234574003,966403.7887030973
Shanghai,2038,54533.01516497821,0.0,0,0.0,11247.119009463499,0.0,0,0.0,256678.80295789812
Shanghai,2048,59575.12274295577,0.0,0,0.0,13051.79969022776,0.0,0,0.0,309039.4941471165
Zhejiang,2038,178007.15540117255,0.0,100031.29515540485,0.0,226393.1767549372,0.0,34053.302424661546,26971.91450585377,233101.83912643327
Zhejiang,2048,88042.94096276045,0.0,100031.29515540476,0.0,135585.629824512,9095.344892429846,35804.36777994184,24859.500551961606,563492.8004338243
