load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_OT_CCS,Coal_1000_OT_H2,Coal_1000_RC,Coal_1000_RC_CCS,Coal_1000_RC_H2,Coal_1000_SEA,Coal_1000_SEA_CCS,Coal_1000_SEA_H2,Coal_100_OT,Coal_100_OT_CCS,Coal_100_OT_H2,Coal_100_RC,Coal_100_RC_CCS,Coal_100_RC_H2,Coal_100_SEA,Coal_100_SEA_CCS,Coal_100_SEA_H2,Coal_300_OT,Coal_300_OT_CCS,Coal_300_OT_H2,Coal_300_RC,Coal_300_RC_CCS,Coal_300_RC_H2,Coal_300_SEA,Coal_300_SEA_CCS,Coal_300_SEA_H2,Coal_600_OT,Coal_600_OT_CCS,Coal_600_OT_H2,Coal_600_RC,Coal_600_RC_CCS,Coal_600_RC_H2,Coal_600_SEA,Coal_600_SEA_CCS,Coal_600_SEA_H2,Coal_IGCC_RC,Coal_IGCC_RC_CCS,Coal_IGCC_RC_H2,Coal_Small_OT,Coal_Small_OT_CCS,Coal_Small_OT_H2,Coal_Small_RC,Coal_Small_RC_CCS,Coal_Small_RC_H2,Coal_Small_SEA,Coal_Small_SEA_CCS,Coal_Small_SEA_H2,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_OT_CCS,EP_Coal_1000_OT_H2,EP_Coal_1000_RC,EP_Coal_1000_RC_CCS,EP_Coal_1000_RC_H2,EP_Coal_1000_SEA,EP_Coal_1000_SEA_CCS,EP_Coal_1000_SEA_H2,EP_Coal_300_OT,EP_Coal_300_OT_CCS,EP_Coal_300_OT_H2,EP_Coal_300_RC,EP_Coal_300_RC_CCS,EP_Coal_300_RC_H2,EP_Coal_300_SEA,EP_Coal_300_SEA_CCS,EP_Coal_300_SEA_H2,EP_Coal_600_OT,EP_Coal_600_OT_CCS,EP_Coal_600_OT_H2,EP_Coal_600_RC,EP_Coal_600_RC_CCS,EP_Coal_600_RC_H2,EP_Coal_600_SEA,EP_Coal_600_SEA_CCS,EP_Coal_600_SEA_H2,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Fuel_Cell,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,TXPowerNet
Anhui,2038,0.0,0.0,8761.032022012203,1239954.1519306442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8322.0,0.0,0.0,66992.1,0.0,0.0,0.0,0.0,0.0,13476.016,0.0,0.0,24312.4,0.0,0.0,0.0,0.0,0.0,54425.880000000005,0.0,0.0,176259.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.972220137178,4241.953364600679,0.0,0.0,17799.16283904,0.0,0.0,0.0,3579.874248129312,-1297152.9926814286
Anhui,2048,0.0,953962.5891538733,0.0,1152240.961273795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6946.400000000001,0.0,0.0,55918.520000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18338.496,0.0,0.0,68560.96800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.972220137178,5121.290574340331,0.0,0.0,17799.16283904,0.0,0.0,20125.670726963966,0.0,-1917723.460533011
Fujian,2038,0.0,140274.14228517967,1571.2751926143999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5961.5160000000005,0.0,0.0,0.0,0.0,0.0,54036.633512549924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130662,1781.2791022330252,57131.52565739527,49693.74782423042,0.0,0.0,0.0,40885.349702727246,7569.151707459888,-1416.8149311591515
Fujian,2048,15812.98789076447,132853.5788300919,0.0,6308.545557414005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20070.3181048315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4569.576,0.0,0.0,0.0,0.0,0.0,13220.571218620782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130662,2832.93642677933,57131.52565739527,49693.74782423042,0.0,80455.08122296847,0.0,47116.01620513555,0.0,45829.440055574385
Jiangsu,2038,0.0,0.0,8460.633410713375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.961737073038,70670.24472361043,0.0,0.0,34976.82488612793,0.0,0.0,7657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22752.602617870594,0.0,0.0,4152.779179807725,0.0,0.0,5076.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.3070937640505,4868.8664861389025,49080.244764671996,29645.073766809594,0.0,0.0,0.0,14618.380908146359,5413.783481629645,787133.0862149519
Jiangsu,2048,81996.52781093869,13391.415866813128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.095766390247,71595.4160349098,0.0,0.0,38328.206,0.0,0.0,9720.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14706.912,0.0,0.0,7019.2080000000005,0.0,0.0,12868.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.3070937640505,5715.855658010002,33992.6139666432,44732.704564838394,0.0,0.0,0.0,43925.50234574009,0.0,966403.7887030973
Shanghai,2038,0.0,7287.139469906688,842.3705913923328,11113.702001728117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3117.608948164481,23882.905163250132,0.0,0.0,0.0,0.0,0.0,12517.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3676.728,0.0,0.0,3342.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256678.80295789812
Shanghai,2048,0.0,9570.0616035948,0.0,46177.99474295577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481.73808663296,0.0,0.0,0.0,0.0,0.0,0.0,9720.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3676.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309039.4941471165
Zhejiang,2038,0.0,212016.67897804797,14376.497776889139,22168.088183663916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11139.823651869361,0.0,0.0,93662.40000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10781.208,0.0,0.0,40255.63556563995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092162,10062.559287569335,72264.6011265024,27766.694028902406,0.0,0.0,0.0,23975.26087206656,2996.6536337872158,233101.83912643327
Zhejiang,2048,9095.344892429848,135585.629824512,0.0,10153.428962760585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9720.4,0.0,0.0,53462.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3676.728,0.0,0.0,11030.184000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092162,11813.624642849607,52465.87276001285,47565.422395391986,0.0,0.0,0.0,24859.5005519616,0.0,563492.8004338243
