generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Anhui-Battery_Storage-11177,2040-06-26_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-12-12_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-12-12_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-12-12_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-12-12_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-12-12_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-12-12_20:00,Anhui,0,0,0
Anhui-Hydro_Pumped-ep-35020,2040-06-26_00:00,Anhui,0,17.1663,0
Anhui-Hydro_Pumped-ep-35020,2040-06-26_04:00,Anhui,42.9158,17.1663,58.3655
Anhui-Hydro_Pumped-ep-35020,2040-06-26_08:00,Anhui,42.9158,17.1663,116.731
Anhui-Hydro_Pumped-ep-35020,2040-06-26_12:00,Anhui,42.9158,17.1663,175.097
Anhui-Hydro_Pumped-ep-35020,2040-06-26_16:00,Anhui,0,17.1663,106.431
Anhui-Hydro_Pumped-ep-35020,2040-06-26_20:00,Anhui,10.439,17.1663,68.6653
Anhui-Hydro_Pumped-ep-35020,2040-12-19_00:00,Anhui,2.42994,3.99589,0
Anhui-Hydro_Pumped-ep-35020,2040-12-19_04:00,Anhui,9.98973,3.99589,13.586
Anhui-Hydro_Pumped-ep-35020,2040-12-19_08:00,Anhui,9.98973,3.99589,27.1721
Anhui-Hydro_Pumped-ep-35020,2040-12-19_12:00,Anhui,9.98973,3.99589,40.7581
Anhui-Hydro_Pumped-ep-35020,2040-12-19_16:00,Anhui,0,3.99589,24.7745
Anhui-Hydro_Pumped-ep-35020,2040-12-19_20:00,Anhui,0,3.99589,8.79097
Anhui-Hydro_Pumped-ep-35020,2050-06-12_00:00,Anhui,0,17.1663,68.6653
Anhui-Hydro_Pumped-ep-35020,2050-06-12_04:00,Anhui,0,17.1663,0
Anhui-Hydro_Pumped-ep-35020,2050-06-12_08:00,Anhui,75.92,30.368,103.251
Anhui-Hydro_Pumped-ep-35020,2050-06-12_12:00,Anhui,75.92,30.368,206.502
Anhui-Hydro_Pumped-ep-35020,2050-06-12_16:00,Anhui,23.0266,17.1663,205.996
Anhui-Hydro_Pumped-ep-35020,2050-06-12_20:00,Anhui,0,17.1663,137.331
Anhui-Hydro_Pumped-ep-35020,2050-12-12_00:00,Anhui,0,3.99589,0
Anhui-Hydro_Pumped-ep-35020,2050-12-12_04:00,Anhui,9.98973,3.99589,13.586
Anhui-Hydro_Pumped-ep-35020,2050-12-12_08:00,Anhui,9.98973,3.99589,27.1721
Anhui-Hydro_Pumped-ep-35020,2050-12-12_12:00,Anhui,9.98973,3.99589,40.7581
Anhui-Hydro_Pumped-ep-35020,2050-12-12_16:00,Anhui,2.42994,3.99589,31.9671
Anhui-Hydro_Pumped-ep-35020,2050-12-12_20:00,Anhui,0,3.99589,15.9836
Anhui-Hydro_Pumped-ep-35027,2040-06-26_00:00,Anhui,0,128.747,0
Anhui-Hydro_Pumped-ep-35027,2040-06-26_04:00,Anhui,321.869,128.747,437.741
Anhui-Hydro_Pumped-ep-35027,2040-06-26_08:00,Anhui,321.869,128.747,875.483
Anhui-Hydro_Pumped-ep-35027,2040-06-26_12:00,Anhui,321.869,128.747,1313.22
Anhui-Hydro_Pumped-ep-35027,2040-06-26_16:00,Anhui,0,128.747,798.234
Anhui-Hydro_Pumped-ep-35027,2040-06-26_20:00,Anhui,78.2924,128.747,514.99
Anhui-Hydro_Pumped-ep-35027,2040-12-19_00:00,Anhui,18.2245,29.9692,0
Anhui-Hydro_Pumped-ep-35027,2040-12-19_04:00,Anhui,74.923,29.9692,101.895
Anhui-Hydro_Pumped-ep-35027,2040-12-19_08:00,Anhui,74.923,29.9692,203.791
Anhui-Hydro_Pumped-ep-35027,2040-12-19_12:00,Anhui,74.923,29.9692,305.686
Anhui-Hydro_Pumped-ep-35027,2040-12-19_16:00,Anhui,0,29.9692,185.809
Anhui-Hydro_Pumped-ep-35027,2040-12-19_20:00,Anhui,0,29.9692,65.9322
Anhui-Hydro_Pumped-ep-35027,2050-06-12_00:00,Anhui,0,128.747,514.99
Anhui-Hydro_Pumped-ep-35027,2050-06-12_04:00,Anhui,0,128.747,0
Anhui-Hydro_Pumped-ep-35027,2050-06-12_08:00,Anhui,569.4,227.76,774.384
Anhui-Hydro_Pumped-ep-35027,2050-06-12_12:00,Anhui,569.4,227.76,1548.77
Anhui-Hydro_Pumped-ep-35027,2050-06-12_16:00,Anhui,172.7,128.747,1544.97
Anhui-Hydro_Pumped-ep-35027,2050-06-12_20:00,Anhui,0,128.747,1029.98
Anhui-Hydro_Pumped-ep-35027,2050-12-12_00:00,Anhui,0,29.9692,0
Anhui-Hydro_Pumped-ep-35027,2050-12-12_04:00,Anhui,74.923,29.9692,101.895
Anhui-Hydro_Pumped-ep-35027,2050-12-12_08:00,Anhui,74.923,29.9692,203.791
Anhui-Hydro_Pumped-ep-35027,2050-12-12_12:00,Anhui,74.923,29.9692,305.686
Anhui-Hydro_Pumped-ep-35027,2050-12-12_16:00,Anhui,18.2245,29.9692,239.754
Anhui-Hydro_Pumped-ep-35027,2050-12-12_20:00,Anhui,0,29.9692,119.877
Anhui-Hydro_Pumped-ep-35039,2040-06-26_00:00,Anhui,0,386.242,0
Anhui-Hydro_Pumped-ep-35039,2040-06-26_04:00,Anhui,965.606,386.242,1313.22
Anhui-Hydro_Pumped-ep-35039,2040-06-26_08:00,Anhui,965.606,386.242,2626.45
Anhui-Hydro_Pumped-ep-35039,2040-06-26_12:00,Anhui,965.606,386.242,3939.67
Anhui-Hydro_Pumped-ep-35039,2040-06-26_16:00,Anhui,0,386.242,2394.7
Anhui-Hydro_Pumped-ep-35039,2040-06-26_20:00,Anhui,234.877,386.242,1544.97
Anhui-Hydro_Pumped-ep-35039,2040-12-19_00:00,Anhui,54.6735,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2040-12-19_04:00,Anhui,224.769,89.9076,305.686
Anhui-Hydro_Pumped-ep-35039,2040-12-19_08:00,Anhui,224.769,89.9076,611.372
Anhui-Hydro_Pumped-ep-35039,2040-12-19_12:00,Anhui,224.769,89.9076,917.057
Anhui-Hydro_Pumped-ep-35039,2040-12-19_16:00,Anhui,0,89.9076,557.427
Anhui-Hydro_Pumped-ep-35039,2040-12-19_20:00,Anhui,0,89.9076,197.797
Anhui-Hydro_Pumped-ep-35039,2050-06-12_00:00,Anhui,0,386.242,1544.97
Anhui-Hydro_Pumped-ep-35039,2050-06-12_04:00,Anhui,0,386.242,0
Anhui-Hydro_Pumped-ep-35039,2050-06-12_08:00,Anhui,1708.2,683.28,2323.15
Anhui-Hydro_Pumped-ep-35039,2050-06-12_12:00,Anhui,1708.2,683.28,4646.3
Anhui-Hydro_Pumped-ep-35039,2050-06-12_16:00,Anhui,518.099,386.242,4634.91
Anhui-Hydro_Pumped-ep-35039,2050-06-12_20:00,Anhui,0,386.242,3089.94
Anhui-Hydro_Pumped-ep-35039,2050-12-12_00:00,Anhui,0,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2050-12-12_04:00,Anhui,224.769,89.9076,305.686
Anhui-Hydro_Pumped-ep-35039,2050-12-12_08:00,Anhui,224.769,89.9076,611.372
Anhui-Hydro_Pumped-ep-35039,2050-12-12_12:00,Anhui,224.769,89.9076,917.057
Anhui-Hydro_Pumped-ep-35039,2050-12-12_16:00,Anhui,54.6735,89.9076,719.261
Anhui-Hydro_Pumped-ep-35039,2050-12-12_20:00,Anhui,0,89.9076,359.63
Anhui-Hydro_Pumped-ep-35040,2040-06-26_00:00,Anhui,0,257.495,0
Anhui-Hydro_Pumped-ep-35040,2040-06-26_04:00,Anhui,643.737,257.495,875.483
Anhui-Hydro_Pumped-ep-35040,2040-06-26_08:00,Anhui,643.737,257.495,1750.97
Anhui-Hydro_Pumped-ep-35040,2040-06-26_12:00,Anhui,643.737,257.495,2626.45
Anhui-Hydro_Pumped-ep-35040,2040-06-26_16:00,Anhui,0,257.495,1596.47
Anhui-Hydro_Pumped-ep-35040,2040-06-26_20:00,Anhui,156.585,257.495,1029.98
Anhui-Hydro_Pumped-ep-35040,2040-12-19_00:00,Anhui,36.449,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2040-12-19_04:00,Anhui,149.846,59.9384,203.791
Anhui-Hydro_Pumped-ep-35040,2040-12-19_08:00,Anhui,149.846,59.9384,407.581
Anhui-Hydro_Pumped-ep-35040,2040-12-19_12:00,Anhui,149.846,59.9384,611.372
Anhui-Hydro_Pumped-ep-35040,2040-12-19_16:00,Anhui,0,59.9384,371.618
Anhui-Hydro_Pumped-ep-35040,2040-12-19_20:00,Anhui,0,59.9384,131.864
Anhui-Hydro_Pumped-ep-35040,2050-06-12_00:00,Anhui,0,257.495,1029.98
Anhui-Hydro_Pumped-ep-35040,2050-06-12_04:00,Anhui,0,257.495,0
Anhui-Hydro_Pumped-ep-35040,2050-06-12_08:00,Anhui,1138.8,455.52,1548.77
Anhui-Hydro_Pumped-ep-35040,2050-06-12_12:00,Anhui,1138.8,455.52,3097.54
Anhui-Hydro_Pumped-ep-35040,2050-06-12_16:00,Anhui,345.399,257.495,3089.94
Anhui-Hydro_Pumped-ep-35040,2050-06-12_20:00,Anhui,0,257.495,2059.96
Anhui-Hydro_Pumped-ep-35040,2050-12-12_00:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2050-12-12_04:00,Anhui,149.846,59.9384,203.791
Anhui-Hydro_Pumped-ep-35040,2050-12-12_08:00,Anhui,149.846,59.9384,407.581
Anhui-Hydro_Pumped-ep-35040,2050-12-12_12:00,Anhui,149.846,59.9384,611.372
Anhui-Hydro_Pumped-ep-35040,2050-12-12_16:00,Anhui,36.449,59.9384,479.507
Anhui-Hydro_Pumped-ep-35040,2050-12-12_20:00,Anhui,0,59.9384,239.754
Fujian-Battery_Storage-11178,2040-06-26_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-06-26_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-06-26_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-06-26_12:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-06-26_16:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-06-26_20:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_12:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_16:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_20:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2050-06-12_00:00,Fujian,0,496.796,5597.13
