TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Fujian-Zhejiang,2038,Fujian,Zhejiang,26,473.207,0.970596,1,21392.03174400625,21392.03174400625,314563041.20737183
Fujian-Zhejiang,2048,Fujian,Zhejiang,26,473.207,0.970596,1,21392.03174400625,21392.03174400625,314563041.20737183
Anhui-Zhejiang,2038,Anhui,Zhejiang,6,327.053,0.979678,1,31526.4692430956,31526.4692430956,320404032.0561451
Anhui-Zhejiang,2048,Anhui,Zhejiang,6,327.053,0.979678,1,78910.71616754362,78910.71616754362,801970922.8319674
Jiangsu-Shanghai,2038,Jiangsu,Shanghai,81,270.654,0.983182,1,28609.8037946193,28609.8037946193,240621167.4292478
Jiangsu-Shanghai,2048,Jiangsu,Shanghai,81,270.654,0.983182,1,43568.9029602594,43568.9029602594,366433840.9717056
Jiangsu-Zhejiang,2038,Jiangsu,Zhejiang,82,238.01,0.985211,1,10030.860460107688,10030.860460107688,74188722.62272881
Jiangsu-Zhejiang,2048,Jiangsu,Zhejiang,82,238.01,0.985211,1,10030.860460107688,10030.860460107688,74188722.62272881
Zhejiang-Shanghai,2038,Zhejiang,Shanghai,164,165.398,0.989723,1,8264.011100132686,8264.011100132686,42474242.84480233
Zhejiang-Shanghai,2048,Zhejiang,Shanghai,164,165.398,0.989723,1,8264.011100132686,8264.011100132686,42474242.84480233
Anhui-Jiangsu,2038,Anhui,Jiangsu,3,142.72,0.991132,1,127114.8049054642,127114.8049054642,563748594.9327755
Anhui-Jiangsu,2048,Anhui,Jiangsu,3,142.72,0.991132,1,214408.33284109965,214408.33284109965,950891569.7974132
