BASE_BLD_RETRO_BLD_1,BASE_BLD_RETRO_BLD_2,BASE_BLD_RETRO_BLD_3,BASE_BLD_RETRO_BLD_4,BuildRetrofitGen
Anhui-Coal_1000_OT-12107,2038,Anhui-Coal_1000_OT-12107_CCS,2038,-0.0
Anhui-Coal_1000_OT-12107,2038,Anhui-Coal_1000_OT-12107_CCS,2048,-0.0
Anhui-Coal_1000_OT-12107,2038,Anhui-Coal_1000_OT-12107_H2,2038,-0.0
Anhui-Coal_1000_OT-12107,2038,Anhui-Coal_1000_OT-12107_H2,2048,-0.0
Anhui-Coal_1000_OT-12107,2048,Anhui-Coal_1000_OT-12107_CCS,2048,-0.0
Anhui-Coal_1000_OT-12107,2048,Anhui-Coal_1000_OT-12107_H2,2048,0.0
Anhui-Coal_1000_RC-12115,2038,Anhui-Coal_1000_RC-12115_CCS,2038,-0.0
Anhui-Coal_1000_RC-12115,2038,Anhui-Coal_1000_RC-12115_CCS,2048,-0.0
Anhui-Coal_1000_RC-12115,2038,Anhui-Coal_1000_RC-12115_H2,2038,-0.0
Anhui-Coal_1000_RC-12115,2038,Anhui-Coal_1000_RC-12115_H2,2048,0.0
Anhui-Coal_1000_RC-12115,2048,Anhui-Coal_1000_RC-12115_CCS,2048,-0.0
Anhui-Coal_1000_RC-12115,2048,Anhui-Coal_1000_RC-12115_H2,2048,0.0
Anhui-Coal_1000_RC-12125,2038,Anhui-Coal_1000_RC-12125_CCS,2038,-0.0
Anhui-Coal_1000_RC-12125,2038,Anhui-Coal_1000_RC-12125_CCS,2048,-0.0
Anhui-Coal_1000_RC-12125,2038,Anhui-Coal_1000_RC-12125_H2,2038,-0.0
Anhui-Coal_1000_RC-12125,2038,Anhui-Coal_1000_RC-12125_H2,2048,0.0
Anhui-Coal_1000_RC-12125,2048,Anhui-Coal_1000_RC-12125_CCS,2048,-0.0
Anhui-Coal_1000_RC-12125,2048,Anhui-Coal_1000_RC-12125_H2,2048,0.0
Anhui-Coal_300_OT-12111,2038,Anhui-Coal_300_OT-12111_CCS,2038,-0.0
Anhui-Coal_300_OT-12111,2038,Anhui-Coal_300_OT-12111_CCS,2048,0.0
Anhui-Coal_300_OT-12111,2038,Anhui-Coal_300_OT-12111_H2,2038,-0.0
Anhui-Coal_300_OT-12111,2038,Anhui-Coal_300_OT-12111_H2,2048,0.0
Anhui-Coal_300_OT-12111,2048,Anhui-Coal_300_OT-12111_CCS,2048,0.0
Anhui-Coal_300_OT-12111,2048,Anhui-Coal_300_OT-12111_H2,2048,0.0
Anhui-Coal_300_RC-12119,2038,Anhui-Coal_300_RC-12119_CCS,2038,-0.0
Anhui-Coal_300_RC-12119,2038,Anhui-Coal_300_RC-12119_CCS,2048,0.0
Anhui-Coal_300_RC-12119,2038,Anhui-Coal_300_RC-12119_H2,2038,-0.0
Anhui-Coal_300_RC-12119,2038,Anhui-Coal_300_RC-12119_H2,2048,0.0
Anhui-Coal_300_RC-12119,2048,Anhui-Coal_300_RC-12119_CCS,2048,0.0
Anhui-Coal_300_RC-12119,2048,Anhui-Coal_300_RC-12119_H2,2048,0.0
Anhui-Coal_300_RC-12129,2038,Anhui-Coal_300_RC-12129_CCS,2038,-0.0
Anhui-Coal_300_RC-12129,2038,Anhui-Coal_300_RC-12129_CCS,2048,0.0
Anhui-Coal_300_RC-12129,2038,Anhui-Coal_300_RC-12129_H2,2038,-0.0
Anhui-Coal_300_RC-12129,2038,Anhui-Coal_300_RC-12129_H2,2048,0.0
Anhui-Coal_300_RC-12129,2048,Anhui-Coal_300_RC-12129_CCS,2048,0.0
Anhui-Coal_300_RC-12129,2048,Anhui-Coal_300_RC-12129_H2,2048,0.0
Anhui-Coal_600_OT-12109,2038,Anhui-Coal_600_OT-12109_CCS,2038,-0.0
Anhui-Coal_600_OT-12109,2038,Anhui-Coal_600_OT-12109_CCS,2048,-0.0
Anhui-Coal_600_OT-12109,2038,Anhui-Coal_600_OT-12109_H2,2038,-0.0
Anhui-Coal_600_OT-12109,2038,Anhui-Coal_600_OT-12109_H2,2048,0.0
Anhui-Coal_600_OT-12109,2048,Anhui-Coal_600_OT-12109_CCS,2048,-0.0
