RFM_SUPPLY_TIERS_1,RFM_SUPPLY_TIERS_2,RFM_SUPPLY_TIERS_3,ConsumeFuelTier
Anhui,2038,0,0.0
Anhui,2048,0,0.0
Fujian,2038,0,0.0
Fujian,2048,0,0.0
Jiangsu,2038,0,0.0
Jiangsu,2048,0,0.0
Shanghai,2038,0,0.0
Shanghai,2048,0,0.0
Zhejiang,2038,0,0.0
Zhejiang,2048,0,0.0
Anhui_Coal,2038,0,12245399630.02114
Anhui_Coal,2048,0,7683829185.385438
Anhui_Hydrogen,2038,0,-0.0
Anhui_Hydrogen,2048,0,-0.0
Anhui_Uranium,2038,0,185111293.526016
Anhui_Uranium,2048,0,185111293.526016
Fujian_Coal,2038,0,558193650.2705362
Fujian_Coal,2048,0,386519947.6651142
Fujian_Hydrogen,2038,0,-0.0
Fujian_Hydrogen,2048,0,-0.0
Fujian_Uranium,2038,0,1082822712.940143
Fujian_Uranium,2048,0,1082822712.940143
Jiangsu_Coal,2038,0,1132911891.914728
Jiangsu_Coal,2048,0,1151906978.207457
Jiangsu_Hydrogen,2038,0,-0.0
Jiangsu_Hydrogen,2048,0,-0.0
Jiangsu_Uranium,2038,0,807548290.6752716
Jiangsu_Uranium,2048,0,818743312.7274089
Shanghai_Coal,2038,0,433061249.7414863
Shanghai_Coal,2048,0,419456069.9832488
Shanghai_Hydrogen,2038,0,-0.0
Shanghai_Hydrogen,2048,0,-0.0
Shanghai_Uranium,2038,0,0.0
Shanghai_Uranium,2048,0,0.0
Zhejiang_Coal,2038,0,1499514882.742111
Zhejiang_Coal,2048,0,827299544.0518003
Zhejiang_Hydrogen,2038,0,-0.0
Zhejiang_Hydrogen,2048,0,-0.0
Zhejiang_Uranium,2038,0,998668218.0183787
Zhejiang_Uranium,2048,0,1009477808.666876
