TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Fujian,Zhejiang,2040.06.26.00,0.0
Fujian,Zhejiang,2040.06.26.04,0.0
Fujian,Zhejiang,2040.06.26.08,32157.83625023062
Fujian,Zhejiang,2040.06.26.12,17029.93811440478
Fujian,Zhejiang,2040.06.26.16,3991.671057971391
Fujian,Zhejiang,2040.06.26.20,0.0
Fujian,Zhejiang,2040.12.19.00,0.0
Fujian,Zhejiang,2040.12.19.04,0.0
Fujian,Zhejiang,2040.12.19.08,6598.61338884071
Fujian,Zhejiang,2040.12.19.12,9932.960293652051
Fujian,Zhejiang,2040.12.19.16,0.0
Fujian,Zhejiang,2040.12.19.20,0.0
Fujian,Zhejiang,2050.06.12.00,0.0
Fujian,Zhejiang,2050.06.12.04,0.0
Fujian,Zhejiang,2050.06.12.08,0.0
Fujian,Zhejiang,2050.06.12.12,0.0
Fujian,Zhejiang,2050.06.12.16,0.0
Fujian,Zhejiang,2050.06.12.20,0.0
Fujian,Zhejiang,2050.12.12.00,2674.306219440035
Fujian,Zhejiang,2050.12.12.04,3587.82942119651
Fujian,Zhejiang,2050.12.12.08,24326.34250054178
Fujian,Zhejiang,2050.12.12.12,32157.83625023062
Fujian,Zhejiang,2050.12.12.16,13956.02525289469
Fujian,Zhejiang,2050.12.12.20,3135.836540936637
Zhejiang,Fujian,2040.06.26.00,7665.082567222681
Zhejiang,Fujian,2040.06.26.04,5149.163478754182
Zhejiang,Fujian,2040.06.26.08,0.0
Zhejiang,Fujian,2040.06.26.12,0.0
Zhejiang,Fujian,2040.06.26.16,0.0
Zhejiang,Fujian,2040.06.26.20,14581.44533466494
Zhejiang,Fujian,2040.12.19.00,4660.153753219601
Zhejiang,Fujian,2040.12.19.04,3051.920726525972
Zhejiang,Fujian,2040.12.19.08,0.0
Zhejiang,Fujian,2040.12.19.12,0.0
Zhejiang,Fujian,2040.12.19.16,0.0
Zhejiang,Fujian,2040.12.19.20,13488.43247009678
