BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingency
East_China,2040.06.26.00,-0.0
East_China,2040.06.26.04,12479.05829420158
East_China,2040.06.26.08,14604.81829420158
East_China,2040.06.26.12,13679.90036155647
East_China,2040.06.26.16,2931.914232055377
East_China,2040.06.26.20,-0.0
East_China,2040.12.19.00,2289.952768470499
East_China,2040.12.19.04,2956.075043196888
East_China,2040.12.19.08,4249.93795217889
East_China,2040.12.19.12,5375.880489330119
East_China,2040.12.19.16,280.574702243522
East_China,2040.12.19.20,2178.175755881499
East_China,2050.06.12.00,356.8807927069411
East_China,2050.06.12.04,37559.14222006515
East_China,2050.06.12.08,226855.3523726527
East_China,2050.06.12.12,226855.3523726527
East_China,2050.06.12.16,107482.8367653848
East_China,2050.06.12.20,11022.46856377699
East_China,2050.12.12.00,59087.72854984458
East_China,2050.12.12.04,80924.95424961024
East_China,2050.12.12.08,126808.3107182908
East_China,2050.12.12.12,128687.4463486216
East_China,2050.12.12.16,28397.04382264943
East_China,2050.12.12.20,66090.19242206188
