load_zone,period,Coal,Gas,Hydrogen,Solar,Storage,Uranium,Water,Wind,hydro,fuel cells
Anhui,2038,194497.6192350261,0.0,0.0,8878.5,0.0,2350.0,4081.5966095312297,2174.0,0,0
Anhui,2048,181464.766333342,0.0,0.0,554517.2815521394,17207.861572730035,2350.0,5681.378165246417,9030.0,0,0
Fujian,2038,14816.63967810286,0.0,0.0,94261.33334,0.0,14104.0,9254.075184056108,14458.600000999999,0,0
Fujian,2048,19897.845841710812,0.0,0.0,140000.00001,12099.1772942345,14104.0,12986.23,40250.00000100001,0,0
Jiangsu,2038,143101.50154861918,0.0,0.0,10130.242857000001,0.0,10394.0,4650.189353552047,22000.000000000004,0,0
Jiangsu,2048,117121.50154861918,0.0,0.0,6771.428572,47856.5236908018,10394.0,6191.12,35000.000004,0,0
Shanghai,2038,48623.09569111731,0.0,0.0,7779.099999999999,0.0,0,0,0.0,0,0
Shanghai,2048,42673.09569111731,0.0,0.0,7201.0,16763.339858888387,0,0,0.0,0,0
Zhejiang,2038,92098.34768594486,0.0,0.0,128136.99999999999,0.0,13207.0,14541.540088228458,10619.900000000001,0,0
Zhejiang,2048,71768.34768594486,0.0,0.0,120000.0,9463.138173474206,13207.0,17727.260000000002,63280.0,0,0
