PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2038,EmissionsCosts,annual,0.0,0.0
2038,FuelCostsPerPeriod,annual,42612588932.59231,97494521553.69333
2038,GenRetrofitCapitalCostAdjustment,annual,0.0,0.0
2038,GenVariableOMCostsInTP,timepoint,5292705682.420196,12109327810.341042
2038,HydrogenFixedCostAnnual,annual,0.0,0.0
2038,HydrogenVariableCost,timepoint,0.0,0.0
2038,LocalTDFixedCosts,annual,11535173743.908197,26391643253.12538
2038,StorageEnergyFixedCost,annual,0.0,0.0
2038,TotalGenFixedCosts,annual,25238460603.038685,57743772506.69677
2038,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2038,TxFixedCosts,annual,734339848.3708102,1680116462.4842815
2048,EmissionsCosts,annual,0.0,0.0
2048,FuelCostsPerPeriod,annual,23460508901.127884,72135985158.83675
2048,GenRetrofitCapitalCostAdjustment,annual,0.0,0.0
2048,GenVariableOMCostsInTP,timepoint,2737338698.4545083,8416723804.185289
2048,HydrogenFixedCostAnnual,annual,0.0,0.0
2048,HydrogenVariableCost,timepoint,0.0,0.0
2048,LocalTDFixedCosts,annual,10159244733.011265,31237477855.83026
2048,StorageEnergyFixedCost,annual,1923024948.7414396,5912885340.514341
2048,TotalGenFixedCosts,annual,35241909730.18719,108361241777.82129
2048,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2048,TxFixedCosts,annual,945243848.737469,2906420168.947387
