gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Storage,2048,-52450.27952601691,0.0,0.0,103390.04059012892,1659715356.5188901,2405986925.1214495,23.547690743671716,0.19063578977405685,225108.49581981506,172658.21629379815
Central_PV,Solar,2038,385572.380264631,0.0,0.0,218334.33334,10723616582.291103,3531688581.4578457,36.97180060969374,0.20159500903512426,0.0,0.0
Central_PV,Solar,2048,1362145.2899214046,0.0,0.0,825232.5672771394,35605151040.45911,12473152850.630798,35.296017426939834,0.18842692815107995,0.0,0.0
Central_PV_EP,Solar,2038,34011.80899362144,0.0,0.0,27594.7,3038858157.319444,1050962189.2747083,120.24706910947182,0.14070189556129872,0.0,0.0
Coal_1000_OT,Coal,2038,1250529.1176696005,8271773762.210554,941270265.6000262,324390.56416070746,11926905171.909351,2164602351.300815,17.883055235927163,0.4400697223014009,0.0,0.0
Coal_1000_OT,Coal,2048,923082.7718458856,6105840915.349844,694802186.9697454,342725.55710073415,12601029965.548508,2286948600.587535,22.743160333828584,0.3074610091407209,0.0,0.0
Coal_1000_OT_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_100_RC,Coal,2038,0.0,0.0,0.0,0.0,16633630.302647583,0.0,0.0,0.0,0.0,0.0
Coal_300_OT,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_OT,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_OT_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_OT_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_OT_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_OT_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_CCS,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_CCS,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
