gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Anhui,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Anhui,Storage,2048,-5689.544025476873,0.0,0.0,17207.861572730035,276236975.458138,400443695.70777684,36.12990886904196,0.12424699543378996,24418.643886166836,18729.09986068996
Battery_Storage,Fujian,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Fujian,Storage,2048,-6033.793897110257,0.0,0.0,12099.1772942345,194227512.06853586,281559637.74168223,23.954261924163355,0.18740016438356175,25896.111146395982,19862.317249285727
Battery_Storage,Jiangsu,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Jiangsu,Storage,2048,-26309.00207016054,0.0,0.0,47856.5236908018,768238476.6063933,1113667908.675017,21.72972337968474,0.20658489497716898,112914.17197493791,86605.16990477737
Battery_Storage,Shanghai,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Shanghai,Storage,2048,-9215.603412812583,0.0,0.0,16763.339858888387,269101089.73299485,390099242.55415565,21.729723379684746,0.20658489497716892,39551.945977736395,30336.342564923816
Battery_Storage,Zhejiang,Storage,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Battery_Storage,Zhejiang,Storage,2048,-5202.336120456658,0.0,0.0,9463.138173474206,151911302.65282816,220216440.44281754,21.729723379684742,0.20658489497716895,22327.622834577935,17125.286714121277
Central_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Anhui,Solar,2048,1059234.405561499,0.0,0.0,554517.2815521394,22734027019.78909,8169732884.987974,29.17556278621351,0.2180584331766702,0.0,0.0
Central_PV,Fujian,Solar,2038,166268.56181667635,0.0,0.0,93333.33334,4584120443.973995,1509722555.2381227,36.65060269139178,0.20336174389041098,0.0,0.0
Central_PV,Fujian,Solar,2048,148562.08580469157,0.0,0.0,140000.00001,6497354343.609486,2197265061.1443577,58.52515705914562,0.12113673009954339,0.0,0.0
Central_PV,Jiangsu,Solar,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central_PV,Jiangsu,Solar,2048,11186.00122694705,0.0,0.0,5714.285715,234273538.74342674,84188878.27874297,28.469728418676958,0.22346463635514152,0.0,0.0
Central_PV,Shanghai,Solar,2038,7287.139469906688,0.0,0.0,5001.0,245626996.48581898,80894169.62364168,44.80786561830987,0.1663397793022831,0.0,0.0
Central_PV,Shanghai,Solar,2048,9570.061603594799,0.0,0.0,5001.0,245626996.48581898,80894169.62364168,34.119024478046164,0.21845086698630137,0.0,0.0
Central_PV,Zhejiang,Solar,2038,212016.678978048,0.0,0.0,120000.0,5893869141.831289,1941071856.5960813,36.954361497373476,0.20169014362447488,0.0,0.0
Central_PV,Zhejiang,Solar,2048,133592.735724672,0.0,0.0,120000.0,5893869141.831289,1941071856.5960813,58.64795683632675,0.12708593581114155,0.0,0.0
Central_PV_EP,Anhui,Solar,2038,8761.0320220122,0.0,0.0,8878.5,977742180.5549864,338143476.7355868,150.19756279675667,0.11264490744292237,0.0,0.0
Central_PV_EP,Fujian,Solar,2038,1571.2751926144,0.0,0.0,928.0,102195724.90342146,35343486.671242274,87.5334965009001,0.1932858989497717,0.0,0.0
Central_PV_EP,Jiangsu,Solar,2038,8460.633410713377,0.0,0.0,9073.1,999172447.8677082,345554944.9535003,158.9393284808241,0.10644936480547944,0.0,0.0
Central_PV_EP,Shanghai,Solar,2038,842.3705913923327,0.0,0.0,578.1,63663091.12787494,22017316.427419353,101.7134363792014,0.16633977930228308,0.0,0.0
Central_PV_EP,Zhejiang,Solar,2038,14376.497776889133,0.0,0.0,8137.0,896084712.865453,309902964.48695946,83.88605459189732,0.201690145539726,0.0,0.0
