generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Anhui,Storage,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Anhui,Storage,2048,-5689.544025476873,0.0,0.0,17207.861572730035,276236975.458138,400443695.70777684,36.12990886904196,0.12424699543378996,24418.643886166836,18729.09986068996
Anhui-Central_PV-401,new.401,Central_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Central_PV-401,new.401,Central_PV,Anhui,Solar,2048,1029154.3681089726,0.0,0.0,537517.2815521394,22037063242.114513,7919270972.140021,29.10771711468128,0.21856669429429237,,
Anhui-Central_PV-402,new.402,Central_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Central_PV-402,new.402,Central_PV,Anhui,Solar,2048,17277.991191272,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,27.417125059107565,0.23204393219543382,,
Anhui-Central_PV-403,new.403,Central_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Central_PV-403,new.403,Central_PV,Anhui,Solar,2048,12802.046261254503,0.0,0.0,8500.0,348481888.83728707,125230956.42397632,37.00290059839567,0.171931859538739,,
Anhui-Central_PV-404,new.404,Central_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Central_PV-404,new.404,Central_PV,Anhui,Solar,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Central_PV_EP-ep-50012,existing.50012,Central_PV_EP,Anhui,Solar,2038,14.406833082319999,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,150.1975627967566,0.11264490744292237,,
Anhui-Central_PV_EP-ep-50026,existing.50026,Central_PV_EP,Anhui,Solar,2038,30.984558820879997,0.0,0.0,31.4,3457915.6917752516,1195889.5274536717,150.19756279675664,0.11264490744292237,,
Anhui-Central_PV_EP-ep-50053,existing.50053,Central_PV_EP,Anhui,Solar,2038,398.75351017571995,0.0,0.0,404.1,44501392.70848342,15390412.676561426,150.19756279675667,0.11264490744292235,,
Anhui-Central_PV_EP-ep-50083,existing.50083,Central_PV_EP,Anhui,Solar,2038,744.32015027356,0.0,0.0,754.3,83067063.89509785,28728008.616506517,150.19756279675664,0.11264490744292238,,
Anhui-Central_PV_EP-ep-50112,existing.50112,Central_PV_EP,Anhui,Solar,2038,2215.49463263184,0.0,0.0,2245.2,247251984.43228647,85509909.77831158,150.1975627967566,0.1126449074429224,,
Anhui-Central_PV_EP-ep-50143,existing.50143,Central_PV_EP,Anhui,Solar,2038,5353.1252594710795,0.0,0.0,5424.9,597415504.3411325,206610862.9771791,150.19756279675664,0.11264490744292237,,
Anhui-Central_PV_EP-ep-50173,existing.50173,Central_PV_EP,Anhui,Solar,2038,3.9470775567999996,0.0,0.0,4.0,440498.8142388856,152342.6149622512,150.19756279675667,0.11264490744292235,,
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Anhui,Coal,2038,1207718.2391295854,7988596108.17528,909046620.0690655,152287.6192350261,5599176406.90734,1016189048.2943627,12.092192607691512,0.9053091747616077,,
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Anhui,Coal,2048,841254.3433509408,5564577030.916056,633210125.229829,159904.766333342,5879236930.113837,1067016958.6618491,14.871639021627823,0.6005674692582592,,
Anhui-Coal_1000_OT-12107_CCS,new.12107_CCS,Coal_1000_OT_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_OT-12107_CCS,new.12107_CCS,Coal_1000_OT_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_OT-12107_H2,new.12107_H2,Coal_1000_OT_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_OT-12107_H2,new.12107_H2,Coal_1000_OT_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115_CCS,new.12115_CCS,Coal_1000_RC_CCS,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115_CCS,new.12115_CCS,Coal_1000_RC_CCS,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115_H2,new.12115_H2,Coal_1000_RC_H2,Anhui,Hydrogen,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115_H2,new.12115_H2,Coal_1000_RC_H2,Anhui,Hydrogen,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12125,new.12125,Coal_1000_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
