load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW
Anhui,2040-06-26_00:00,189746,-154759,34986.6,0,0,0
Anhui,2040-06-26_04:00,188472,-156494,30004.3,1974.13,0,0
Anhui,2040-06-26_08:00,120467,-86922.5,31570.8,1974.13,0,0
Anhui,2040-06-26_12:00,167832,-128548,37309.8,1974.13,0,0
Anhui,2040-06-26_16:00,191424,-152849,38094.7,480.193,0,0
Anhui,2040-06-26_20:00,190461,-150504,39957.6,0,0,0
Anhui,2040-12-19_00:00,187339,-149407,37820.1,111.777,0,0
Anhui,2040-12-19_04:00,187386,-154492,32434.3,459.528,0,0
Anhui,2040-12-19_08:00,190011,-155423,34127.7,459.528,0,0
Anhui,2040-12-19_12:00,191389,-150598,40331.4,459.528,0,0
Anhui,2040-12-19_16:00,188829,-147649,41179.9,0,0,0
Anhui,2040-12-19_20:00,187719,-144526,43193.7,0,0,0
Anhui,2050-06-12_00:00,186651,-145240,41410.6,0,0,0
Anhui,2050-06-12_04:00,177324,-141811,35513.5,0,0,0
Anhui,2050-06-12_08:00,370908,-313184,37367.6,20356,0,0
Anhui,2050-06-12_12:00,376364,-311847,44160.3,20356,0,0
Anhui,2050-06-12_16:00,326389,-277807,45089.4,3492.32,0,0
Anhui,2050-06-12_20:00,195421,-148127,47294.4,0,0,0
Anhui,2050-12-12_00:00,178896,-134131,44764.4,0,0,0
Anhui,2050-12-12_04:00,179153,-140304,38389.7,459.528,0,0
Anhui,2050-12-12_08:00,249442,-208588,40394,459.528,0,0
Anhui,2050-12-12_12:00,261990,-213793,47736.8,459.528,0,0
Anhui,2050-12-12_16:00,204451,-155598,48741.1,111.777,0,0
Anhui,2050-12-12_20:00,180012,-128887,51124.7,0,0,0
Fujian,2040-06-26_00:00,38289.2,7439.7,45728.9,0,0,0
Fujian,2040-06-26_04:00,36487.2,4997.76,41485,0,0,0
Fujian,2040-06-26_08:00,76722.2,-32157.8,43235.8,1328.6,0,0
Fujian,2040-06-26_12:00,69448.9,-17029.9,51668.4,750.526,0,0
Fujian,2040-06-26_16:00,57167,-3991.67,52507.9,667.485,0,0
Fujian,2040-06-26_20:00,36579.6,14152.7,50732.3,0,0,0
Fujian,2040-12-19_00:00,38454.1,4523.13,42977.2,0,0,0
Fujian,2040-12-19_04:00,36069.1,2962.18,38988.7,42.6549,0,0
Fujian,2040-12-19_08:00,47408.1,-6598.61,40634.1,175.359,0,0
