load_zone,period,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,TXPowerNet
Anhui,2038,1551506.5951296033,0.0,17799.162839040004,0.0,8761.032022012203,0.0,11043.925584737854,3579.8742481293098,-1264917.0798803705
Anhui,2048,976189.7593509334,0.0,17799.162839040004,0.0,1059234.405561499,18729.09986068996,13226.81807155681,20055.784171519008,-1690962.2545286983
Fujian,2038,71052.03862175733,0.0,106825.27348162563,0.0,167839.83700929082,0.0,28493.646129363722,48454.50141018714,-16273.1235718633
Fujian,2048,49447.61510978605,0.0,106825.27348162563,0.0,148562.08580469154,19862.317249285727,28800.749468101258,159791.03567313112,-6409.100262724112
Jiangsu,2038,146772.43694377967,0.0,78725.31853148165,0.0,10773.595147786413,0.0,10977.173579902954,20032.164389776,785646.2926785888
Jiangsu,2048,149411.27756210056,0.0,78725.31853148161,0.0,13780.096993337294,86605.16990477737,12295.800077488148,43925.50234574003,975002.3439691847
Shanghai,2038,55958.64204020347,0.0,0,0.0,11247.119009463499,0.0,0,0.0,255253.1760826729
Shanghai,2048,53466.99644457474,0.0,0,0.0,13051.79969022776,30336.342564923816,0,0.0,324363.22385831
Zhejiang,2038,192883.11367300284,0.0,100031.29515540485,0.0,226393.1767549372,0.0,34053.302424661546,26971.91450585377,218225.88085460305
Zhejiang,2048,106611.82894058377,0.0,100031.29515540475,0.0,133592.735724672,17125.286714121277,36780.42017757412,205009.30976939862,369549.2781411668
