load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_OT_CCS,Coal_1000_OT_H2,Coal_1000_RC,Coal_1000_RC_CCS,Coal_1000_RC_H2,Coal_1000_SEA,Coal_1000_SEA_CCS,Coal_1000_SEA_H2,Coal_100_OT,Coal_100_OT_CCS,Coal_100_OT_H2,Coal_100_RC,Coal_100_RC_CCS,Coal_100_RC_H2,Coal_100_SEA,Coal_100_SEA_CCS,Coal_100_SEA_H2,Coal_300_OT,Coal_300_OT_CCS,Coal_300_OT_H2,Coal_300_RC,Coal_300_RC_CCS,Coal_300_RC_H2,Coal_300_SEA,Coal_300_SEA_CCS,Coal_300_SEA_H2,Coal_600_OT,Coal_600_OT_CCS,Coal_600_OT_H2,Coal_600_RC,Coal_600_RC_CCS,Coal_600_RC_H2,Coal_600_SEA,Coal_600_SEA_CCS,Coal_600_SEA_H2,Coal_IGCC_RC,Coal_IGCC_RC_CCS,Coal_IGCC_RC_H2,Coal_Small_OT,Coal_Small_OT_CCS,Coal_Small_OT_H2,Coal_Small_RC,Coal_Small_RC_CCS,Coal_Small_RC_H2,Coal_Small_SEA,Coal_Small_SEA_CCS,Coal_Small_SEA_H2,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_OT_CCS,EP_Coal_1000_OT_H2,EP_Coal_1000_RC,EP_Coal_1000_RC_CCS,EP_Coal_1000_RC_H2,EP_Coal_1000_SEA,EP_Coal_1000_SEA_CCS,EP_Coal_1000_SEA_H2,EP_Coal_300_OT,EP_Coal_300_OT_CCS,EP_Coal_300_OT_H2,EP_Coal_300_RC,EP_Coal_300_RC_CCS,EP_Coal_300_RC_H2,EP_Coal_300_SEA,EP_Coal_300_SEA_CCS,EP_Coal_300_SEA_H2,EP_Coal_600_OT,EP_Coal_600_OT_CCS,EP_Coal_600_OT_H2,EP_Coal_600_RC,EP_Coal_600_RC_CCS,EP_Coal_600_RC_H2,EP_Coal_600_SEA,EP_Coal_600_SEA_CCS,EP_Coal_600_SEA_H2,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Fuel_Cell,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,TXPowerNet
Anhui,2038,0.0,0.0,8761.032022012203,1207718.2391295857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8322.0,0.0,0.0,66992.1,0.0,0.0,0.0,0.0,0.0,13476.016,0.0,0.0,24312.4,0.0,0.0,0.0,0.0,0.0,54425.880000000005,0.0,0.0,176259.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.972220137178,4241.953364600679,0.0,0.0,17799.16283904,0.0,0.0,0.0,3579.874248129312,-1264917.0798803705
Anhui,2048,18729.09986068996,1059234.405561499,0.0,841254.343350941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6258.6,0.0,0.0,50381.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16522.704,0.0,0.0,61772.382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.972220137178,6424.845851419639,0.0,0.0,17799.16283904,0.0,0.0,20055.78417151901,0.0,-1690962.2545286983
Fujian,2038,0.0,166268.56181667637,1571.2751926143999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2947.183228841072,0.0,0.0,0.0,0.0,0.0,48664.055392916365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130633,1781.2791022330252,57131.52565739527,49693.74782423042,0.0,0.0,0.0,40885.349702727246,7569.151707459888,-16273.1235718633
Fujian,2048,19862.317249285727,148562.0858046916,0.0,22115.203109786085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16644.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2723.688,0.0,0.0,0.0,0.0,0.0,7964.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130662,2088.3824409705644,57131.52565739527,49693.74782423042,0.0,112675.0194679956,0.0,47116.01620513555,0.0,-6409.100262724112
Jiangsu,2038,0.0,0.0,8460.633410713375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2312.961737073038,70814.08082813416,0.0,0.0,34244.98231796739,0.0,0.0,9731.800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21661.38179767837,0.0,0.0,4782.528,0.0,0.0,5537.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.30709376405,4868.8664861389025,49080.244764671996,29645.073766809594,0.0,0.0,0.0,14618.380908146359,5413.783481629645,785646.2926785888
Jiangsu,2048,86605.16990477737,11186.00122694705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2594.095766390247,73194.61200000001,0.0,0.0,39027.406,0.0,0.0,9720.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11499.18,0.0,0.0,5222.796,0.0,0.0,10746.883562100493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.3070937640505,6187.492983724102,33992.6139666432,44732.704564838394,0.0,0.0,0.0,43925.50234574009,0.0,975002.3439691847
Shanghai,2038,0.0,7287.139469906688,842.3705913923328,9728.676304062632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3117.608948164481,24588.880822683626,0.0,0.0,0.0,0.0,0.0,13205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4254.564913457256,0.0,0.0,4181.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255253.1760826729
Shanghai,2048,30336.342564923816,9570.0616035948,0.0,38254.07644457476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481.73808663296,0.0,0.0,0.0,0.0,0.0,0.0,9720.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5492.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324363.22385831
Zhejiang,2038,0.0,212016.67897804797,14376.497776889139,33082.20223595241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11500.92804817832,0.0,0.0,93662.40000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11540.205048359856,0.0,0.0,43097.37834051284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092162,10062.559287569335,72264.6011265024,27766.694028902406,0.0,0.0,0.0,23975.26087206656,2996.6536337872158,218225.88085460305
Zhejiang,2048,17125.286714121277,133592.735724672,0.0,21459.14894058385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9720.4,0.0,0.0,53462.200000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5492.52,0.0,0.0,16477.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092162,12789.677040481882,52465.87276001285,47565.42239539201,0.0,180149.8092174368,0.0,24859.5005519616,0.0,369549.2781411668
