TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Fujian-Zhejiang,2038,Fujian,Zhejiang,26,473.207,0.970596,1,32157.83625023062,32157.83625023062,472870781.5402097
Fujian-Zhejiang,2048,Fujian,Zhejiang,26,473.207,0.970596,1,32157.83625023062,32157.83625023062,472870781.5402097
Anhui-Zhejiang,2038,Anhui,Zhejiang,6,327.053,0.979678,1,28413.32955408387,28413.32955408387,288765141.5409371
Anhui-Zhejiang,2048,Anhui,Zhejiang,6,327.053,0.979678,1,84331.69309040741,84331.69309040741,857064401.5966171
Jiangsu-Shanghai,2038,Jiangsu,Shanghai,81,270.654,0.983182,1,29566.8129717438,29566.8129717438,248670040.0147882
Jiangsu-Shanghai,2048,Jiangsu,Shanghai,81,270.654,0.983182,1,54664.85132752008,54664.85132752008,459755699.0673231
Jiangsu-Zhejiang,2038,Jiangsu,Zhejiang,82,238.01,0.985211,1,10030.860460107684,10030.860460107684,74188722.6227288
Jiangsu-Zhejiang,2048,Jiangsu,Zhejiang,82,238.01,0.985211,1,10030.860460107684,10030.860460107684,74188722.6227288
Zhejiang-Shanghai,2038,Zhejiang,Shanghai,164,165.398,0.989723,1,5368.232484536624,5368.232484536624,27590912.866985887
Zhejiang-Shanghai,2048,Zhejiang,Shanghai,164,165.398,0.989723,1,5368.232484536624,5368.232484536624,27590912.866985887
Anhui-Jiangsu,2038,Anhui,Jiangsu,3,142.72,0.991132,1,128080.3767739182,128080.3767739182,568030863.8986318
Anhui-Jiangsu,2048,Anhui,Jiangsu,3,142.72,0.991132,1,228852.2367374503,228852.2367374503,1014949651.253523
