STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,ChargeStorage
Anhui-Battery_Storage-11177,2040.06.26.00,0.0
Anhui-Battery_Storage-11177,2040.06.26.04,0.0
Anhui-Battery_Storage-11177,2040.06.26.08,0.0
Anhui-Battery_Storage-11177,2040.06.26.12,0.0
Anhui-Battery_Storage-11177,2040.06.26.16,0.0
Anhui-Battery_Storage-11177,2040.06.26.20,0.0
Anhui-Battery_Storage-11177,2040.12.19.00,0.0
Anhui-Battery_Storage-11177,2040.12.19.04,0.0
Anhui-Battery_Storage-11177,2040.12.19.08,0.0
Anhui-Battery_Storage-11177,2040.12.19.12,-0.0
Anhui-Battery_Storage-11177,2040.12.19.16,0.0
Anhui-Battery_Storage-11177,2040.12.19.20,0.0
Anhui-Battery_Storage-11177,2050.06.12.00,0.0
Anhui-Battery_Storage-11177,2050.06.12.04,0.0
Anhui-Battery_Storage-11177,2050.06.12.08,0.0
Anhui-Battery_Storage-11177,2050.06.12.12,526839.1910132368
Anhui-Battery_Storage-11177,2050.06.12.16,392482.4314047301
Anhui-Battery_Storage-11177,2050.06.12.20,0.0
Anhui-Battery_Storage-11177,2050.12.12.00,0.0
Anhui-Battery_Storage-11177,2050.12.12.04,0.0
Anhui-Battery_Storage-11177,2050.12.12.08,269288.8008132821
Anhui-Battery_Storage-11177,2050.12.12.12,526839.1910132368
Anhui-Battery_Storage-11177,2050.12.12.16,0.0
Anhui-Battery_Storage-11177,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.00,10.43898104150211
Anhui-Hydro_Pumped-ep-35020,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.08,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2040.06.26.12,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2040.06.26.16,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2040.06.26.20,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.04,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.12,64.79826816753632
Anhui-Hydro_Pumped-ep-35020,2040.12.19.16,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.20,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.00,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.04,0.3848790759518467
Anhui-Hydro_Pumped-ep-35020,2050.06.12.08,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2050.06.12.12,64.79826816753632
Anhui-Hydro_Pumped-ep-35020,2050.06.12.16,42.9158109483975
Anhui-Hydro_Pumped-ep-35020,2050.06.12.20,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.04,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.12,64.79826816753632
Anhui-Hydro_Pumped-ep-35020,2050.12.12.16,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.00,78.29235781126616
Anhui-Hydro_Pumped-ep-35027,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.08,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2040.06.26.12,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2040.06.26.16,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2040.06.26.20,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.00,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.04,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.12,485.9870112565222
Anhui-Hydro_Pumped-ep-35027,2040.12.19.16,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.20,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.00,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.04,2.88659306963971
Anhui-Hydro_Pumped-ep-35027,2050.06.12.08,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2050.06.12.12,485.9870112565223
Anhui-Hydro_Pumped-ep-35027,2050.06.12.16,321.8685821129825
Anhui-Hydro_Pumped-ep-35027,2050.06.12.20,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.00,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.04,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.12,485.9870112565224
Anhui-Hydro_Pumped-ep-35027,2050.12.12.16,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.20,0.0
Anhui-Hydro_Pumped-ep-35039,2040.06.26.00,234.8770734337976
Anhui-Hydro_Pumped-ep-35039,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35039,2040.06.26.08,965.605746338945
