GEN_TPS_1,GEN_TPS_2,CommitGen
Anhui-Battery_Storage-11177,2040.06.26.00,-0.0
Anhui-Battery_Storage-11177,2040.06.26.04,-0.0
Anhui-Battery_Storage-11177,2040.06.26.08,-0.0
Anhui-Battery_Storage-11177,2040.06.26.12,-0.0
Anhui-Battery_Storage-11177,2040.06.26.16,-0.0
Anhui-Battery_Storage-11177,2040.06.26.20,-0.0
Anhui-Battery_Storage-11177,2040.12.19.00,-0.0
Anhui-Battery_Storage-11177,2040.12.19.04,1.818989403545856e-12
Anhui-Battery_Storage-11177,2040.12.19.08,-0.0
Anhui-Battery_Storage-11177,2040.12.19.12,-0.0
Anhui-Battery_Storage-11177,2040.12.19.16,-0.0
Anhui-Battery_Storage-11177,2040.12.19.20,-0.0
Anhui-Battery_Storage-11177,2050.06.12.00,173510.9382387078
Anhui-Battery_Storage-11177,2050.06.12.04,526839.1910132368
Anhui-Battery_Storage-11177,2050.06.12.08,-0.0
Anhui-Battery_Storage-11177,2050.06.12.12,526839.1910132368
Anhui-Battery_Storage-11177,2050.06.12.16,392482.4314047301
Anhui-Battery_Storage-11177,2050.06.12.20,281334.7054160095
Anhui-Battery_Storage-11177,2050.12.12.00,195967.4375941678
Anhui-Battery_Storage-11177,2050.12.12.04,167851.0310702269
Anhui-Battery_Storage-11177,2050.12.12.08,269288.8008132821
Anhui-Battery_Storage-11177,2050.12.12.12,526839.1910132368
Anhui-Battery_Storage-11177,2050.12.12.16,526839.1910132368
Anhui-Battery_Storage-11177,2050.12.12.20,526839.1910132368
Anhui-Central_PV-401,2040.06.26.00,0.0
Anhui-Central_PV-401,2040.06.26.04,0.0
Anhui-Central_PV-401,2040.06.26.08,478259.4549836455
Anhui-Central_PV-401,2040.06.26.12,478259.4549836455
Anhui-Central_PV-401,2040.06.26.16,478259.4549836455
Anhui-Central_PV-401,2040.06.26.20,0.0
Anhui-Central_PV-401,2040.12.19.00,0.0
Anhui-Central_PV-401,2040.12.19.04,0.0
Anhui-Central_PV-401,2040.12.19.08,478259.4549836455
Anhui-Central_PV-401,2040.12.19.12,478259.4549836455
Anhui-Central_PV-401,2040.12.19.16,478259.4549836455
Anhui-Central_PV-401,2040.12.19.20,0.0
Anhui-Central_PV-401,2050.06.12.00,0.0
Anhui-Central_PV-401,2050.06.12.04,0.0
Anhui-Central_PV-401,2050.06.12.08,459247.1646007817
Anhui-Central_PV-401,2050.06.12.12,1072008.896122466
Anhui-Central_PV-401,2050.06.12.16,1207485.876920464
Anhui-Central_PV-401,2050.06.12.20,0.0
Anhui-Central_PV-401,2050.12.12.00,0.0
Anhui-Central_PV-401,2050.12.12.04,0.0
Anhui-Central_PV-401,2050.12.12.08,1957316.185723163
Anhui-Central_PV-401,2050.12.12.12,1957316.185723163
Anhui-Central_PV-401,2050.12.12.16,1957316.185723163
Anhui-Central_PV-401,2050.12.12.20,0.0
Anhui-Central_PV-402,2040.06.26.00,0.0
Anhui-Central_PV-402,2040.06.26.04,0.0
Anhui-Central_PV-402,2040.06.26.08,8330.0
Anhui-Central_PV-402,2040.06.26.12,8330.0
Anhui-Central_PV-402,2040.06.26.16,8330.0
Anhui-Central_PV-402,2040.06.26.20,0.0
Anhui-Central_PV-402,2040.12.19.00,0.0
Anhui-Central_PV-402,2040.12.19.04,0.0
Anhui-Central_PV-402,2040.12.19.08,8330.0
Anhui-Central_PV-402,2040.12.19.12,8330.0
Anhui-Central_PV-402,2040.12.19.16,8330.0
Anhui-Central_PV-402,2040.12.19.20,0.0
Anhui-Central_PV-402,2050.06.12.00,0.0
Anhui-Central_PV-402,2050.06.12.04,0.0
Anhui-Central_PV-402,2050.06.12.08,-0.0
Anhui-Central_PV-402,2050.06.12.12,-0.0
Anhui-Central_PV-402,2050.06.12.16,-0.0
Anhui-Central_PV-402,2050.06.12.20,0.0
Anhui-Central_PV-402,2050.12.12.00,0.0
Anhui-Central_PV-402,2050.12.12.04,0.0
Anhui-Central_PV-402,2050.12.12.08,8330.0
Anhui-Central_PV-402,2050.12.12.12,8330.0
Anhui-Central_PV-402,2050.12.12.16,8330.0
Anhui-Central_PV-402,2050.12.12.20,0.0
Anhui-Central_PV-403,2040.06.26.00,0.0
Anhui-Central_PV-403,2040.06.26.04,0.0
Anhui-Central_PV-403,2040.06.26.08,8330.0
Anhui-Central_PV-403,2040.06.26.12,8330.0
Anhui-Central_PV-403,2040.06.26.16,8330.0
Anhui-Central_PV-403,2040.06.26.20,0.0
Anhui-Central_PV-403,2040.12.19.00,0.0
Anhui-Central_PV-403,2040.12.19.04,0.0
Anhui-Central_PV-403,2040.12.19.08,8330.0
Anhui-Central_PV-403,2040.12.19.12,8330.0
Anhui-Central_PV-403,2040.12.19.16,8330.0
Anhui-Central_PV-403,2040.12.19.20,0.0
Anhui-Central_PV-403,2050.06.12.00,0.0
Anhui-Central_PV-403,2050.06.12.04,0.0
Anhui-Central_PV-403,2050.06.12.08,8330.0
Anhui-Central_PV-403,2050.06.12.12,-0.0
Anhui-Central_PV-403,2050.06.12.16,8330.0
Anhui-Central_PV-403,2050.06.12.20,0.0
