TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Fujian,Zhejiang,2040.06.26.00,14947.55434703369
Fujian,Zhejiang,2040.06.26.04,10881.2664262766
Fujian,Zhejiang,2040.06.26.08,101742.934402461
Fujian,Zhejiang,2040.06.26.12,92334.2628737039
Fujian,Zhejiang,2040.06.26.16,84684.34807633638
Fujian,Zhejiang,2040.06.26.20,0.0
Fujian,Zhejiang,2040.12.19.00,11565.27685756917
Fujian,Zhejiang,2040.12.19.04,3155.094905160154
Fujian,Zhejiang,2040.12.19.08,62451.44858681755
Fujian,Zhejiang,2040.12.19.12,49876.44778326678
Fujian,Zhejiang,2040.12.19.16,19122.71878021387
Fujian,Zhejiang,2040.12.19.20,40560.01908013177
Fujian,Zhejiang,2050.06.12.00,0.0
Fujian,Zhejiang,2050.06.12.04,0.0
Fujian,Zhejiang,2050.06.12.08,0.0
Fujian,Zhejiang,2050.06.12.12,0.0
Fujian,Zhejiang,2050.06.12.16,6469.424401561396
Fujian,Zhejiang,2050.06.12.20,0.0
Fujian,Zhejiang,2050.12.12.00,14833.96749634047
Fujian,Zhejiang,2050.12.12.04,3587.82942119651
Fujian,Zhejiang,2050.12.12.08,34115.4174362234
Fujian,Zhejiang,2050.12.12.12,47086.33502713685
Fujian,Zhejiang,2050.12.12.16,28517.83497685082
Fujian,Zhejiang,2050.12.12.20,7497.572599154255
Zhejiang,Fujian,2040.06.26.00,0.0
Zhejiang,Fujian,2040.06.26.04,0.0
Zhejiang,Fujian,2040.06.26.08,0.0
Zhejiang,Fujian,2040.06.26.12,0.0
Zhejiang,Fujian,2040.06.26.16,0.0
Zhejiang,Fujian,2040.06.26.20,0.0
Zhejiang,Fujian,2040.12.19.00,0.0
Zhejiang,Fujian,2040.12.19.04,0.0
Zhejiang,Fujian,2040.12.19.08,0.0
Zhejiang,Fujian,2040.12.19.12,0.0
Zhejiang,Fujian,2040.12.19.16,0.0
Zhejiang,Fujian,2040.12.19.20,0.0
Zhejiang,Fujian,2050.06.12.00,39984.11880128035
Zhejiang,Fujian,2050.06.12.04,26190.49081848858
Zhejiang,Fujian,2050.06.12.08,17760.81429892267
Zhejiang,Fujian,2050.06.12.12,0.0
Zhejiang,Fujian,2050.06.12.16,0.0
Zhejiang,Fujian,2050.06.12.20,0.0
Zhejiang,Fujian,2050.12.12.00,0.0
Zhejiang,Fujian,2050.12.12.04,0.0
Zhejiang,Fujian,2050.12.12.08,0.0
Zhejiang,Fujian,2050.12.12.12,0.0
Zhejiang,Fujian,2050.12.12.16,0.0
Zhejiang,Fujian,2050.12.12.20,0.0
Anhui,Zhejiang,2040.06.26.00,0.0
Anhui,Zhejiang,2040.06.26.04,0.0
Anhui,Zhejiang,2040.06.26.08,0.0
Anhui,Zhejiang,2040.06.26.12,0.0
Anhui,Zhejiang,2040.06.26.16,0.0
Anhui,Zhejiang,2040.06.26.20,0.0
Anhui,Zhejiang,2040.12.19.00,0.0
Anhui,Zhejiang,2040.12.19.04,0.0
Anhui,Zhejiang,2040.12.19.08,2042.954976821331
Anhui,Zhejiang,2040.12.19.12,40953.49729248034
Anhui,Zhejiang,2040.12.19.16,0.0
Anhui,Zhejiang,2040.12.19.20,0.0
Anhui,Zhejiang,2050.06.12.00,40953.49729248034
Anhui,Zhejiang,2050.06.12.04,40953.49729248034
Anhui,Zhejiang,2050.06.12.08,40953.49729248034
Anhui,Zhejiang,2050.06.12.12,40953.49729248034
Anhui,Zhejiang,2050.06.12.16,40953.49729248034
Anhui,Zhejiang,2050.06.12.20,40953.49729248034
Anhui,Zhejiang,2050.12.12.00,40953.49729248034
Anhui,Zhejiang,2050.12.12.04,32216.95282716036
Anhui,Zhejiang,2050.12.12.08,40953.49729248034
Anhui,Zhejiang,2050.12.12.12,40953.49729248034
Anhui,Zhejiang,2050.12.12.16,0.0
Anhui,Zhejiang,2050.12.12.20,40953.49729248034
Zhejiang,Anhui,2040.06.26.00,0.0
Zhejiang,Anhui,2040.06.26.04,0.0
Zhejiang,Anhui,2040.06.26.08,40953.49729248034
Zhejiang,Anhui,2040.06.26.12,33427.84412423774
Zhejiang,Anhui,2040.06.26.16,0.0
Zhejiang,Anhui,2040.06.26.20,0.0
Zhejiang,Anhui,2040.12.19.00,0.0
Zhejiang,Anhui,2040.12.19.04,0.0
Zhejiang,Anhui,2040.12.19.08,0.0
Zhejiang,Anhui,2040.12.19.12,0.0
Zhejiang,Anhui,2040.12.19.16,0.0
Zhejiang,Anhui,2040.12.19.20,0.0
Zhejiang,Anhui,2050.06.12.00,0.0
Zhejiang,Anhui,2050.06.12.04,0.0
Zhejiang,Anhui,2050.06.12.08,0.0
Zhejiang,Anhui,2050.06.12.12,0.0
Zhejiang,Anhui,2050.06.12.16,0.0
Zhejiang,Anhui,2050.06.12.20,0.0
Zhejiang,Anhui,2050.12.12.00,0.0
Zhejiang,Anhui,2050.12.12.04,0.0
Zhejiang,Anhui,2050.12.12.08,0.0
Zhejiang,Anhui,2050.12.12.12,0.0
Zhejiang,Anhui,2050.12.12.16,0.0
Zhejiang,Anhui,2050.12.12.20,0.0
Jiangsu,Shanghai,2040.06.26.00,0.0
Jiangsu,Shanghai,2040.06.26.04,0.0
Jiangsu,Shanghai,2040.06.26.08,0.0
Jiangsu,Shanghai,2040.06.26.12,0.0
Jiangsu,Shanghai,2040.06.26.16,0.0
Jiangsu,Shanghai,2040.06.26.20,0.0
Jiangsu,Shanghai,2040.12.19.00,0.0
Jiangsu,Shanghai,2040.12.19.04,0.0
Jiangsu,Shanghai,2040.12.19.08,7500.0
Jiangsu,Shanghai,2040.12.19.12,7500.0
Jiangsu,Shanghai,2040.12.19.16,0.0
Jiangsu,Shanghai,2040.12.19.20,0.0
Jiangsu,Shanghai,2050.06.12.00,30371.13935197072
Jiangsu,Shanghai,2050.06.12.04,30371.13935197072
Jiangsu,Shanghai,2050.06.12.08,30371.13935197072
Jiangsu,Shanghai,2050.06.12.12,30371.13935197072
Jiangsu,Shanghai,2050.06.12.16,30371.13935197072
Jiangsu,Shanghai,2050.06.12.20,30371.13935197072
Jiangsu,Shanghai,2050.12.12.00,30371.13935197072
Jiangsu,Shanghai,2050.12.12.04,30371.13935197072
Jiangsu,Shanghai,2050.12.12.08,30371.13935197072
Jiangsu,Shanghai,2050.12.12.12,30371.13935197072
Jiangsu,Shanghai,2050.12.12.16,30371.13935197072
Jiangsu,Shanghai,2050.12.12.20,30371.13935197072
Shanghai,Jiangsu,2040.06.26.00,0.0
Shanghai,Jiangsu,2040.06.26.04,0.0
Shanghai,Jiangsu,2040.06.26.08,6532.619223166621
Shanghai,Jiangsu,2040.06.26.12,0.0
Shanghai,Jiangsu,2040.06.26.16,0.0
Shanghai,Jiangsu,2040.06.26.20,0.0
Shanghai,Jiangsu,2040.12.19.00,0.0
Shanghai,Jiangsu,2040.12.19.04,0.0
Shanghai,Jiangsu,2040.12.19.08,0.0
Shanghai,Jiangsu,2040.12.19.12,0.0
Shanghai,Jiangsu,2040.12.19.16,0.0
Shanghai,Jiangsu,2040.12.19.20,2394.044866753055
Shanghai,Jiangsu,2050.06.12.00,0.0
Shanghai,Jiangsu,2050.06.12.04,0.0
Shanghai,Jiangsu,2050.06.12.08,0.0
Shanghai,Jiangsu,2050.06.12.12,0.0
Shanghai,Jiangsu,2050.06.12.16,0.0
Shanghai,Jiangsu,2050.06.12.20,0.0
Shanghai,Jiangsu,2050.12.12.00,0.0
Shanghai,Jiangsu,2050.12.12.04,0.0
Shanghai,Jiangsu,2050.12.12.08,0.0
Shanghai,Jiangsu,2050.12.12.12,0.0
Shanghai,Jiangsu,2050.12.12.16,0.0
Shanghai,Jiangsu,2050.12.12.20,0.0
Jiangsu,Zhejiang,2040.06.26.00,0.0
Jiangsu,Zhejiang,2040.06.26.04,0.0
Jiangsu,Zhejiang,2040.06.26.08,0.0
Jiangsu,Zhejiang,2040.06.26.12,0.0
Jiangsu,Zhejiang,2040.06.26.16,0.0
Jiangsu,Zhejiang,2040.06.26.20,0.0
Jiangsu,Zhejiang,2040.12.19.00,0.0
Jiangsu,Zhejiang,2040.12.19.04,0.0
Jiangsu,Zhejiang,2040.12.19.08,0.0
Jiangsu,Zhejiang,2040.12.19.12,67.93216783708665
Jiangsu,Zhejiang,2040.12.19.16,0.0
Jiangsu,Zhejiang,2040.12.19.20,0.0
Jiangsu,Zhejiang,2050.06.12.00,46442.63683532047
Jiangsu,Zhejiang,2050.06.12.04,46442.63683532047
Jiangsu,Zhejiang,2050.06.12.08,46442.63683532047
Jiangsu,Zhejiang,2050.06.12.12,46442.63683532047
Jiangsu,Zhejiang,2050.06.12.16,46442.63683532047
Jiangsu,Zhejiang,2050.06.12.20,46442.63683532047
