BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingency
East_China,2040.06.26.00,19026.87475993305
East_China,2040.06.26.04,63265.4064070188
East_China,2040.06.26.08,159729.2945319524
East_China,2040.06.26.12,152533.6796039752
East_China,2040.06.26.16,140889.0191873361
East_China,2040.06.26.20,67285.4362886106
East_China,2040.12.19.00,84115.95018762743
East_China,2040.12.19.04,39427.11984979075
East_China,2040.12.19.08,52533.79126407435
East_China,2040.12.19.12,275468.2057446882
East_China,2040.12.19.16,43259.25060601609
East_China,2040.12.19.20,39427.11984979075
East_China,2050.06.12.00,89126.88582210109
East_China,2050.06.12.04,470118.6851408404
East_China,2050.06.12.08,318939.0199106779
East_China,2050.06.12.12,1374618.186538518
East_China,2050.06.12.16,937566.0901606354
East_China,2050.06.12.20,63068.04649076556
East_China,2050.12.12.00,29089.26784547903
East_China,2050.12.12.04,113253.5084350128
East_China,2050.12.12.08,744413.5725162786
East_China,2050.12.12.12,1479710.834754578
East_China,2050.12.12.16,570098.4416192529
East_China,2050.12.12.20,393680.693948769
