GEN_TPS_1,GEN_TPS_2,ShutdownGenCapacity
Anhui-Battery_Storage-11177,2040.06.26.00,-0.0
Anhui-Battery_Storage-11177,2040.06.26.04,-0.0
Anhui-Battery_Storage-11177,2040.06.26.08,-0.0
Anhui-Battery_Storage-11177,2040.06.26.12,-0.0
Anhui-Battery_Storage-11177,2040.06.26.16,-0.0
Anhui-Battery_Storage-11177,2040.06.26.20,-0.0
Anhui-Battery_Storage-11177,2040.12.19.00,-0.0
Anhui-Battery_Storage-11177,2040.12.19.04,-1.818989403545856e-12
Anhui-Battery_Storage-11177,2040.12.19.08,1.818989403545856e-12
Anhui-Battery_Storage-11177,2040.12.19.12,-0.0
Anhui-Battery_Storage-11177,2040.12.19.16,-0.0
Anhui-Battery_Storage-11177,2040.12.19.20,-0.0
Anhui-Battery_Storage-11177,2050.06.12.00,107823.7671773017
Anhui-Battery_Storage-11177,2050.06.12.04,0.0
Anhui-Battery_Storage-11177,2050.06.12.08,526839.1910132368
Anhui-Battery_Storage-11177,2050.06.12.12,0.0
Anhui-Battery_Storage-11177,2050.06.12.16,134356.7596085066
Anhui-Battery_Storage-11177,2050.06.12.20,111147.7259887206
Anhui-Battery_Storage-11177,2050.12.12.00,330871.753419069
Anhui-Battery_Storage-11177,2050.12.12.04,28116.40652394088
Anhui-Battery_Storage-11177,2050.12.12.08,0.0
Anhui-Battery_Storage-11177,2050.12.12.12,0.0
Anhui-Battery_Storage-11177,2050.12.12.16,-0.0
Anhui-Battery_Storage-11177,2050.12.12.20,-0.0
Anhui-Central_PV-401,2040.06.26.00,-0.0
Anhui-Central_PV-401,2040.06.26.04,-0.0
Anhui-Central_PV-401,2040.06.26.08,0.0
Anhui-Central_PV-401,2040.06.26.12,-0.0
Anhui-Central_PV-401,2040.06.26.16,-0.0
Anhui-Central_PV-401,2040.06.26.20,478259.4549836455
Anhui-Central_PV-401,2040.12.19.00,-0.0
Anhui-Central_PV-401,2040.12.19.04,-0.0
Anhui-Central_PV-401,2040.12.19.08,0.0
Anhui-Central_PV-401,2040.12.19.12,-0.0
Anhui-Central_PV-401,2040.12.19.16,-0.0
Anhui-Central_PV-401,2040.12.19.20,478259.4549836455
Anhui-Central_PV-401,2050.06.12.00,-0.0
Anhui-Central_PV-401,2050.06.12.04,-0.0
Anhui-Central_PV-401,2050.06.12.08,0.0
Anhui-Central_PV-401,2050.06.12.12,0.0
Anhui-Central_PV-401,2050.06.12.16,0.0
Anhui-Central_PV-401,2050.06.12.20,1207485.876920464
Anhui-Central_PV-401,2050.12.12.00,-0.0
Anhui-Central_PV-401,2050.12.12.04,-0.0
Anhui-Central_PV-401,2050.12.12.08,0.0
Anhui-Central_PV-401,2050.12.12.12,2.328306436538696e-10
Anhui-Central_PV-401,2050.12.12.16,2.328306436538696e-10
Anhui-Central_PV-401,2050.12.12.20,1957316.185723163
Anhui-Central_PV-402,2040.06.26.00,-0.0
Anhui-Central_PV-402,2040.06.26.04,-0.0
Anhui-Central_PV-402,2040.06.26.08,0.0
Anhui-Central_PV-402,2040.06.26.12,-0.0
Anhui-Central_PV-402,2040.06.26.16,-0.0
Anhui-Central_PV-402,2040.06.26.20,8330.0
Anhui-Central_PV-402,2040.12.19.00,-0.0
Anhui-Central_PV-402,2040.12.19.04,-0.0
Anhui-Central_PV-402,2040.12.19.08,0.0
Anhui-Central_PV-402,2040.12.19.12,-0.0
Anhui-Central_PV-402,2040.12.19.16,-0.0
Anhui-Central_PV-402,2040.12.19.20,8330.0
Anhui-Central_PV-402,2050.06.12.00,-0.0
Anhui-Central_PV-402,2050.06.12.04,-0.0
Anhui-Central_PV-402,2050.06.12.08,-0.0
Anhui-Central_PV-402,2050.06.12.12,-0.0
Anhui-Central_PV-402,2050.06.12.16,-0.0
Anhui-Central_PV-402,2050.06.12.20,-0.0
Anhui-Central_PV-402,2050.12.12.00,-0.0
Anhui-Central_PV-402,2050.12.12.04,-0.0
Anhui-Central_PV-402,2050.12.12.08,0.0
Anhui-Central_PV-402,2050.12.12.12,-0.0
Anhui-Central_PV-402,2050.12.12.16,-0.0
Anhui-Central_PV-402,2050.12.12.20,8330.0
Anhui-Central_PV-403,2040.06.26.00,-0.0
Anhui-Central_PV-403,2040.06.26.04,-0.0
Anhui-Central_PV-403,2040.06.26.08,0.0
Anhui-Central_PV-403,2040.06.26.12,-0.0
Anhui-Central_PV-403,2040.06.26.16,-0.0
Anhui-Central_PV-403,2040.06.26.20,8330.0
Anhui-Central_PV-403,2040.12.19.00,-0.0
Anhui-Central_PV-403,2040.12.19.04,-0.0
Anhui-Central_PV-403,2040.12.19.08,0.0
Anhui-Central_PV-403,2040.12.19.12,-0.0
Anhui-Central_PV-403,2040.12.19.16,-0.0
Anhui-Central_PV-403,2040.12.19.20,8330.0
Anhui-Central_PV-403,2050.06.12.00,-0.0
Anhui-Central_PV-403,2050.06.12.04,-0.0
Anhui-Central_PV-403,2050.06.12.08,0.0
Anhui-Central_PV-403,2050.06.12.12,8330.0
Anhui-Central_PV-403,2050.06.12.16,0.0
Anhui-Central_PV-403,2050.06.12.20,8330.0
