HYDRO_GEN_TPS_1,HYDRO_GEN_TPS_2,SpillHydro
Anhui-Hydro_NonPumped-ep-30001,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.06.26.12,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.06.26.16,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.06.26.20,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.12.19.00,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.12.19.04,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.12.19.08,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.12.19.12,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.12.19.16,0.0
Anhui-Hydro_NonPumped-ep-30001,2040.12.19.20,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.06.12.00,18.47525661328513
Anhui-Hydro_NonPumped-ep-30001,2050.06.12.04,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.06.12.08,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.06.12.12,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.06.12.16,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.06.12.20,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.12.12.00,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.12.12.04,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.12.12.08,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.12.12.12,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.12.12.16,0.0
Anhui-Hydro_NonPumped-ep-30001,2050.12.12.20,0.0
Anhui-Hydro_NonPumped-ep-30032,2040.06.26.00,0.0
Anhui-Hydro_NonPumped-ep-30032,2040.06.26.04,0.0
Anhui-Hydro_NonPumped-ep-30032,2040.06.26.08,0.0
Anhui-Hydro_NonPumped-ep-30032,2040.06.26.12,0.0
