STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Anhui-Battery_Storage-11177,2040.06.26.00,0.0
Anhui-Battery_Storage-11177,2040.06.26.04,-0.0
Anhui-Battery_Storage-11177,2040.06.26.08,-0.0
Anhui-Battery_Storage-11177,2040.06.26.12,-0.0
Anhui-Battery_Storage-11177,2040.06.26.16,-0.0
Anhui-Battery_Storage-11177,2040.06.26.20,-0.0
Anhui-Battery_Storage-11177,2040.12.19.00,7.275957614183426e-12
Anhui-Battery_Storage-11177,2040.12.19.04,0.0
Anhui-Battery_Storage-11177,2040.12.19.08,-0.0
Anhui-Battery_Storage-11177,2040.12.19.12,-0.0
Anhui-Battery_Storage-11177,2040.12.19.16,-0.0
Anhui-Battery_Storage-11177,2040.12.19.20,7.275957614183426e-12
Anhui-Battery_Storage-11177,2050.06.12.00,1001096.162959453
Anhui-Battery_Storage-11177,2050.06.12.04,-0.0
Anhui-Battery_Storage-11177,2050.06.12.08,0.0
Anhui-Battery_Storage-11177,2050.06.12.12,1616342.63802861
Anhui-Battery_Storage-11177,2050.06.12.16,2820478.737578323
Anhui-Battery_Storage-11177,2050.06.12.20,1695139.915914285
Anhui-Battery_Storage-11177,2050.12.12.00,671404.1242809076
Anhui-Battery_Storage-11177,2050.12.12.04,0.0
Anhui-Battery_Storage-11177,2050.12.12.08,826178.0408951496
Anhui-Battery_Storage-11177,2050.12.12.12,2442520.67892376
Anhui-Battery_Storage-11177,2050.12.12.16,2442520.67892376
Anhui-Battery_Storage-11177,2050.12.12.20,1455273.874657579
Anhui-Hydro_Pumped-ep-35020,2040.06.26.00,68.665297517436
Anhui-Hydro_Pumped-ep-35020,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.08,58.36550288982059
Anhui-Hydro_Pumped-ep-35020,2040.06.26.12,116.7310057796412
Anhui-Hydro_Pumped-ep-35020,2040.06.26.16,175.0965086694618
Anhui-Hydro_Pumped-ep-35020,2040.06.26.20,106.4312111520258
Anhui-Hydro_Pumped-ep-35020,2040.12.19.00,31.96714562931792
Anhui-Hydro_Pumped-ep-35020,2040.12.19.04,15.98357281465896
Anhui-Hydro_Pumped-ep-35020,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.12,88.1256447078494
Anhui-Hydro_Pumped-ep-35020,2040.12.19.16,72.14207189319045
Anhui-Hydro_Pumped-ep-35020,2040.12.19.20,47.95071844397688
Anhui-Hydro_Pumped-ep-35020,2050.06.12.00,67.52605545261854
Anhui-Hydro_Pumped-ep-35020,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.08,58.36550288982059
Anhui-Hydro_Pumped-ep-35020,2050.06.12.12,146.49114759767
Anhui-Hydro_Pumped-ep-35020,2050.06.12.16,204.8566504874906
Anhui-Hydro_Pumped-ep-35020,2050.06.12.20,136.1913529700545
Anhui-Hydro_Pumped-ep-35020,2050.12.12.00,31.96714562931792
Anhui-Hydro_Pumped-ep-35020,2050.12.12.04,15.98357281465896
Anhui-Hydro_Pumped-ep-35020,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.12,88.12564470784939
Anhui-Hydro_Pumped-ep-35020,2050.12.12.16,72.14207189319043
Anhui-Hydro_Pumped-ep-35020,2050.12.12.20,47.95071844397688
Anhui-Hydro_Pumped-ep-35027,2040.06.26.00,514.989731380772
Anhui-Hydro_Pumped-ep-35027,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.08,437.7412716736561
Anhui-Hydro_Pumped-ep-35027,2040.06.26.12,875.4825433473122
Anhui-Hydro_Pumped-ep-35027,2040.06.26.16,1313.223815020968
Anhui-Hydro_Pumped-ep-35027,2040.06.26.20,798.2340836401962
Anhui-Hydro_Pumped-ep-35027,2040.12.19.00,239.7535922198848
Anhui-Hydro_Pumped-ep-35027,2040.12.19.04,119.8767961099424
Anhui-Hydro_Pumped-ep-35027,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.12,660.9423353088704
Anhui-Hydro_Pumped-ep-35027,2040.12.19.16,541.065539198928
Anhui-Hydro_Pumped-ep-35027,2040.12.19.20,359.6303883298272
Anhui-Hydro_Pumped-ep-35027,2050.06.12.00,506.4454158946385
Anhui-Hydro_Pumped-ep-35027,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.08,437.7412716736561
Anhui-Hydro_Pumped-ep-35027,2050.06.12.12,1098.683606982526
Anhui-Hydro_Pumped-ep-35027,2050.06.12.16,1536.424878656182
Anhui-Hydro_Pumped-ep-35027,2050.06.12.20,1021.43514727541
Anhui-Hydro_Pumped-ep-35027,2050.12.12.00,301.3119469790432
Anhui-Hydro_Pumped-ep-35027,2050.12.12.04,119.8767961099424
Anhui-Hydro_Pumped-ep-35027,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.12,660.9423353088704
Anhui-Hydro_Pumped-ep-35027,2050.12.12.16,541.065539198928
