load_zone,period,Coal,Gas,Solar,Storage,Uranium,Water,Wind,hydro,fuel cells
Anhui,2038,58418.22426037022,0.0,524665.018690128,0.0,2350.0,5142.284736064822,11203.999999999998,0,0
Anhui,2048,0.0,0.0,2025028.0806692282,537591.0112379967,2350.0,3808.032625900545,9030.0,0,0
Fujian,2038,18180.0,0.0,283861.3333533,44142.09245511846,14104.0,9254.075184056108,42508.600001000006,0,0
Fujian,2048,0.0,0.0,282933.3333533,44142.09245511846,14104.0,3816.6183269951985,40250.00000100001,0,0
Jiangsu,2038,98456.10806369962,0.0,21301.671428999995,45600.84728350683,10394.0,5683.3300524366805,40945.600004000014,0,0
Jiangsu,2048,35911.17519179306,0.0,12228.571429000003,91228.38352075379,10394.0,5683.3300524366805,142620.00000400003,0,0
Shanghai,2038,46222.27492676606,420.7051071512516,10779.099999999999,0.0,0,0,671.9,0,0
Shanghai,2048,57038.82464567667,420.7051071512516,10201.0,0.0,0,0,0.0,0,0
Zhejiang,2038,45797.42438422752,0.0,139337.0,40231.75494876607,13207.0,16675.057053541874,64459.899999999994,0,0
Zhejiang,2048,10637.929826148877,0.0,131200.0,71422.71207040478,13207.0,16675.057053541874,63280.0,0,0
