load_zone,technology,period,capacity
Anhui,Battery_Storage,2038,0.0
Anhui,Battery_Storage,2048,537591.0112379967
Anhui,Battery_Storage_MWh,2038,-0.0
Anhui,Battery_Storage_MWh,2048,3225546.067427981
Anhui,Central_PV,2038,513519.852024128
Anhui,Central_PV,2048,2022761.414003228
Anhui,Central_PV_EP,2038,8878.5
Anhui,Central_PV_EP,2048,0
Anhui,Coal_1000_OT,2038,16208.22426037022
Anhui,Coal_1000_OT,2048,0.0
Anhui,Coal_1000_RC,2038,0.0
Anhui,Coal_1000_RC,2048,0.0
Anhui,Coal_1000_SEA,2038,0.0
Anhui,Coal_1000_SEA,2048,0.0
Anhui,Coal_100_OT,2038,0.0
Anhui,Coal_100_OT,2048,0.0
Anhui,Coal_100_RC,2038,0.0
Anhui,Coal_100_RC,2048,0
Anhui,Coal_100_SEA,2038,0.0
Anhui,Coal_100_SEA,2048,0.0
Anhui,Coal_300_OT,2038,0.0
Anhui,Coal_300_OT,2048,0.0
Anhui,Coal_300_RC,2038,0.0
Anhui,Coal_300_RC,2048,0.0
Anhui,Coal_300_SEA,2038,0.0
Anhui,Coal_300_SEA,2048,0.0
Anhui,Coal_600_OT,2038,0.0
Anhui,Coal_600_OT,2048,0.0
Anhui,Coal_600_RC,2038,0.0
Anhui,Coal_600_RC,2048,0.0
Anhui,Coal_600_SEA,2038,0.0
Anhui,Coal_600_SEA,2048,0.0
Anhui,Coal_IGCC_RC,2038,0.0
Anhui,Coal_IGCC_RC,2048,0.0
Anhui,Coal_Small_OT,2038,0.0
Anhui,Coal_Small_OT,2048,0.0
Anhui,Coal_Small_RC,2038,0
Anhui,Coal_Small_RC,2048,0
Anhui,Coal_Small_SEA,2038,0.0
Anhui,Coal_Small_SEA,2048,0.0
Anhui,Commercial_PV,2038,2266.666666
Anhui,Commercial_PV,2048,2266.666666
Anhui,EP_Coal_1000_OT,2038,1000.0
Anhui,EP_Coal_1000_OT,2048,0.0
Anhui,EP_Coal_1000_RC,2038,8050.0
Anhui,EP_Coal_1000_RC,2048,0.0
Anhui,EP_Coal_1000_SEA,2038,0.0
Anhui,EP_Coal_1000_SEA,2048,0.0
Anhui,EP_Coal_300_OT,2038,1940.0
Anhui,EP_Coal_300_OT,2048,0
Anhui,EP_Coal_300_RC,2038,3500.0
Anhui,EP_Coal_300_RC,2048,0
Anhui,EP_Coal_300_SEA,2038,0.0
Anhui,EP_Coal_300_SEA,2048,0.0
Anhui,EP_Coal_600_OT,2038,6540.0
Anhui,EP_Coal_600_OT,2048,0.0
Anhui,EP_Coal_600_RC,2038,21180.0
Anhui,EP_Coal_600_RC,2048,0.0
Anhui,EP_Coal_600_SEA,2038,0.0
Anhui,EP_Coal_600_SEA,2048,0.0
Anhui,EP_Gas_CCGT_OT,2038,0.0
Anhui,EP_Gas_CCGT_OT,2048,0.0
Anhui,EP_Gas_CCGT_RC,2038,0.0
Anhui,EP_Gas_CCGT_RC,2048,0.0
Anhui,EP_Gas_CCGT_SEA,2038,0.0
Anhui,EP_Gas_CCGT_SEA,2048,0.0
Anhui,Gas_CCGT_OT,2038,0.0
Anhui,Gas_CCGT_OT,2048,0.0
Anhui,Gas_CCGT_RC,2038,0.0
Anhui,Gas_CCGT_RC,2048,0.0
Anhui,Gas_CCGT_SEA,2038,0.0
Anhui,Gas_CCGT_SEA,2048,0.0
Anhui,Gas_Combustion_Turbine_RC,2038,0.0
Anhui,Gas_Combustion_Turbine_RC,2048,0.0
Anhui,Hydro_NonPumped,2038,2001.3781652464163
Anhui,Hydro_NonPumped,2048,667.1260550821395
Anhui,Hydro_Pumped,2038,3140.9065708184053
Anhui,Hydro_Pumped,2048,3140.9065708184053
Anhui,Hydro_Pumped_MWh,2038,88320.0
Anhui,Hydro_Pumped_MWh,2048,88320.0
Anhui,Nuclear_EP_SEA,2038,0.0
Anhui,Nuclear_EP_SEA,2048,0.0
Anhui,Nuclear_SEA,2038,0.0
Anhui,Nuclear_SEA,2048,0.0
Anhui,Nuclear_SMR,2038,2350.0
Anhui,Nuclear_SMR,2048,2350.0
Anhui,Offshore_Wind,2038,0.0
Anhui,Offshore_Wind,2048,0.0
Anhui,Residential_PV,2038,0.0
Anhui,Residential_PV,2048,0.0
Anhui,Wind,2038,9030.0
Anhui,Wind,2048,9030.0
Anhui,Wind_EP,2038,2174.0
Anhui,Wind_EP,2048,0
Anhui,hydro,2038,0.0
Anhui,hydro,2048,0.0
Anhui,fuel cells,2038,0.0
Anhui,fuel cells,2048,0.0
Fujian,Battery_Storage,2038,44142.09245511846
Fujian,Battery_Storage,2048,44142.09245511846
Fujian,Battery_Storage_MWh,2038,264852.5547307107
Fujian,Battery_Storage_MWh,2048,264852.5547307107
Fujian,Central_PV,2038,280000.00002
Fujian,Central_PV,2048,280000.00002
Fujian,Central_PV_EP,2038,928.0
Fujian,Central_PV_EP,2048,0
Fujian,Coal_1000_OT,2038,0.0
Fujian,Coal_1000_OT,2048,0.0
Fujian,Coal_1000_RC,2038,0.0
Fujian,Coal_1000_RC,2048,0.0
Fujian,Coal_1000_SEA,2038,0.0
Fujian,Coal_1000_SEA,2048,0.0
Fujian,Coal_100_OT,2038,0.0
Fujian,Coal_100_OT,2048,0.0
Fujian,Coal_100_RC,2038,0
Fujian,Coal_100_RC,2048,0
Fujian,Coal_100_SEA,2038,0.0
Fujian,Coal_100_SEA,2048,0.0
Fujian,Coal_300_OT,2038,0.0
Fujian,Coal_300_OT,2048,0.0
Fujian,Coal_300_RC,2038,0.0
Fujian,Coal_300_RC,2048,0.0
Fujian,Coal_300_SEA,2038,0.0
Fujian,Coal_300_SEA,2048,0.0
Fujian,Coal_600_OT,2038,0.0
Fujian,Coal_600_OT,2048,0.0
Fujian,Coal_600_RC,2038,0.0
Fujian,Coal_600_RC,2048,0.0
Fujian,Coal_600_SEA,2038,0.0
Fujian,Coal_600_SEA,2048,0.0
Fujian,Coal_IGCC_RC,2038,0.0
Fujian,Coal_IGCC_RC,2048,0.0
Fujian,Coal_Small_OT,2038,0.0
Fujian,Coal_Small_OT,2048,0.0
Fujian,Coal_Small_RC,2038,0
Fujian,Coal_Small_RC,2048,0
Fujian,Coal_Small_SEA,2038,0
Fujian,Coal_Small_SEA,2048,0
Fujian,Commercial_PV,2038,2400.0
Fujian,Commercial_PV,2048,2400.0
Fujian,EP_Coal_1000_OT,2038,0.0
Fujian,EP_Coal_1000_OT,2048,0.0
Fujian,EP_Coal_1000_RC,2038,0.0
Fujian,EP_Coal_1000_RC,2048,0.0
Fujian,EP_Coal_1000_SEA,2038,4000.0
Fujian,EP_Coal_1000_SEA,2048,0.0
Fujian,EP_Coal_300_OT,2038,0
Fujian,EP_Coal_300_OT,2048,0
Fujian,EP_Coal_300_RC,2038,0.0
Fujian,EP_Coal_300_RC,2048,0
Fujian,EP_Coal_300_SEA,2038,0.0
Fujian,EP_Coal_300_SEA,2048,0
Fujian,EP_Coal_600_OT,2038,1320.0
Fujian,EP_Coal_600_OT,2048,0.0
Fujian,EP_Coal_600_RC,2038,0.0
Fujian,EP_Coal_600_RC,2048,0.0
Fujian,EP_Coal_600_SEA,2038,12860.0
Fujian,EP_Coal_600_SEA,2048,0.0
Fujian,EP_Gas_CCGT_OT,2038,0.0
Fujian,EP_Gas_CCGT_OT,2048,0.0
Fujian,EP_Gas_CCGT_RC,2038,0
Fujian,EP_Gas_CCGT_RC,2048,0
Fujian,EP_Gas_CCGT_SEA,2038,0
Fujian,EP_Gas_CCGT_SEA,2048,0
Fujian,Gas_CCGT_OT,2038,0.0
Fujian,Gas_CCGT_OT,2048,0.0
Fujian,Gas_CCGT_RC,2038,0.0
Fujian,Gas_CCGT_RC,2048,0.0
Fujian,Gas_CCGT_SEA,2038,0.0
Fujian,Gas_CCGT_SEA,2048,0.0
Fujian,Gas_Combustion_Turbine_RC,2038,0.0
