load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_RC,Coal_1000_SEA,Coal_100_OT,Coal_100_RC,Coal_100_SEA,Coal_300_OT,Coal_300_RC,Coal_300_SEA,Coal_600_OT,Coal_600_RC,Coal_600_SEA,Coal_IGCC_RC,Coal_Small_OT,Coal_Small_RC,Coal_Small_SEA,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_RC,EP_Coal_1000_SEA,EP_Coal_300_OT,EP_Coal_300_RC,EP_Coal_300_SEA,EP_Coal_600_OT,EP_Coal_600_RC,EP_Coal_600_SEA,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,hydro,fuel cells
Anhui,2038,0.0,513519.852024128,8878.5,16208.22426037022,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,2266.666666,1000.0,8050.0,0,1940.0,3500.0,0,6540.0,21180.0,0,0,0,0,0.0,0.0,0,0.0,2001.3781652464163,3140.9065708184053,0,0,2350.0,0,0.0,9030.0,2174.0,0,0
Anhui,2048,537591.0112379967,2022761.414003228,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,2266.666666,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,667.1260550821395,3140.9065708184053,0,0,2350.0,0,0.0,9030.0,0.0,0,0
Fujian,2038,44142.09245511846,280000.00002,928.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2400.0,0,0,4000.0,0.0,0.0,0.0,1320.0,0,12860.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7854.075184056108,1400.0,7543.0,6561.0,0.0,28050.0,533.3333333,12200.000000999999,2258.6,0,0
Fujian,2048,44142.09245511846,280000.00002,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2400.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2618.025061352038,1198.5932656431605,7543.0,6561.0,0.0,28050.0,533.3333333,12200.000000999999,0.0,0,0
Jiangsu,2038,45600.84728350683,8000.000001,9073.1,34966.10806369961,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4228.571428,17060.0,8030.0,2000.0,2850.0,7450.0,0,17760.0,3720.0,4620.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2648.72,3034.610052436681,6480.0,3914.0,0.0,0.0,0.0,35000.00000400001,5945.6,0,0
Jiangsu,2048,91228.38352075379,8000.000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4228.571428,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2648.72,3034.610052436681,4488.0,5906.0,0.0,107620.0,0.0,35000.00000400001,0.0,0,0
Shanghai,2038,0.0,5001.0,578.1,36952.27492676606,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,3800.0,0,2000.0,950.0,0,0,1320.0,1200.0,0,0.0,0.0,0.0,420.7051071512516,0.0,0.0,0.0,0,0,0,0,0,0.0,3000.0,0.0,671.9,0,0
Shanghai,2048,0.0,5001.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,3000.0,0.0,0.0,0,0
Zhejiang,2038,40231.75494876607,120000.0,8137.0,6837.424384227522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0,2000.0,16000.0,600.0,1200.0,1280.0,0,3720.0,14160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.67,6270.387053541873,9541.0,3666.0,0.0,53840.0,6400.0,9440.0,1179.8999999999999,0,0
Zhejiang,2048,71422.71207040478,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.67,6270.387053541873,6927.0,6280.0,0.0,53840.0,6400.0,9440.0,0.0,0,0
