gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Storage,2038,-46355.57729544597,0.0,0.0,129974.69468739137,2261813531.186727,3670000423.5131445,38.872823321250806,0.13402274995849014,198950.97551693546,152595.3982214895
Battery_Storage,Storage,2048,-379097.70633441966,0.0,0.0,744384.1992842738,12103117716.247932,17967907903.700184,24.096703890981114,0.19137682603935308,1627028.782551157,1247931.0762167377
Central_PV,Solar,2038,1095879.5241031991,0.0,0.0,926520.852045128,45506605492.76678,14987029587.118498,55.20099039115597,0.13502168032025305,0.0,0.0
Central_PV,Solar,2048,2843580.8602106767,0.0,0.0,2435762.414024228,107382293755.14491,37222766561.40775,50.85315573049648,0.13326820603260728,0.0,0.0
Central_PV_EP,Solar,2038,34011.80899362144,0.0,0.0,27594.7,3038858157.319444,1050962189.2747083,120.24706910947182,0.14070189556129872,0.0,0.0
Coal_1000_OT,Coal,2038,337443.5196565066,2232060343.6441884,253992927.38100532,94964.03163506341,3491553470.3792505,633678623.4769343,18.839574824171,0.4056372614898007,0.0,0.0
Coal_1000_OT,Coal,2048,0.0,0.0,0.0,95522.3570936038,4108011131.7632637,637404233.0780475,0.0,0.0,0.0,0.0
Coal_1000_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_100_RC,Coal,2038,0.0,0.0,0.0,0.0,16633630.302647583,0.0,0.0,0.0,0.0,0.0
Coal_300_OT,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_OT,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_300_SEA,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_OT,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_600_SEA,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
