GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,BuildGen,BuildStorageEnergy,GenCapitalOutlay
Anhui-Battery_Storage-11177,2038,Battery_Storage,Anhui,Storage,0,0,0
Anhui-Battery_Storage-11177,2048,Battery_Storage,Anhui,Storage,537591,3.22555e+06,6.79367e+11
Anhui-Central_PV-401,2038,Central_PV,Anhui,Solar,488020,.,4.14479e+11
Anhui-Central_PV-401,2048,Central_PV,Anhui,Solar,1.50924e+06,.,1.06996e+12
Anhui-Central_PV-402,2038,Central_PV,Anhui,Solar,8500,.,7.21912e+09
Anhui-Central_PV-402,2048,Central_PV,Anhui,Solar,0,.,0
Anhui-Central_PV-403,2038,Central_PV,Anhui,Solar,8500,.,7.21912e+09
Anhui-Central_PV-403,2048,Central_PV,Anhui,Solar,0,.,0
Anhui-Central_PV-404,2038,Central_PV,Anhui,Solar,8500,.,7.21912e+09
Anhui-Central_PV-404,2048,Central_PV,Anhui,Solar,0,.,0
Anhui-Central_PV_EP-ep-50012,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Central_PV_EP-ep-50026,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Central_PV_EP-ep-50053,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Central_PV_EP-ep-50083,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Central_PV_EP-ep-50112,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Central_PV_EP-ep-50143,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Central_PV_EP-ep-50173,2038,Central_PV_EP,Anhui,Solar,.,.,.
Anhui-Coal_1000_OT-12107,2038,Coal_1000_OT,Anhui,Coal,16208.2,.,1.17951e+10
Anhui-Coal_1000_OT-12107,2048,Coal_1000_OT,Anhui,Coal,0,.,0
Anhui-Coal_1000_RC-12115,2038,Coal_1000_RC,Anhui,Coal,0,.,0
Anhui-Coal_1000_RC-12115,2048,Coal_1000_RC,Anhui,Coal,0,.,0
Anhui-Coal_1000_RC-12125,2038,Coal_1000_RC,Anhui,Coal,0,.,0
Anhui-Coal_1000_RC-12125,2048,Coal_1000_RC,Anhui,Coal,0,.,0
Anhui-Coal_100_RC-ep-1233,2038,Coal_100_RC,Anhui,Coal,.,.,.
Anhui-Coal_100_RC-ep-1234,2038,Coal_100_RC,Anhui,Coal,.,.,.
Anhui-Coal_300_OT-12111,2038,Coal_300_OT,Anhui,Coal,0,.,0
Anhui-Coal_300_OT-12111,2048,Coal_300_OT,Anhui,Coal,0,.,0
Anhui-Coal_300_RC-12119,2038,Coal_300_RC,Anhui,Coal,0,.,0
Anhui-Coal_300_RC-12119,2048,Coal_300_RC,Anhui,Coal,0,.,0
Anhui-Coal_300_RC-12129,2038,Coal_300_RC,Anhui,Coal,0,.,0
Anhui-Coal_300_RC-12129,2048,Coal_300_RC,Anhui,Coal,0,.,0
Anhui-Coal_600_OT-12109,2038,Coal_600_OT,Anhui,Coal,0,.,0
Anhui-Coal_600_OT-12109,2048,Coal_600_OT,Anhui,Coal,0,.,0
Anhui-Coal_600_RC-12117,2038,Coal_600_RC,Anhui,Coal,0,.,0
Anhui-Coal_600_RC-12117,2048,Coal_600_RC,Anhui,Coal,0,.,0
Anhui-Coal_600_RC-12127,2038,Coal_600_RC,Anhui,Coal,0,.,0
Anhui-Coal_600_RC-12127,2048,Coal_600_RC,Anhui,Coal,0,.,0
Anhui-Coal_IGCC_RC-12121,2038,Coal_IGCC_RC,Anhui,Coal,0,.,0
Anhui-Coal_IGCC_RC-12121,2048,Coal_IGCC_RC,Anhui,Coal,0,.,0
Anhui-Coal_IGCC_RC-12131,2038,Coal_IGCC_RC,Anhui,Coal,0,.,0
Anhui-Coal_IGCC_RC-12131,2048,Coal_IGCC_RC,Anhui,Coal,0,.,0
Anhui-Commercial_PV-2,2038,Commercial_PV,Anhui,Solar,1133.33,.,1.32258e+09
Anhui-Commercial_PV-2,2048,Commercial_PV,Anhui,Solar,0,.,0
Anhui-Commercial_PV-3,2038,Commercial_PV,Anhui,Solar,1133.33,.,1.32258e+09
Anhui-Commercial_PV-3,2048,Commercial_PV,Anhui,Solar,0,.,0
Anhui-Commercial_PV-4,2038,Commercial_PV,Anhui,Solar,0,.,0
Anhui-Commercial_PV-4,2048,Commercial_PV,Anhui,Solar,0,.,0
