GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
Anhui-Battery_Storage-11177,2038,Battery_Storage,Anhui,Storage,0,0,0,0,0
Anhui-Battery_Storage-11177,2048,Battery_Storage,Anhui,Storage,537591,0,3.22555e+06,3.92878e+10,1.25103e+10
Anhui-Central_PV-401,2038,Central_PV,Anhui,Solar,488020,0,.,2.39694e+10,7.89401e+09
Anhui-Central_PV-401,2048,Central_PV,Anhui,Solar,1.99726e+06,0,.,8.58451e+10,3.01298e+10
Anhui-Central_PV-402,2038,Central_PV,Anhui,Solar,8500,0,.,4.17482e+08,1.37493e+08
Anhui-Central_PV-402,2048,Central_PV,Anhui,Solar,8500,0,.,4.17482e+08,1.37493e+08
Anhui-Central_PV-403,2038,Central_PV,Anhui,Solar,8500,0,.,4.17482e+08,1.37493e+08
Anhui-Central_PV-403,2048,Central_PV,Anhui,Solar,8500,0,.,4.17482e+08,1.37493e+08
Anhui-Central_PV-404,2038,Central_PV,Anhui,Solar,8500,0,.,4.17482e+08,1.37493e+08
Anhui-Central_PV-404,2048,Central_PV,Anhui,Solar,8500,0,.,4.17482e+08,1.37493e+08
Anhui-Central_PV_EP-ep-50012,2038,Central_PV_EP,Anhui,Solar,14.6,0,.,1.60782e+06,556051
Anhui-Central_PV_EP-ep-50012,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Central_PV_EP-ep-50026,2038,Central_PV_EP,Anhui,Solar,31.4,0,.,3.45792e+06,1.19589e+06
Anhui-Central_PV_EP-ep-50026,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Central_PV_EP-ep-50053,2038,Central_PV_EP,Anhui,Solar,404.1,0,.,4.45014e+07,1.53904e+07
Anhui-Central_PV_EP-ep-50053,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Central_PV_EP-ep-50083,2038,Central_PV_EP,Anhui,Solar,754.3,0,.,8.30671e+07,2.8728e+07
Anhui-Central_PV_EP-ep-50083,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Central_PV_EP-ep-50112,2038,Central_PV_EP,Anhui,Solar,2245.2,0,.,2.47252e+08,8.55099e+07
Anhui-Central_PV_EP-ep-50112,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Central_PV_EP-ep-50143,2038,Central_PV_EP,Anhui,Solar,5424.9,0,.,5.97416e+08,2.06611e+08
Anhui-Central_PV_EP-ep-50143,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Central_PV_EP-ep-50173,2038,Central_PV_EP,Anhui,Solar,4,0,.,440499,152343
Anhui-Central_PV_EP-ep-50173,2048,Central_PV_EP,Anhui,Solar,0,0,.,0,0
Anhui-Coal_1000_OT-12107,2038,Coal_1000_OT,Anhui,Coal,16208.2,0,.,5.9593e+08,1.08155e+08
Anhui-Coal_1000_OT-12107,2048,Coal_1000_OT,Anhui,Coal,0,16208.2,.,5.9593e+08,0
Anhui-Coal_1000_RC-12115,2038,Coal_1000_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_1000_RC-12115,2048,Coal_1000_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_1000_RC-12125,2038,Coal_1000_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_1000_RC-12125,2048,Coal_1000_RC,Anhui,Coal,0,0,.,0,0
Anhui-Coal_100_RC-ep-1231,2038,Coal_100_RC,Anhui,Coal,0,0,.,0,0
