generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Anhui,Storage,2038,1.3387762010097501e-12,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.3387762010097501e-12
Anhui-Battery_Storage-11177,new.11177,Battery_Storage,Anhui,Storage,2048,-291608.6001912777,0.0,0.0,537591.0112379967,8610863974.539217,12510266334.346792,22.002771312804953,0.2038373038997002,1251539.0566149256,959930.4564236482
Anhui-Central_PV-401,new.401,Central_PV,Anhui,Solar,2038,367881.5519082937,0.0,0.0,488019.852024128,23969376220.384003,7894013335.201825,86.61317587224055,0.08605307914063927,,
Anhui-Central_PV-401,new.401,Central_PV,Anhui,Solar,2048,2396271.535499665,0.0,0.0,1997261.414003228,85845064482.76215,30129750309.491077,48.398027132626446,0.13696102924755937,,
Anhui-Central_PV-402,new.402,Central_PV,Anhui,Solar,2038,9851.62140788,0.0,0.0,8500.0,417482397.546383,137492589.84222242,56.33336528185082,0.1323075665844749,,
Anhui-Central_PV-402,new.402,Central_PV,Anhui,Solar,2048,5453.570418912,0.0,0.0,8500.0,417482397.546383,137492589.84222242,101.76360526381987,0.07324161185753424,,
Anhui-Central_PV-403,new.403,Central_PV,Anhui,Solar,2038,9953.547487799999,0.0,0.0,8500.0,417482397.546383,137492589.84222242,55.75650169638864,0.13367643684931504,,
Anhui-Central_PV-403,new.403,Central_PV,Anhui,Solar,2048,9526.238553104,0.0,0.0,8500.0,417482397.546383,137492589.84222242,58.25751520864173,0.12793766523105024,,
Anhui-Central_PV-404,new.404,Central_PV,Anhui,Solar,2038,7337.486697519999,0.0,0.0,8500.0,417482397.546383,137492589.84222242,75.63556981659426,0.0985426631415525,,
Anhui-Central_PV-404,new.404,Central_PV,Anhui,Solar,2048,12792.920890624,0.0,0.0,8500.0,417482397.546383,137492589.84222242,43.381413215440865,0.1718093055415525,,
Anhui-Central_PV_EP-ep-50012,existing.50012,Central_PV_EP,Anhui,Solar,2038,14.406833082319999,0.0,0.0,14.6,1607820.6719719323,556050.5446122168,150.1975627967566,0.11264490744292237,,
Anhui-Central_PV_EP-ep-50026,existing.50026,Central_PV_EP,Anhui,Solar,2038,30.984558820879997,0.0,0.0,31.4,3457915.6917752516,1195889.5274536717,150.19756279675664,0.11264490744292237,,
Anhui-Central_PV_EP-ep-50053,existing.50053,Central_PV_EP,Anhui,Solar,2038,398.75351017571995,0.0,0.0,404.1,44501392.70848342,15390412.676561426,150.19756279675667,0.11264490744292235,,
Anhui-Central_PV_EP-ep-50083,existing.50083,Central_PV_EP,Anhui,Solar,2038,744.32015027356,0.0,0.0,754.3,83067063.89509785,28728008.616506517,150.19756279675664,0.11264490744292238,,
Anhui-Central_PV_EP-ep-50112,existing.50112,Central_PV_EP,Anhui,Solar,2038,2215.49463263184,0.0,0.0,2245.2,247251984.43228647,85509909.77831158,150.1975627967566,0.1126449074429224,,
Anhui-Central_PV_EP-ep-50143,existing.50143,Central_PV_EP,Anhui,Solar,2038,5353.1252594710795,0.0,0.0,5424.9,597415504.3411325,206610862.9771791,150.19756279675664,0.11264490744292237,,
Anhui-Central_PV_EP-ep-50173,existing.50173,Central_PV_EP,Anhui,Solar,2038,3.9470775567999996,0.0,0.0,4.0,440498.8142388856,152342.6149622512,150.19756279675667,0.11264490744292235,,
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Anhui,Coal,2038,89923.228196534,594807900.9911437,67684998.04778346,16208.22426037022,595929645.0519006,108154688.2696225,14.44445734837099,0.6333333333333334,,
Anhui-Coal_1000_OT-12107,new.12107,Coal_1000_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,595929645.0519006,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12115,new.12115,Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12125,new.12125,Coal_1000_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_1000_RC-12125,new.12125,Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_100_RC-ep-1233,existing.1233,Coal_100_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,8316815.151323792,0.0,0.0,0.0,,
Anhui-Coal_100_RC-ep-1234,existing.1234,Coal_100_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,8316815.151323792,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111,new.12111,Coal_300_OT,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_OT-12111,new.12111,Coal_300_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119,new.12119,Coal_300_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12119,new.12119,Coal_300_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129,new.12129,Coal_300_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_300_RC-12129,new.12129,Coal_300_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109,new.12109,Coal_600_OT,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_OT-12109,new.12109,Coal_600_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117,new.12117,Coal_600_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12117,new.12117,Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127,new.12127,Coal_600_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_600_RC-12127,new.12127,Coal_600_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121,new.12121,Coal_IGCC_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12121,new.12121,Coal_IGCC_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131,new.12131,Coal_IGCC_RC,Anhui,Coal,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Coal_IGCC_RC-12131,new.12131,Coal_IGCC_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-2,new.2,Commercial_PV,Anhui,Solar,2038,1345.4870454218687,0.0,0.0,1133.333333,76484717.72646376,14821804.48616536,67.86131648261285,0.13552448084383564,,
Anhui-Commercial_PV-2,new.2,Commercial_PV,Anhui,Solar,2048,1112.8262972524315,0.0,0.0,1133.333333,76484717.72646376,14821804.48616536,82.04921328518651,0.11208967542100456,,
Anhui-Commercial_PV-3,new.3,Commercial_PV,Anhui,Solar,2038,1317.3167056306872,0.0,0.0,1133.333333,76484717.72646376,14821804.48616536,69.31250611364152,0.13268701712511416,,
Anhui-Commercial_PV-3,new.3,Commercial_PV,Anhui,Solar,2048,916.7072189997136,0.0,0.0,1133.333333,76484717.72646376,14821804.48616536,99.60270882590011,0.09233553779908676,,
Anhui-Commercial_PV-4,new.4,Commercial_PV,Anhui,Solar,2038,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-Commercial_PV-4,new.4,Commercial_PV,Anhui,Solar,2048,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_OT-ep-3093,existing.3093,EP_Coal_1000_OT,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_OT-ep-3093,existing.3093,EP_Coal_1000_OT,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-1152,existing.1152,EP_Coal_1000_RC,Anhui,Coal,2038,5825.4,23119681.19423473,4262347.313279999,1050.0,40868235.690000884,14843602.093342485,13.532378716925551,0.6333333333333333,,
Anhui-EP_Coal_1000_RC-ep-1152,existing.1152,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,40868235.690000884,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-1153,existing.1153,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-1153,existing.1153,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-1154,existing.1154,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-1154,existing.1154,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-1155,existing.1155,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-1155,existing.1155,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-1156,existing.1156,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-1156,existing.1156,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-3094,existing.3094,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-3094,existing.3094,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-3095,existing.3095,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-3095,existing.3095,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_1000_RC-ep-3096,existing.3096,EP_Coal_1000_RC,Anhui,Coal,2038,5548.0,22018743.994509265,4059378.393599999,1000.0,38922129.22857227,14136763.898421414,13.53237871692555,0.6333333333333334,,
Anhui-EP_Coal_1000_RC-ep-3096,existing.3096,EP_Coal_1000_RC,Anhui,Coal,2048,0.0,0.0,0.0,0.0,38922129.22857227,0.0,0.0,0.0,,
Anhui-EP_Coal_300_OT-ep-1206,existing.1206,EP_Coal_300_OT,Anhui,Coal,2038,461.472,1831476.8977350716,376000.74040320003,330.0,14699594.273582332,5276322.8894989705,47.25615868528615,0.15963470319634704,,
Anhui-EP_Coal_300_OT-ep-1207,existing.1207,EP_Coal_300_OT,Anhui,Coal,2038,461.472,1831476.8977350716,376000.74040320003,330.0,14699594.273582332,5276322.8894989705,47.25615868528615,0.15963470319634704,,
Anhui-EP_Coal_300_OT-ep-1218,existing.1218,EP_Coal_300_OT,Anhui,Coal,2038,447.488,1775977.5978037058,364606.7785727999,320.0,14254152.022867715,5116434.317089911,47.25615868528615,0.15963470319634704,,
Anhui-EP_Coal_300_OT-ep-1219,existing.1219,EP_Coal_300_OT,Anhui,Coal,2038,447.488,1775977.5978037058,364606.7785727999,320.0,14254152.022867715,5116434.317089911,47.25615868528615,0.15963470319634704,,
Anhui-EP_Coal_300_OT-ep-1220,existing.1220,EP_Coal_300_OT,Anhui,Coal,2038,447.488,1775977.5978037058,364606.7785727999,320.0,14254152.022867715,5116434.317089911,47.25615868528615,0.15963470319634704,,
