load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge
Anhui,2040-06-26_00:00,56349.7,-20882.9,34986.6,480.193
Anhui,2040-06-26_04:00,56311.8,-26307.5,30004.3,0
Anhui,2040-06-26_08:00,34368.3,-823.324,31570.8,1974.13
Anhui,2040-06-26_12:00,60563.7,-21279.8,37309.8,1974.13
Anhui,2040-06-26_16:00,79572.7,-39503.9,38094.7,1974.13
Anhui,2040-06-26_20:00,60037,-20079.4,39957.6,0
Anhui,2040-12-19_00:00,58907.8,-21087.7,37820.1,0
Anhui,2040-12-19_04:00,53979.5,-21545.2,32434.3,0
Anhui,2040-12-19_08:00,160153,-126025,34127.7,0
Anhui,2040-12-19_12:00,255464,-212152,40331.4,2980.72
Anhui,2040-12-19_16:00,97667.3,-56487.3,41179.9,0
Anhui,2040-12-19_20:00,59572.4,-16378.7,43193.7,0
Anhui,2050-06-12_00:00,177278,-135868,41410.6,0
Anhui,2050-06-12_04:00,253941,-218418,35513.5,9.04466
Anhui,2050-06-12_08:00,325674,-286332,37367.6,1974.13
Anhui,2050-06-12_12:00,850818,-276838,44160.3,529820
Anhui,2050-06-12_16:00,725878,-286332,45089.4,394457
Anhui,2050-06-12_20:00,285262,-237959,47294.4,8.65978
Anhui,2050-12-12_00:00,202652,-157888,44764.4,0
Anhui,2050-12-12_04:00,175105,-136716,38389.7,0
Anhui,2050-12-12_08:00,497156,-187473,40394,269289
Anhui,2050-12-12_12:00,863888,-286332,47736.8,529820
Anhui,2050-12-12_16:00,95845.1,-47104.1,48741.1,0
Anhui,2050-12-12_20:00,253853,-202729,51124.7,0
Fujian,2040-06-26_00:00,60676.4,-14947.6,45728.9,0
Fujian,2040-06-26_04:00,52366.2,-10881.3,41485,0
Fujian,2040-06-26_08:00,189567,-101743,43235.8,44587.9
Fujian,2040-06-26_12:00,187821,-92334.3,51668.4,43818.7
Fujian,2040-06-26_16:00,137860,-84684.3,52507.9,667.485
Fujian,2040-06-26_20:00,50732.3,0,50732.3,0
Fujian,2040-12-19_00:00,54542.5,-11565.3,42977.2,0
Fujian,2040-12-19_04:00,42143.7,-3155.09,38988.7,0
Fujian,2040-12-19_08:00,103086,-62451.4,40634.1,0
Fujian,2040-12-19_12:00,142832,-49876.4,48559.3,44396.7
Fujian,2040-12-19_16:00,68471,-19122.7,49348.3,0
Fujian,2040-12-19_20:00,88239.6,-40560,47679.5,0
Fujian,2050-06-12_00:00,16067.3,38808.4,54125.2,750.526
Fujian,2050-06-12_04:00,23681.7,25420.4,49102.1,0
Fujian,2050-06-12_08:00,77945.6,17238.6,51174.4,44009.8
Fujian,2050-06-12_12:00,102683,0,61155.4,41527.2
Fujian,2050-06-12_16:00,68801,-6469.42,62149,182.56
