load_zone,period,Coal,Gas,Uranium,Hydrogen,Solar,Storage,Water,Wind,TXPowerNet
Anhui,2038,301530.48419653636,0.0,17799.162839040004,0,406448.04327455844,1.3387762010097501e-12,11855.635346557496,18449.361120533948,-427212.27175054897
Anhui,2048,0.0,0.0,17799.162839040004,0,2426073.798878556,959930.4564236482,9396.946880118288,19983.366521248696,-1793249.5615723182
Fujian,2038,39270.11199999997,0.0,106825.27348162563,0,479618.44600112224,72358.678484362,28803.400600640573,132232.16276785437,-357957.44548605283
Fujian,2048,0.0,0.0,106825.27348162563,0,263427.98685683176,71086.17779907097,17843.29733251068,159791.03567313112,-45531.7476062292
Jiangsu,2038,369110.31166129484,0.0,78725.31853148165,0,21797.667734672155,33294.08084990452,10977.173579902954,37283.1359235519,545147.4818430562
Jiangsu,2048,0.0,0.0,78725.31853148161,0,21148.467617070983,130529.5711414945,10977.173579902952,215145.15625468743,958705.6927826112
Shanghai,2038,168068.19742035115,2401.8828664662115,0,0,15347.5963880555,0.0,0,147.2901449659757,136493.970312501
Shanghai,2048,0.0,0.0,0,0,17602.834035091757,0.0,0,0.0,364063.58254520816
Zhejiang,2038,146941.15935452626,0.0,100031.29515540485,0,243636.08302439764,46942.638887222995,34053.30242466155,204374.0329129897,83783.09062780414
Zhejiang,2048,0.0,0.0,100031.29515540473,0,147264.58480048526,86384.87085252404,34053.302424661546,205009.30976939862,482570.82478922344
