load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_RC,Coal_1000_SEA,Coal_100_OT,Coal_100_RC,Coal_100_SEA,Coal_300_OT,Coal_300_RC,Coal_300_SEA,Coal_600_OT,Coal_600_RC,Coal_600_SEA,Coal_IGCC_RC,Coal_Small_OT,Coal_Small_RC,Coal_Small_SEA,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_RC,EP_Coal_1000_SEA,EP_Coal_300_OT,EP_Coal_300_RC,EP_Coal_300_SEA,EP_Coal_600_OT,EP_Coal_600_RC,EP_Coal_600_SEA,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,TXPowerNet
Anhui,2038,1.3387762010097501e-12,395024.20750149374,8761.032022012203,89923.22819653401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.8037510525555,5548.0,44661.4,0.0,2712.896,4894.400000000001,0.0,36283.92,117506.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6801.972220137178,5053.663126420315,0.0,0.0,17799.16283904,0.0,0.0,14869.48687240464,3579.874248129312,-427212.27175054897
Anhui,2048,959930.4564236483,2424044.265362305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2029.5335162521455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4051.7744116074955,5345.172468510793,0.0,0.0,17799.16283904,0.0,0.0,19983.3665212487,0.0,-1793249.5615723182
Fujian,2038,72358.67848436201,474091.5282173303,1571.2751926143999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3287.5391599232007,0.0,0.0,19440.8,0.0,0.0,0.0,1845.8880000000001,0.0,17983.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130636,2091.0335735098733,57131.52565739527,49693.74782423042,0.0,83777.66135766721,668.1034312542438,40885.349702727246,7569.151707459888,-357957.44548605283
Fujian,2048,71086.17779907095,260713.22643776904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107.7549545248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15919.673904809577,1923.6234277011088,57131.52565739527,49693.74782423042,0.0,112675.0194679956,607.0054645380623,47116.01620513555,0.0,-45531.7476062292
Jiangsu,2038,33294.080849904516,7459.969936420497,8460.633410713375,108310.50871558921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5877.064387538283,90745.73694570587,43154.206,11096.0,1992.72,5209.04,0.0,73899.36,15478.92,19223.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.30709376405,4868.8664861389025,49080.244764671996,29645.073766809594,0.0,0.0,0.0,31869.352441922176,5413.783481629645,545147.4818430562
Jiangsu,2048,130529.57114149451,13667.67698249566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7480.7906345753245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.30709376405,4868.8664861389025,33992.6139666432,44732.704564838394,0.0,172199.27894929872,0.0,42945.87730538813,0.0,958705.6927826112
Shanghai,2038,0.0,7287.139469906688,842.3705913923328,124867.60135602776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3117.608948164481,19880.452064323465,0.0,10408.2,664.24,0.0,0.0,6415.464,5832.24,0.0,0.0,0.0,0.0,2401.8828664662115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.477378592001,0.0,147.29014496597574,136493.970312501
Shanghai,2048,0.0,9570.0616035948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481.73808663296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4551.034344864001,0.0,0.0,364063.58254520816
Zhejiang,2038,46942.638887223,212016.67897804797,14376.497776889139,14342.18138835565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7556.24622971904,0.0,9720.4,77763.2,419.52,839.04,894.976,0.0,9103.584,33858.25796617091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.74313709217,10062.559287569335,72264.6011265024,27766.694028902406,0.0,177402.118407136,9686.66003974144,23975.26087206656,2996.6536337872158,83783.09062780414
Zhejiang,2048,86384.87085252405,135585.629824512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5114.876199960576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092162,10062.559287569335,52465.87276001285,47565.42239539199,0.0,180149.8092174368,6564.0787760128,24859.5005519616,0.0,482570.82478922344
