generation_project,timepoint,load_zone,ChargeMW,DischargeMW,StateOfCharge
Anhui-Battery_Storage-11177,2040-06-26_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-06-26_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_00:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_04:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_12:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_16:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2040-12-19_20:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_00:00,Anhui,0,173511,1.0011e+06
Anhui-Battery_Storage-11177,2050-06-12_04:00,Anhui,0,250274,0
Anhui-Battery_Storage-11177,2050-06-12_08:00,Anhui,0,0,0
Anhui-Battery_Storage-11177,2050-06-12_12:00,Anhui,526839,0,1.61634e+06
Anhui-Battery_Storage-11177,2050-06-12_16:00,Anhui,392482,0,2.82048e+06
Anhui-Battery_Storage-11177,2050-06-12_20:00,Anhui,0,281335,1.69514e+06
Anhui-Battery_Storage-11177,2050-12-12_00:00,Anhui,0,195967,671404
Anhui-Battery_Storage-11177,2050-12-12_04:00,Anhui,0,167851,0
Anhui-Battery_Storage-11177,2050-12-12_08:00,Anhui,269289,0,826178
Anhui-Battery_Storage-11177,2050-12-12_12:00,Anhui,526839,0,2.44252e+06
Anhui-Battery_Storage-11177,2050-12-12_16:00,Anhui,0,0,2.44252e+06
Anhui-Battery_Storage-11177,2050-12-12_20:00,Anhui,0,246812,1.45527e+06
Anhui-Hydro_Pumped-ep-35020,2040-06-26_00:00,Anhui,10.439,17.1663,68.6653
Anhui-Hydro_Pumped-ep-35020,2040-06-26_04:00,Anhui,0,17.1663,0
Anhui-Hydro_Pumped-ep-35020,2040-06-26_08:00,Anhui,42.9158,17.1663,58.3655
Anhui-Hydro_Pumped-ep-35020,2040-06-26_12:00,Anhui,42.9158,17.1663,116.731
Anhui-Hydro_Pumped-ep-35020,2040-06-26_16:00,Anhui,42.9158,17.1663,175.097
Anhui-Hydro_Pumped-ep-35020,2040-06-26_20:00,Anhui,0,17.1663,106.431
Anhui-Hydro_Pumped-ep-35020,2040-12-19_00:00,Anhui,0,3.99589,31.9671
Anhui-Hydro_Pumped-ep-35020,2040-12-19_04:00,Anhui,0,3.99589,15.9836
Anhui-Hydro_Pumped-ep-35020,2040-12-19_08:00,Anhui,0,3.99589,0
Anhui-Hydro_Pumped-ep-35020,2040-12-19_12:00,Anhui,64.7983,25.9193,88.1256
Anhui-Hydro_Pumped-ep-35020,2040-12-19_16:00,Anhui,0,3.99589,72.1421
Anhui-Hydro_Pumped-ep-35020,2040-12-19_20:00,Anhui,0,6.04784,47.9507
Anhui-Hydro_Pumped-ep-35020,2050-06-12_00:00,Anhui,0,17.1663,67.5261
Anhui-Hydro_Pumped-ep-35020,2050-06-12_04:00,Anhui,0.384879,17.1663,0
Anhui-Hydro_Pumped-ep-35020,2050-06-12_08:00,Anhui,42.9158,17.1663,58.3655
Anhui-Hydro_Pumped-ep-35020,2050-06-12_12:00,Anhui,64.7983,25.9193,146.491
Anhui-Hydro_Pumped-ep-35020,2050-06-12_16:00,Anhui,42.9158,17.1663,204.857
Anhui-Hydro_Pumped-ep-35020,2050-06-12_20:00,Anhui,0,17.1663,136.191
Anhui-Hydro_Pumped-ep-35020,2050-12-12_00:00,Anhui,0,3.99589,31.9671
Anhui-Hydro_Pumped-ep-35020,2050-12-12_04:00,Anhui,0,3.99589,15.9836
Anhui-Hydro_Pumped-ep-35020,2050-12-12_08:00,Anhui,0,3.99589,0
Anhui-Hydro_Pumped-ep-35020,2050-12-12_12:00,Anhui,64.7983,25.9193,88.1256
Anhui-Hydro_Pumped-ep-35020,2050-12-12_16:00,Anhui,0,3.99589,72.1421
Anhui-Hydro_Pumped-ep-35020,2050-12-12_20:00,Anhui,0,6.04784,47.9507
Anhui-Hydro_Pumped-ep-35027,2040-06-26_00:00,Anhui,78.2924,128.747,514.99
Anhui-Hydro_Pumped-ep-35027,2040-06-26_04:00,Anhui,0,128.747,0
Anhui-Hydro_Pumped-ep-35027,2040-06-26_08:00,Anhui,321.869,128.747,437.741
Anhui-Hydro_Pumped-ep-35027,2040-06-26_12:00,Anhui,321.869,128.747,875.483
Anhui-Hydro_Pumped-ep-35027,2040-06-26_16:00,Anhui,321.869,128.747,1313.22
Anhui-Hydro_Pumped-ep-35027,2040-06-26_20:00,Anhui,0,128.747,798.234
Anhui-Hydro_Pumped-ep-35027,2040-12-19_00:00,Anhui,0,29.9692,239.754
Anhui-Hydro_Pumped-ep-35027,2040-12-19_04:00,Anhui,0,29.9692,119.877
Anhui-Hydro_Pumped-ep-35027,2040-12-19_08:00,Anhui,0,29.9692,0
Anhui-Hydro_Pumped-ep-35027,2040-12-19_12:00,Anhui,485.987,194.395,660.942
Anhui-Hydro_Pumped-ep-35027,2040-12-19_16:00,Anhui,0,29.9692,541.066
Anhui-Hydro_Pumped-ep-35027,2040-12-19_20:00,Anhui,0,45.3588,359.63
Anhui-Hydro_Pumped-ep-35027,2050-06-12_00:00,Anhui,0,128.747,506.445
Anhui-Hydro_Pumped-ep-35027,2050-06-12_04:00,Anhui,2.88659,128.747,0
Anhui-Hydro_Pumped-ep-35027,2050-06-12_08:00,Anhui,321.869,128.747,437.741
Anhui-Hydro_Pumped-ep-35027,2050-06-12_12:00,Anhui,485.987,194.395,1098.68
Anhui-Hydro_Pumped-ep-35027,2050-06-12_16:00,Anhui,321.869,128.747,1536.42
Anhui-Hydro_Pumped-ep-35027,2050-06-12_20:00,Anhui,0,128.747,1021.44
Anhui-Hydro_Pumped-ep-35027,2050-12-12_00:00,Anhui,0,29.9692,301.312
Anhui-Hydro_Pumped-ep-35027,2050-12-12_04:00,Anhui,0,45.3588,119.877
Anhui-Hydro_Pumped-ep-35027,2050-12-12_08:00,Anhui,0,29.9692,0
Anhui-Hydro_Pumped-ep-35027,2050-12-12_12:00,Anhui,485.987,194.395,660.942
Anhui-Hydro_Pumped-ep-35027,2050-12-12_16:00,Anhui,0,29.9692,541.066
Anhui-Hydro_Pumped-ep-35027,2050-12-12_20:00,Anhui,0,29.9692,421.189
Anhui-Hydro_Pumped-ep-35039,2040-06-26_00:00,Anhui,234.877,386.242,1544.97
Anhui-Hydro_Pumped-ep-35039,2040-06-26_04:00,Anhui,0,386.242,0
Anhui-Hydro_Pumped-ep-35039,2040-06-26_08:00,Anhui,965.606,386.242,1313.22
Anhui-Hydro_Pumped-ep-35039,2040-06-26_12:00,Anhui,965.606,386.242,2626.45
Anhui-Hydro_Pumped-ep-35039,2040-06-26_16:00,Anhui,965.606,386.242,3939.67
Anhui-Hydro_Pumped-ep-35039,2040-06-26_20:00,Anhui,0,386.242,2394.7
Anhui-Hydro_Pumped-ep-35039,2040-12-19_00:00,Anhui,0,89.9076,719.261
Anhui-Hydro_Pumped-ep-35039,2040-12-19_04:00,Anhui,0,89.9076,359.63
Anhui-Hydro_Pumped-ep-35039,2040-12-19_08:00,Anhui,0,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2040-12-19_12:00,Anhui,1457.96,583.184,1982.83
Anhui-Hydro_Pumped-ep-35039,2040-12-19_16:00,Anhui,0,89.9076,1623.2
Anhui-Hydro_Pumped-ep-35039,2040-12-19_20:00,Anhui,0,136.076,1078.89
Anhui-Hydro_Pumped-ep-35039,2050-06-12_00:00,Anhui,0,386.242,1544.97
Anhui-Hydro_Pumped-ep-35039,2050-06-12_04:00,Anhui,0,386.242,0
Anhui-Hydro_Pumped-ep-35039,2050-06-12_08:00,Anhui,965.606,386.242,1313.22
Anhui-Hydro_Pumped-ep-35039,2050-06-12_12:00,Anhui,1457.96,583.184,3296.05
Anhui-Hydro_Pumped-ep-35039,2050-06-12_16:00,Anhui,965.606,386.242,4609.27
Anhui-Hydro_Pumped-ep-35039,2050-06-12_20:00,Anhui,8.65978,386.242,3089.94
Anhui-Hydro_Pumped-ep-35039,2050-12-12_00:00,Anhui,0,89.9076,903.936
Anhui-Hydro_Pumped-ep-35039,2050-12-12_04:00,Anhui,0,136.076,359.63
Anhui-Hydro_Pumped-ep-35039,2050-12-12_08:00,Anhui,0,89.9076,0
Anhui-Hydro_Pumped-ep-35039,2050-12-12_12:00,Anhui,1457.96,583.184,1982.83
Anhui-Hydro_Pumped-ep-35039,2050-12-12_16:00,Anhui,0,89.9076,1623.2
Anhui-Hydro_Pumped-ep-35039,2050-12-12_20:00,Anhui,0,89.9076,1263.57
Anhui-Hydro_Pumped-ep-35040,2040-06-26_00:00,Anhui,156.585,257.495,1029.98
Anhui-Hydro_Pumped-ep-35040,2040-06-26_04:00,Anhui,0,257.495,0
Anhui-Hydro_Pumped-ep-35040,2040-06-26_08:00,Anhui,643.737,257.495,875.483
Anhui-Hydro_Pumped-ep-35040,2040-06-26_12:00,Anhui,643.737,257.495,1750.97
Anhui-Hydro_Pumped-ep-35040,2040-06-26_16:00,Anhui,643.737,257.495,2626.45
Anhui-Hydro_Pumped-ep-35040,2040-06-26_20:00,Anhui,0,257.495,1596.47
Anhui-Hydro_Pumped-ep-35040,2040-12-19_00:00,Anhui,0,59.9384,479.507
Anhui-Hydro_Pumped-ep-35040,2040-12-19_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2040-12-19_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2040-12-19_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2040-12-19_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2040-12-19_20:00,Anhui,0,90.7176,719.261
Anhui-Hydro_Pumped-ep-35040,2050-06-12_00:00,Anhui,0,257.495,1012.89
Anhui-Hydro_Pumped-ep-35040,2050-06-12_04:00,Anhui,5.77319,257.495,0
Anhui-Hydro_Pumped-ep-35040,2050-06-12_08:00,Anhui,643.737,257.495,875.483
Anhui-Hydro_Pumped-ep-35040,2050-06-12_12:00,Anhui,971.974,388.79,2197.37
Anhui-Hydro_Pumped-ep-35040,2050-06-12_16:00,Anhui,643.737,257.495,3072.85
Anhui-Hydro_Pumped-ep-35040,2050-06-12_20:00,Anhui,0,257.495,2042.87
Anhui-Hydro_Pumped-ep-35040,2050-12-12_00:00,Anhui,0,90.7176,479.507
Anhui-Hydro_Pumped-ep-35040,2050-12-12_04:00,Anhui,0,59.9384,239.754
Anhui-Hydro_Pumped-ep-35040,2050-12-12_08:00,Anhui,0,59.9384,0
Anhui-Hydro_Pumped-ep-35040,2050-12-12_12:00,Anhui,971.974,388.79,1321.88
Anhui-Hydro_Pumped-ep-35040,2050-12-12_16:00,Anhui,0,59.9384,1082.13
Anhui-Hydro_Pumped-ep-35040,2050-12-12_20:00,Anhui,0,59.9384,842.377
Fujian-Battery_Storage-11178,2040-06-26_00:00,Fujian,0,26129.5,77683.9
Fujian-Battery_Storage-11178,2040-06-26_04:00,Fujian,0,19421,0
Fujian-Battery_Storage-11178,2040-06-26_08:00,Fujian,43259.3,0,132719
Fujian-Battery_Storage-11178,2040-06-26_12:00,Fujian,43068.2,0,264853
Fujian-Battery_Storage-11178,2040-06-26_16:00,Fujian,0,0,264853
Fujian-Battery_Storage-11178,2040-06-26_20:00,Fujian,0,20662.6,182202
Fujian-Battery_Storage-11178,2040-12-19_00:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_04:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_08:00,Fujian,0,0,0
Fujian-Battery_Storage-11178,2040-12-19_12:00,Fujian,43259.3,0,132719
Fujian-Battery_Storage-11178,2040-12-19_16:00,Fujian,0,0,132719
Fujian-Battery_Storage-11178,2040-12-19_20:00,Fujian,0,33179.8,0
