TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Fujian,Zhejiang,2040.06.26.00,19765.58736310091
Fujian,Zhejiang,2040.06.26.04,0.0
Fujian,Zhejiang,2040.06.26.08,101597.9710875757
Fujian,Zhejiang,2040.06.26.12,92420.47664367012
Fujian,Zhejiang,2040.06.26.16,84932.70150565419
Fujian,Zhejiang,2040.06.26.20,6921.954434994102
Fujian,Zhejiang,2040.12.19.00,11565.27685756917
Fujian,Zhejiang,2040.12.19.04,3155.094905160156
Fujian,Zhejiang,2040.12.19.08,62621.98635747356
Fujian,Zhejiang,2040.12.19.12,49751.92962038014
Fujian,Zhejiang,2040.12.19.16,19193.89688580942
Fujian,Zhejiang,2040.12.19.20,40990.32991045823
Fujian,Zhejiang,2050.06.12.00,0.0
Fujian,Zhejiang,2050.06.12.04,0.0
Fujian,Zhejiang,2050.06.12.08,0.0
Fujian,Zhejiang,2050.06.12.12,0.0
Fujian,Zhejiang,2050.06.12.16,0.0
Fujian,Zhejiang,2050.06.12.20,0.0
Fujian,Zhejiang,2050.12.12.00,2760.314337736376
Fujian,Zhejiang,2050.12.12.04,3587.82942119651
Fujian,Zhejiang,2050.12.12.08,17230.8019981961
Fujian,Zhejiang,2050.12.12.12,46969.06938691641
Fujian,Zhejiang,2050.12.12.16,28604.32214591208
Fujian,Zhejiang,2050.12.12.20,33009.37217145775
Zhejiang,Fujian,2040.06.26.00,0.0
Zhejiang,Fujian,2040.06.26.04,0.0
Zhejiang,Fujian,2040.06.26.08,0.0
Zhejiang,Fujian,2040.06.26.12,0.0
Zhejiang,Fujian,2040.06.26.16,0.0
Zhejiang,Fujian,2040.06.26.20,0.0
Zhejiang,Fujian,2040.12.19.00,0.0
Zhejiang,Fujian,2040.12.19.04,0.0
Zhejiang,Fujian,2040.12.19.08,0.0
Zhejiang,Fujian,2040.12.19.12,0.0
Zhejiang,Fujian,2040.12.19.16,0.0
Zhejiang,Fujian,2040.12.19.20,0.0
Zhejiang,Fujian,2050.06.12.00,0.0
Zhejiang,Fujian,2050.06.12.04,27082.64622675722
Zhejiang,Fujian,2050.06.12.08,18328.64554423955
Zhejiang,Fujian,2050.06.12.12,3307.408946175185
Zhejiang,Fujian,2050.06.12.16,8372.435089796021
Zhejiang,Fujian,2050.06.12.20,5442.447778615478
Zhejiang,Fujian,2050.12.12.00,0.0
Zhejiang,Fujian,2050.12.12.04,0.0
Zhejiang,Fujian,2050.12.12.08,0.0
Zhejiang,Fujian,2050.12.12.12,0.0
Zhejiang,Fujian,2050.12.12.16,0.0
Zhejiang,Fujian,2050.12.12.20,0.0
Anhui,Zhejiang,2040.06.26.00,0.0
Anhui,Zhejiang,2040.06.26.04,0.0
Anhui,Zhejiang,2040.06.26.08,0.0
Anhui,Zhejiang,2040.06.26.12,0.0
Anhui,Zhejiang,2040.06.26.16,0.0
Anhui,Zhejiang,2040.06.26.20,0.0
Anhui,Zhejiang,2040.12.19.00,0.0
Anhui,Zhejiang,2040.12.19.04,0.0
Anhui,Zhejiang,2040.12.19.08,308.0473479428953
Anhui,Zhejiang,2040.12.19.12,7311.012583717637
Anhui,Zhejiang,2040.12.19.16,0.0
Anhui,Zhejiang,2040.12.19.20,0.0
Anhui,Zhejiang,2050.06.12.00,57540.30472969138
Anhui,Zhejiang,2050.06.12.04,45237.72379416146
Anhui,Zhejiang,2050.06.12.08,57540.30472969138
Anhui,Zhejiang,2050.06.12.12,57540.30472969138
Anhui,Zhejiang,2050.06.12.16,57540.30472969138
Anhui,Zhejiang,2050.06.12.20,57540.30472969138
Anhui,Zhejiang,2050.12.12.00,42337.84246118372
Anhui,Zhejiang,2050.12.12.04,26610.45638105521
Anhui,Zhejiang,2050.12.12.08,57540.30472969138
Anhui,Zhejiang,2050.12.12.12,18746.31405835395
Anhui,Zhejiang,2050.12.12.16,0.0
Anhui,Zhejiang,2050.12.12.20,6119.658111906457
Zhejiang,Anhui,2040.06.26.00,0.0
Zhejiang,Anhui,2040.06.26.04,0.0
Zhejiang,Anhui,2040.06.26.08,7311.012583717637
Zhejiang,Anhui,2040.06.26.12,0.0
Zhejiang,Anhui,2040.06.26.16,0.0
Zhejiang,Anhui,2040.06.26.20,0.0
Zhejiang,Anhui,2040.12.19.00,0.0
Zhejiang,Anhui,2040.12.19.04,0.0
Zhejiang,Anhui,2040.12.19.08,0.0
Zhejiang,Anhui,2040.12.19.12,0.0
Zhejiang,Anhui,2040.12.19.16,0.0
