STORAGE_GEN_TPS_1,STORAGE_GEN_TPS_2,StateOfCharge
Anhui-Battery_Storage-11177,2040.06.26.00,0.0
Anhui-Battery_Storage-11177,2040.06.26.04,0.0
Anhui-Battery_Storage-11177,2040.06.26.08,-0.0
Anhui-Battery_Storage-11177,2040.06.26.12,-0.0
Anhui-Battery_Storage-11177,2040.06.26.16,-0.0
Anhui-Battery_Storage-11177,2040.06.26.20,-0.0
Anhui-Battery_Storage-11177,2040.12.19.00,-0.0
Anhui-Battery_Storage-11177,2040.12.19.04,-0.0
Anhui-Battery_Storage-11177,2040.12.19.08,-0.0
Anhui-Battery_Storage-11177,2040.12.19.12,-0.0
Anhui-Battery_Storage-11177,2040.12.19.16,-0.0
Anhui-Battery_Storage-11177,2040.12.19.20,0.0
Anhui-Battery_Storage-11177,2050.06.12.00,523264.1943770094
Anhui-Battery_Storage-11177,2050.06.12.04,0.0
Anhui-Battery_Storage-11177,2050.06.12.08,1237074.180159096
Anhui-Battery_Storage-11177,2050.06.12.12,1231610.158822151
Anhui-Battery_Storage-11177,2050.06.12.16,2468684.338981247
Anhui-Battery_Storage-11177,2050.06.12.20,1354493.082854799
Anhui-Battery_Storage-11177,2050.12.12.00,473332.2567156269
Anhui-Battery_Storage-11177,2050.12.12.04,0.0
Anhui-Battery_Storage-11177,2050.12.12.08,293049.5032150506
Anhui-Battery_Storage-11177,2050.12.12.12,1530123.683374147
Anhui-Battery_Storage-11177,2050.12.12.16,1530123.683374147
Anhui-Battery_Storage-11177,2050.12.12.20,1104151.731128246
Anhui-Hydro_Pumped-ep-35020,2040.06.26.00,37.76591363458977
Anhui-Hydro_Pumped-ep-35020,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35020,2040.06.26.08,58.36550288982059
Anhui-Hydro_Pumped-ep-35020,2040.06.26.12,116.7310057796412
Anhui-Hydro_Pumped-ep-35020,2040.06.26.16,175.0965086694618
Anhui-Hydro_Pumped-ep-35020,2040.06.26.20,106.4312111520258
Anhui-Hydro_Pumped-ep-35020,2040.12.19.00,31.96714562931792
Anhui-Hydro_Pumped-ep-35020,2040.12.19.04,15.98357281465896
Anhui-Hydro_Pumped-ep-35020,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35020,2040.12.19.12,88.1256447078494
Anhui-Hydro_Pumped-ep-35020,2040.12.19.16,72.14207189319045
Anhui-Hydro_Pumped-ep-35020,2040.12.19.20,47.95071844397688
Anhui-Hydro_Pumped-ep-35020,2050.06.12.00,68.665297517436
Anhui-Hydro_Pumped-ep-35020,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35020,2050.06.12.08,103.2512
Anhui-Hydro_Pumped-ep-35020,2050.06.12.12,206.5024
Anhui-Hydro_Pumped-ep-35020,2050.06.12.16,309.7535999999999
Anhui-Hydro_Pumped-ep-35020,2050.06.12.20,137.330595034872
Anhui-Hydro_Pumped-ep-35020,2050.12.12.00,31.96714562931792
Anhui-Hydro_Pumped-ep-35020,2050.12.12.04,15.98357281465896
Anhui-Hydro_Pumped-ep-35020,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35020,2050.12.12.12,88.1256447078494
Anhui-Hydro_Pumped-ep-35020,2050.12.12.16,72.14207189319045
Anhui-Hydro_Pumped-ep-35020,2050.12.12.20,47.95071844397688
Anhui-Hydro_Pumped-ep-35027,2040.06.26.00,283.2443522594242
Anhui-Hydro_Pumped-ep-35027,2040.06.26.04,0.0
Anhui-Hydro_Pumped-ep-35027,2040.06.26.08,437.7412716736561
Anhui-Hydro_Pumped-ep-35027,2040.06.26.12,875.4825433473122
Anhui-Hydro_Pumped-ep-35027,2040.06.26.16,1313.223815020968
Anhui-Hydro_Pumped-ep-35027,2040.06.26.20,798.2340836401962
Anhui-Hydro_Pumped-ep-35027,2040.12.19.00,239.7535922198848
Anhui-Hydro_Pumped-ep-35027,2040.12.19.04,119.8767961099424
Anhui-Hydro_Pumped-ep-35027,2040.12.19.08,0.0
Anhui-Hydro_Pumped-ep-35027,2040.12.19.12,660.9423353088704
Anhui-Hydro_Pumped-ep-35027,2040.12.19.16,541.065539198928
Anhui-Hydro_Pumped-ep-35027,2040.12.19.20,359.6303883298272
Anhui-Hydro_Pumped-ep-35027,2050.06.12.00,1293.172537238456
Anhui-Hydro_Pumped-ep-35027,2050.06.12.04,0.0
Anhui-Hydro_Pumped-ep-35027,2050.06.12.08,774.384
Anhui-Hydro_Pumped-ep-35027,2050.06.12.12,1548.768
Anhui-Hydro_Pumped-ep-35027,2050.06.12.16,2323.152
Anhui-Hydro_Pumped-ep-35027,2050.06.12.20,1808.162268619228
Anhui-Hydro_Pumped-ep-35027,2050.12.12.00,239.7535922198848
Anhui-Hydro_Pumped-ep-35027,2050.12.12.04,119.8767961099424
Anhui-Hydro_Pumped-ep-35027,2050.12.12.08,0.0
Anhui-Hydro_Pumped-ep-35027,2050.12.12.12,660.9423353088704
Anhui-Hydro_Pumped-ep-35027,2050.12.12.16,541.065539198928
Anhui-Hydro_Pumped-ep-35027,2050.12.12.20,359.6303883298272
