ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
Anhui,2040.06.26.00,34986.61431524107
Anhui,2040.06.26.04,30004.33775500993
Anhui,2040.06.26.08,31570.83847186262
Anhui,2040.06.26.12,37309.78291333622
Anhui,2040.06.26.16,38094.70019096949
Anhui,2040.06.26.20,39957.64153413189
Anhui,2040.12.19.00,37820.11919706125
Anhui,2040.12.19.04,32434.33674658332
Anhui,2040.12.19.08,34127.70562474425
Anhui,2040.12.19.12,40331.43716864773
Anhui,2040.12.19.16,41179.92352781489
Anhui,2040.12.19.20,43193.74124166104
Anhui,2050.06.12.00,41410.59271833675
Anhui,2050.06.12.04,35513.50809086061
Anhui,2050.06.12.08,37367.63786158004
Anhui,2050.06.12.12,44160.3240231415
Anhui,2050.06.12.16,45089.36189484826
Anhui,2050.06.12.20,47294.36248520962
Anhui,2050.12.12.00,44764.36440853886
Anhui,2050.12.12.04,38389.68518074203
Anhui,2050.12.12.08,40393.97768825914
Anhui,2050.12.12.12,47736.79165658785
Anhui,2050.12.12.16,48741.07068541722
Anhui,2050.12.12.20,51124.65042839124
Fujian,2040.06.26.00,45728.85528269272
Fujian,2040.06.26.04,41484.95560819346
Fujian,2040.06.26.08,43235.79559533147
Fujian,2040.06.26.12,51668.39249920328
Fujian,2040.06.26.16,52507.87631139398
Fujian,2040.06.26.20,50732.29366157487
Fujian,2040.12.19.00,42977.183110964
Fujian,2040.12.19.04,38988.65437373696
Fujian,2040.12.19.08,40634.13992678786
Fujian,2040.12.19.12,48559.31668877455
Fujian,2040.12.19.16,49348.285695153
Fujian,2040.12.19.20,47679.54633576642
Fujian,2050.06.12.00,54125.24300079029
Fujian,2050.06.12.04,49102.11045716452
Fujian,2050.06.12.08,51174.42648549092
Fujian,2050.06.12.12,61155.35327073929
Fujian,2050.06.12.16,62148.97677277445
Fujian,2050.06.12.20,60047.37502054752
Fujian,2050.12.12.00,50868.32952607889
Fujian,2050.12.12.04,46147.45720632598
Fujian,2050.12.12.08,48095.07441350507
Fujian,2050.12.12.12,57475.41239517962
Fujian,2050.12.12.16,58409.24594352313
Fujian,2050.12.12.20,56434.10524136854
Jiangsu,2040.06.26.00,106555.2197267022
Jiangsu,2040.06.26.04,97997.17892854656
Jiangsu,2040.06.26.08,107496.1535211457
Jiangsu,2040.06.26.12,124366.0391344382
Jiangsu,2040.06.26.16,126742.6448766336
Jiangsu,2040.06.26.20,122762.0154433252
Jiangsu,2040.12.19.00,116033.3301092534
