SetProduct_OrderedSet_1,SetProduct_OrderedSet_2,WithdrawLiquidHydrogenKg
Anhui,2040.06.26,-0.0
Anhui,2040.12.19,0.0
Anhui,2050.06.12,0.0
Anhui,2050.12.12,25520810.69684634
Fujian,2040.06.26,0.0
Fujian,2040.12.19,-0.0
Fujian,2050.06.12,0.0
Fujian,2050.12.12,-0.0
Jiangsu,2040.06.26,0.0
Jiangsu,2040.12.19,0.0
Jiangsu,2050.06.12,0.0
Jiangsu,2050.12.12,2481811.547945525
Shanghai,2040.06.26,0.0
Shanghai,2040.12.19,0.0
Shanghai,2050.06.12,0.0
Shanghai,2050.12.12,10180870.96001254
Zhejiang,2040.06.26,0.0
Zhejiang,2040.12.19,-0.0
Zhejiang,2050.06.12,0.0
Zhejiang,2050.12.12,-0.0
