load_zone,period,Coal,Gas,Hydrogen,Solar,Storage,Uranium,Water,Wind,hydro,fuel cells
Anhui,2038,56013.00132843111,0.0,-1.242511941971813e-12,519929.1986728357,0.0,2350.0,5142.284736064822,11203.999999999998,0,0
Anhui,2048,0.0,0.0,31522.05320371625,1686303.1887910748,411447.3898302079,2350.0,5681.378165246417,9030.0,0,0
Fujian,2038,18180.0,0.0,0.0,284928.00001990004,44714.57313830828,14104.0,9254.075184056108,42508.600001000006,0,0
Fujian,2048,5625.420457995873,0.0,0.0,284000.00001990004,44714.57313830828,14104.0,12986.23,40250.00000100001,0,0
Jiangsu,2038,95813.39539159543,0.0,0.0,21301.671428999995,48297.49286728659,10394.0,5683.3300524366805,40945.600004000014,0,0
Jiangsu,2048,32323.395391595433,0.0,3065.41185486727,12228.571429000003,91761.41203639704,10394.0,6191.12,142620.00000400003,0,0
Shanghai,2038,45876.70118024819,766.2788536691199,0.0,10779.099999999999,0.0,0,0,671.9,0,0
Shanghai,2048,39926.70118024819,766.2788536691199,16766.54971891062,10201.0,0.0,0,0,0.0,0,0
Zhejiang,2038,50847.53527256869,0.0,0.0,139337.0,35078.58057290773,13207.0,16675.057053541874,64459.899999999994,0,0
Zhejiang,2048,30167.53527256869,0.0,0.0,131200.0,51494.543247527414,13207.0,17727.260000000002,63280.0,0,0
