generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,ChargeStorage_MW,Store_GWh_typical_yr,Discharge_GWh_typical_yr,is_storage
Anhui-Battery_Storage-11177,2040-06-26_00:00,new.11177,Battery_Storage,Anhui,Storage,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,True
Anhui-Battery_Storage-11177,2040-06-26_04:00,new.11177,Battery_Storage,Anhui,Storage,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,True
Anhui-Battery_Storage-11177,2040-06-26_08:00,new.11177,Battery_Storage,Anhui,Storage,724.0,2038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,True
Anhui-Battery_Storage-11177,2040-06-26_12:00,new.11177,Battery_Storage,Anhui,Storage,724.0,2038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,True
Anhui-Battery_Storage-11177,2040-06-26_16:00,new.11177,Battery_Storage,Anhui,Storage,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,True
Anhui-Battery_Storage-11177,2040-06-26_20:00,new.11177,Battery_Storage,Anhui,Storage,724.0,2038,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,True
Anhui-Battery_Storage-11177,2040-12-19_00:00,new.11177,Battery_Storage,Anhui,Storage,736.0,2038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,True
Anhui-Battery_Storage-11177,2040-12-19_04:00,new.11177,Battery_Storage,Anhui,Storage,736.0,2038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,True
Anhui-Battery_Storage-11177,2040-12-19_08:00,new.11177,Battery_Storage,Anhui,Storage,736.0,2038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,True
Anhui-Battery_Storage-11177,2040-12-19_12:00,new.11177,Battery_Storage,Anhui,Storage,736.0,2038,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,True
