gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Battery_Storage,Storage,2038,-46064.29892349112,0.0,0.0,128090.64657850261,2229027414.5019326,3616801934.575193,38.551583790652046,0.13513952392866,197700.85374888894,151636.5548253978
Battery_Storage,Storage,2048,-342046.74049831217,0.0,0.0,599417.9182524406,9778511946.486078,14585046522.04205,21.637935466648255,0.21443272860027057,1468011.7617953315,1125965.0212970194
Central_PV,Solar,2038,1092309.5447052428,0.0,0.0,921785.0320278356,45274002963.92356,14910424862.506245,55.09832640222002,0.1352732644462993,0.0,0.0
Central_PV,Solar,2048,3076118.717393097,0.0,0.0,2097037.5221460746,93456850918.8799,32225482906.878815,40.857439316344106,0.16745294302882707,0.0,0.0
Central_PV_EP,Solar,2038,34011.80899362144,0.0,0.0,27594.7,3038858157.319444,1050962189.2747083,120.24706910947182,0.14070189556129872,0.0,0.0
Coal_1000_OT,Coal,2038,331563.3836384616,2193165483.744457,249566963.1125493,94620.63317284343,3478927699.6338096,631387184.6964085,19.011388709158613,0.4000153038444743,0.0,0.0
Coal_1000_OT,Coal,2048,0.0,0.0,0.0,80817.6318444123,3478927699.6338096,539282134.6995525,0.0,0.0,0.0,0.0
Coal_1000_OT_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_OT_H2,Hydrogen,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC,Coal,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC,Coal,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal_1000_RC_H2,Hydrogen,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
