load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid,StorageNetCharge,RunElectrolyzerMW,LiquefyHydrogenMW
Anhui,2040-06-26_00:00,54064.8,-19078.1,34986.6,0,0,0
Anhui,2040-06-26_04:00,54026.8,-23542.3,30004.3,480.193,0,0
Anhui,2040-06-26_08:00,34153.6,-608.591,31570.8,1974.13,0,0
Anhui,2040-06-26_12:00,60138.7,-20854.8,37309.8,1974.13,0,0
Anhui,2040-06-26_16:00,77131.2,-37062.4,38094.7,1974.13,0,0
Anhui,2040-06-26_20:00,57752.1,-17794.4,39957.6,0,0,0
Anhui,2040-12-19_00:00,56622.9,-18802.8,37820.1,0,0,0
Anhui,2040-12-19_04:00,51694.6,-19260.3,32434.3,0,0,0
Anhui,2040-12-19_08:00,158738,-124610,34127.7,0,0,0
Anhui,2040-12-19_12:00,253193,-209881,40331.4,2980.72,0,0
Anhui,2040-12-19_16:00,95000.9,-53821,41179.9,0,0,0
Anhui,2040-12-19_20:00,57287.4,-14093.7,43193.7,0,0,0
Anhui,2050-06-12_00:00,212841,-160620,41410.6,0,0,10809.9
Anhui,2050-06-12_04:00,136916,-90592.6,35513.5,0,0,10809.9
Anhui,2050-06-12_08:00,952149,-388729,37367.6,406711,108532,10809.9
Anhui,2050-06-12_12:00,555723,-388729,44160.3,3492.32,108532,10809.9
Anhui,2050-06-12_16:00,959870,-388729,45089.4,406711,108532,10809.9
Anhui,2050-06-12_20:00,283767,-225663,47294.4,0,0,10809.9
Anhui,2050-12-12_00:00,195101,-150336,44764.4,0,0,0
Anhui,2050-12-12_04:00,155987,-117597,38389.7,0,0,0
Anhui,2050-12-12_08:00,415206,-279294,40394,95518.1,0,0
Anhui,2050-12-12_12:00,720817,-266882,47736.8,406199,0,0
Anhui,2050-12-12_16:00,112037,-63296.2,48741.1,0,0,0
Anhui,2050-12-12_20:00,145099,-93974.5,51124.7,0,0,0
Fujian,2040-06-26_00:00,65494.4,-19765.6,45728.9,0,0,0
Fujian,2040-06-26_04:00,41485,0,41485,0,0,0
Fujian,2040-06-26_08:00,189983,-101598,43235.8,45148.9,0,0
Fujian,2040-06-26_12:00,188466,-92420.5,51668.4,44377.3,0,0
Fujian,2040-06-26_16:00,138108,-84932.7,52507.9,667.485,0,0
Fujian,2040-06-26_20:00,57654.2,-6921.95,50732.3,0,0,0
Fujian,2040-12-19_00:00,54542.5,-11565.3,42977.2,0,0,0
Fujian,2040-12-19_04:00,42143.7,-3155.09,38988.7,0,0,0
Fujian,2040-12-19_08:00,103256,-62622,40634.1,0,0,0
Fujian,2040-12-19_12:00,143269,-49751.9,48559.3,44957.7,0,0
Fujian,2040-12-19_16:00,68542.2,-19193.9,49348.3,0,0,0
Fujian,2040-12-19_20:00,88669.9,-40990.3,47679.5,0,0,0
Fujian,2050-06-12_00:00,54125.2,0,54125.2,0,0,0
Fujian,2050-06-12_04:00,22815.8,26286.3,49102.1,0,0,0
Fujian,2050-06-12_08:00,78340,17789.7,51174.4,44955.3,0,0
Fujian,2050-06-12_12:00,103094,3210.16,61155.4,45148.9,0,0
Fujian,2050-06-12_16:00,54773.3,8126.25,62149,750.526,0,0
Fujian,2050-06-12_20:00,54765,5282.42,60047.4,0,0,0
Fujian,2050-12-12_00:00,53628.6,-2760.31,50868.3,0,0,0
Fujian,2050-12-12_04:00,49735.3,-3587.83,46147.5,0,0,0
Fujian,2050-12-12_08:00,82285.2,-17230.8,48095.1,16959.4,0,0
Fujian,2050-12-12_12:00,149402,-46969.1,57475.4,44957.7,0,0
Fujian,2050-12-12_16:00,87013.6,-28604.3,58409.2,0,0,0
Fujian,2050-12-12_20:00,89443.5,-33009.4,56434.1,0,0,0
Jiangsu,2040-06-26_00:00,87646.3,18909,106555,0,0,0
Jiangsu,2040-06-26_04:00,75125.7,23333.5,97997.2,462.015,0,0
Jiangsu,2040-06-26_08:00,16635.5,92760,107496,1899.39,0,0
Jiangsu,2040-06-26_12:00,26960.4,99305,124366,1899.39,0,0
Jiangsu,2040-06-26_16:00,45915,82727,126743,1899.39,0,0
Jiangsu,2040-06-26_20:00,105125,17636.6,122762,0,0,0
Jiangsu,2040-12-19_00:00,92622,23411.3,116033,0,0,0
Jiangsu,2040-12-19_04:00,87624.6,19089.5,106714,0,0,0
Jiangsu,2040-12-19_08:00,15965,115700,117058,14607.2,0,0
Jiangsu,2040-12-19_12:00,20884.8,164755,135428,50211.4,0,0
Jiangsu,2040-12-19_16:00,84672.7,53343.7,138016,0,0,0
Jiangsu,2040-12-19_20:00,103890,29791.5,133682,0,0,0
Jiangsu,2050-06-12_00:00,65739.6,61431.7,126120,0,0,1051.23
Jiangsu,2050-06-12_04:00,108124,8917.42,115991,0,0,1051.23
Jiangsu,2050-06-12_08:00,19695.7,191401,127234,72257,10554.3,1051.23
Jiangsu,2050-06-12_12:00,23472.5,194829,147201,59494.9,10554.3,1051.23
Jiangsu,2050-06-12_16:00,28007.6,191401,150014,57788.5,10554.3,1051.23
Jiangsu,2050-06-12_20:00,28619.3,117735,145303,0,0,1051.23
Jiangsu,2050-12-12_00:00,54815.7,82522.8,137338,0,0,0
Jiangsu,2050-12-12_04:00,55316.4,70991.7,126308,0,0,0
Jiangsu,2050-12-12_08:00,50861.3,177219,138551,89529,0,0
Jiangsu,2050-12-12_12:00,57417.6,195683,160295,92806,0,0
Jiangsu,2050-12-12_16:00,150569,12788.7,163358,0,0,0
Jiangsu,2050-12-12_20:00,104929,53298.4,158227,0,0,0
Shanghai,2040-06-26_00:00,8653.11,21539.7,30192.8,0,0,0
Shanghai,2040-06-26_04:00,14220.9,12068.8,26289.7,0,0,0
Shanghai,2040-06-26_08:00,4432.07,28490.9,32922.9,0,0,0
Shanghai,2040-06-26_12:00,5466.32,35023.5,40489.8,0,0,0
Shanghai,2040-06-26_16:00,4963.33,35023.5,39986.8,0,0,0
Shanghai,2040-06-26_20:00,36973.6,0,36973.6,0,0,0
Shanghai,2040-12-19_00:00,43429.5,-9181.16,34248.3,0,0,0
Shanghai,2040-12-19_04:00,32585.7,-2764.72,29821,0,0,0
Shanghai,2040-12-19_08:00,3321.67,34023.5,37345.2,0,0,0
Shanghai,2040-12-19_12:00,6051.2,39877.2,45928.4,0,0,0
Shanghai,2040-12-19_16:00,43617.1,1740.8,45357.9,0,0,0
Shanghai,2040-12-19_20:00,44343.4,-2403.58,41939.9,0,0,0
Shanghai,2050-06-12_00:00,0,40048.9,35736.6,0,0,4312.34
Shanghai,2050-06-12_04:00,0,35429.2,31116.8,0,0,4312.34
Shanghai,2050-06-12_08:00,5684.41,80891.8,38968,0,43295.9,4312.34
Shanghai,2050-06-12_12:00,7298.38,88234.1,47924.2,0,43295.9,4312.34
Shanghai,2050-06-12_16:00,3837.47,91099.6,47328.9,0,43295.9,4312.34
Shanghai,2050-06-12_20:00,0,48074.7,43762.4,0,0,4312.34
Shanghai,2050-12-12_00:00,16431.2,24105.5,40536.7,0,0,0
Shanghai,2050-12-12_04:00,16431.2,18865.3,35296.5,0,0,0
Shanghai,2050-12-12_08:00,2350.29,41851.9,44202.2,0,0,0
Shanghai,2050-12-12_12:00,4955,49406.4,54361.4,0,0,0
Shanghai,2050-12-12_16:00,65.5886,53620.5,53686.1,0,0,0
Shanghai,2050-12-12_20:00,16431.2,33209.3,49640.5,0,0,0
Zhejiang,2040-06-26_00:00,80005.9,-2578.95,77427,0,0,0
Zhejiang,2040-06-26_04:00,80712.8,-12194.1,67563.8,954.946,0,0
Zhejiang,2040-06-26_08:00,132409,-23903.1,85272.6,23233.6,0,0
Zhejiang,2040-06-26_12:00,135039,-25499.8,92375.3,17163.7,0,0
Zhejiang,2040-06-26_16:00,103184,364.495,99622.7,3925.89,0,0
Zhejiang,2040-06-26_20:00,81748.5,6718.42,88466.9,0,0,0
Zhejiang,2040-12-19_00:00,70016.5,15505,85521.4,0,0,0
Zhejiang,2040-12-19_04:00,68828.5,5798.63,74627.1,0,0,0
Zhejiang,2040-12-19_08:00,70474.2,34156.1,94187.2,10443.1,0,0
Zhejiang,2040-12-19_12:00,91653,50707.1,102033,40327.6,0,0
Zhejiang,2040-12-19_16:00,93167,16870.6,110038,0,0,0
Zhejiang,2040-12-19_20:00,71592.1,26123.4,97715.5,0,0,0
Zhejiang,2050-06-12_00:00,35272.6,56371,91643.5,0,0,0
Zhejiang,2050-06-12_04:00,62733.6,17235.8,79969.3,0,0,0
Zhejiang,2050-06-12_08:00,44383.9,91604.2,100930,35058.4,0,0
Zhejiang,2050-06-12_12:00,70921.3,95829,109337,57413.8,0,0
Zhejiang,2050-06-12_16:00,55749.8,91246.5,117915,29081.6,0,0
Zhejiang,2050-06-12_20:00,53782,50928.5,104711,0,0,0
Zhejiang,2050-12-12_00:00,57067.6,44156.6,101224,0,0,0
Zhejiang,2050-12-12_04:00,58777.6,29552,88329.6,0,0,0
Zhejiang,2050-12-12_08:00,88627.8,73095.1,111481,50241.8,0,0
Zhejiang,2050-12-12_12:00,113229,63953.3,120767,56415.2,0,0
Zhejiang,2050-12-12_16:00,107040,23202,130242,0,0,0
Zhejiang,2050-12-12_20:00,77623.3,38034.1,115657,0,0,0
