load_zone,timestamp,component,injects_or_withdraws,value
Anhui,2040.06.26.00,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.06.26.00,InjectIntoDistributedGrid,injects,33132.3237565333
Anhui,2040.06.26.00,zone_demand_mw,withdraws,-33132.3237565333
Anhui,2040.06.26.04,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.06.26.04,InjectIntoDistributedGrid,injects,28414.1078539944
Anhui,2040.06.26.04,zone_demand_mw,withdraws,-28414.1078539944
Anhui,2040.06.26.08,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.06.26.08,InjectIntoDistributedGrid,injects,29897.584032853898
Anhui,2040.06.26.08,zone_demand_mw,withdraws,-29897.5840328539
Anhui,2040.06.26.12,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.06.26.12,InjectIntoDistributedGrid,injects,35332.3644189294
Anhui,2040.06.26.12,zone_demand_mw,withdraws,-35332.3644189294
Anhui,2040.06.26.16,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.06.26.16,InjectIntoDistributedGrid,injects,36075.6810808481
Anhui,2040.06.26.16,zone_demand_mw,withdraws,-36075.6810808481
Anhui,2040.06.26.20,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.06.26.20,InjectIntoDistributedGrid,injects,37839.8865328229
Anhui,2040.06.26.20,zone_demand_mw,withdraws,-37839.8865328229
Anhui,2040.12.19.00,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.12.19.00,InjectIntoDistributedGrid,injects,35815.652879617
Anhui,2040.12.19.00,zone_demand_mw,withdraws,-35815.652879617
Anhui,2040.12.19.04,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.12.19.04,InjectIntoDistributedGrid,injects,30715.316899014404
Anhui,2040.12.19.04,zone_demand_mw,withdraws,-30715.3168990144
Anhui,2040.12.19.08,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.12.19.08,InjectIntoDistributedGrid,injects,32318.937226632806
Anhui,2040.12.19.08,zone_demand_mw,withdraws,-32318.9372266328
Anhui,2040.12.19.12,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.12.19.12,InjectIntoDistributedGrid,injects,38193.8709987094
Anhui,2040.12.19.12,zone_demand_mw,withdraws,-38193.8709987094
Anhui,2040.12.19.16,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.12.19.16,InjectIntoDistributedGrid,injects,38997.3875808407
Anhui,2040.12.19.16,zone_demand_mw,withdraws,-38997.3875808407
Anhui,2040.12.19.20,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2040.12.19.20,InjectIntoDistributedGrid,injects,40904.472955853
Anhui,2040.12.19.20,zone_demand_mw,withdraws,-40904.472955853
Anhui,2050.06.12.00,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.06.12.00,InjectIntoDistributedGrid,injects,39215.8313042649
Anhui,2050.06.12.00,zone_demand_mw,withdraws,-39215.8313042649
Anhui,2050.06.12.04,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.06.12.04,InjectIntoDistributedGrid,injects,33631.292162045
Anhui,2050.06.12.04,zone_demand_mw,withdraws,-33631.292162045
Anhui,2050.06.12.08,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.06.12.08,InjectIntoDistributedGrid,injects,35387.1530549163
Anhui,2050.06.12.08,zone_demand_mw,withdraws,-35387.1530549163
Anhui,2050.06.12.12,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.06.12.12,InjectIntoDistributedGrid,injects,41819.82684991499
Anhui,2050.06.12.12,zone_demand_mw,withdraws,-41819.826849915
Anhui,2050.06.12.16,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.06.12.16,InjectIntoDistributedGrid,injects,42699.6257144213
Anhui,2050.06.12.16,zone_demand_mw,withdraws,-42699.6257144213
Anhui,2050.06.12.20,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.06.12.20,InjectIntoDistributedGrid,injects,44787.7612734935
Anhui,2050.06.12.20,zone_demand_mw,withdraws,-44787.7612734935
Anhui,2050.12.12.00,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.12.12.00,InjectIntoDistributedGrid,injects,42391.8530948863
Anhui,2050.12.12.00,zone_demand_mw,withdraws,-42391.8530948863
Anhui,2050.12.12.04,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.12.12.04,InjectIntoDistributedGrid,injects,36355.0318661627
Anhui,2050.12.12.04,zone_demand_mw,withdraws,-36355.0318661627
Anhui,2050.12.12.08,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.12.12.08,InjectIntoDistributedGrid,injects,38253.0968707814
Anhui,2050.12.12.08,zone_demand_mw,withdraws,-38253.0968707814
Anhui,2050.12.12.12,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.12.12.12,InjectIntoDistributedGrid,injects,45206.74169878869
Anhui,2050.12.12.12,zone_demand_mw,withdraws,-45206.7416987887
Anhui,2050.12.12.16,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.12.12.16,InjectIntoDistributedGrid,injects,46157.7939390901
Anhui,2050.12.12.16,zone_demand_mw,withdraws,-46157.7939390901
Anhui,2050.12.12.20,ZoneTotalDistributedDispatch,injects,0.0
Anhui,2050.12.12.20,InjectIntoDistributedGrid,injects,48415.0439556865
Anhui,2050.12.12.20,zone_demand_mw,withdraws,-48415.0439556865
Fujian,2040.06.26.00,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.06.26.00,InjectIntoDistributedGrid,injects,43305.22595271
Fujian,2040.06.26.00,zone_demand_mw,withdraws,-43305.22595271
Fujian,2040.06.26.04,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.06.26.04,InjectIntoDistributedGrid,injects,39286.2529609592
Fujian,2040.06.26.04,zone_demand_mw,withdraws,-39286.2529609592
Fujian,2040.06.26.08,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.06.26.08,InjectIntoDistributedGrid,injects,40944.2984287789
Fujian,2040.06.26.08,zone_demand_mw,withdraws,-40944.2984287789
Fujian,2040.06.26.12,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.06.26.12,InjectIntoDistributedGrid,injects,48929.9676967455
Fujian,2040.06.26.12,zone_demand_mw,withdraws,-48929.9676967455
Fujian,2040.06.26.16,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.06.26.16,InjectIntoDistributedGrid,injects,49724.9588668901
Fujian,2040.06.26.16,zone_demand_mw,withdraws,-49724.9588668901
Fujian,2040.06.26.20,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.06.26.20,InjectIntoDistributedGrid,injects,48043.4820975114
Fujian,2040.06.26.20,zone_demand_mw,withdraws,-48043.4820975114
Fujian,2040.12.19.00,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.12.19.00,InjectIntoDistributedGrid,injects,40699.3924060829
Fujian,2040.12.19.00,zone_demand_mw,withdraws,-40699.3924060829
Fujian,2040.12.19.04,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.12.19.04,InjectIntoDistributedGrid,injects,36922.2556919289
Fujian,2040.12.19.04,zone_demand_mw,withdraws,-36922.2556919289
Fujian,2040.12.19.08,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.12.19.08,InjectIntoDistributedGrid,injects,38480.5305106681
Fujian,2040.12.19.08,zone_demand_mw,withdraws,-38480.5305106681
Fujian,2040.12.19.12,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.12.19.12,InjectIntoDistributedGrid,injects,45985.67290426949
Fujian,2040.12.19.12,zone_demand_mw,withdraws,-45985.6729042695
Fujian,2040.12.19.16,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.12.19.16,InjectIntoDistributedGrid,injects,46732.82655330989
Fujian,2040.12.19.16,zone_demand_mw,withdraws,-46732.8265533099
Fujian,2040.12.19.20,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2040.12.19.20,InjectIntoDistributedGrid,injects,45152.5303799708
Fujian,2040.12.19.20,zone_demand_mw,withdraws,-45152.5303799708
Fujian,2050.06.12.00,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.06.12.00,InjectIntoDistributedGrid,injects,51256.6051217484
Fujian,2050.06.12.00,zone_demand_mw,withdraws,-51256.6051217484
Fujian,2050.06.12.04,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.06.12.04,InjectIntoDistributedGrid,injects,46499.6986029348
Fujian,2050.06.12.04,zone_demand_mw,withdraws,-46499.6986029348
Fujian,2050.06.12.08,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.06.12.08,InjectIntoDistributedGrid,injects,48462.1818817599
Fujian,2050.06.12.08,zone_demand_mw,withdraws,-48462.1818817599
Fujian,2050.06.12.12,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.06.12.12,InjectIntoDistributedGrid,injects,57914.1195473901
Fujian,2050.06.12.12,zone_demand_mw,withdraws,-57914.1195473901
Fujian,2050.06.12.16,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.06.12.16,InjectIntoDistributedGrid,injects,58855.0810038174
Fujian,2050.06.12.16,zone_demand_mw,withdraws,-58855.0810038174
Fujian,2050.06.12.20,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.06.12.20,InjectIntoDistributedGrid,injects,56864.8641444585
Fujian,2050.06.12.20,zone_demand_mw,withdraws,-56864.8641444585
Fujian,2050.12.12.00,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.12.12.00,InjectIntoDistributedGrid,injects,48172.3080611967
Fujian,2050.12.12.00,zone_demand_mw,withdraws,-48172.3080611967
Fujian,2050.12.12.04,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.12.12.04,InjectIntoDistributedGrid,injects,43701.641974390695
Fujian,2050.12.12.04,zone_demand_mw,withdraws,-43701.6419743907
Fujian,2050.12.12.08,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.12.12.08,InjectIntoDistributedGrid,injects,45546.0354695893
Fujian,2050.12.12.08,zone_demand_mw,withdraws,-45546.0354695893
Fujian,2050.12.12.12,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.12.12.12,InjectIntoDistributedGrid,injects,54429.2155382351
Fujian,2050.12.12.12,zone_demand_mw,withdraws,-54429.2155382351
Fujian,2050.12.12.16,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.12.12.16,InjectIntoDistributedGrid,injects,55313.5559085164
Fujian,2050.12.12.16,zone_demand_mw,withdraws,-55313.5559085164
Fujian,2050.12.12.20,ZoneTotalDistributedDispatch,injects,0.0
Fujian,2050.12.12.20,InjectIntoDistributedGrid,injects,53443.097663576
Fujian,2050.12.12.20,zone_demand_mw,withdraws,-53443.097663576
Jiangsu,2040.06.26.00,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.06.26.00,InjectIntoDistributedGrid,injects,100907.79308118697
Jiangsu,2040.06.26.00,zone_demand_mw,withdraws,-100907.793081187
Jiangsu,2040.06.26.04,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.06.26.04,InjectIntoDistributedGrid,injects,92803.3284453336
Jiangsu,2040.06.26.04,zone_demand_mw,withdraws,-92803.3284453336
Jiangsu,2040.06.26.08,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.06.26.08,InjectIntoDistributedGrid,injects,101798.85738452496
Jiangsu,2040.06.26.08,zone_demand_mw,withdraws,-101798.857384525
Jiangsu,2040.06.26.12,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.06.26.12,InjectIntoDistributedGrid,injects,117774.63906031297
Jiangsu,2040.06.26.12,zone_demand_mw,withdraws,-117774.639060313
Jiangsu,2040.06.26.16,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.06.26.16,InjectIntoDistributedGrid,injects,120025.284698172
Jiangsu,2040.06.26.16,zone_demand_mw,withdraws,-120025.284698172
Jiangsu,2040.06.26.20,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.06.26.20,InjectIntoDistributedGrid,injects,116255.62862482895
Jiangsu,2040.06.26.20,zone_demand_mw,withdraws,-116255.628624829
Jiangsu,2040.12.19.00,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.12.19.00,InjectIntoDistributedGrid,injects,109883.56361346296
Jiangsu,2040.12.19.00,zone_demand_mw,withdraws,-109883.563613463
Jiangsu,2040.12.19.04,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.12.19.04,InjectIntoDistributedGrid,injects,101058.20505418598
Jiangsu,2040.12.19.04,zone_demand_mw,withdraws,-101058.205054186
Jiangsu,2040.12.19.08,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.12.19.08,InjectIntoDistributedGrid,injects,110853.88828383602
Jiangsu,2040.12.19.08,zone_demand_mw,withdraws,-110853.888283836
Jiangsu,2040.12.19.12,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.12.19.12,InjectIntoDistributedGrid,injects,128250.71927620405
Jiangsu,2040.12.19.12,zone_demand_mw,withdraws,-128250.719276204
Jiangsu,2040.12.19.16,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.12.19.16,InjectIntoDistributedGrid,injects,130701.56034177002
Jiangsu,2040.12.19.16,zone_demand_mw,withdraws,-130701.56034177
Jiangsu,2040.12.19.20,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2040.12.19.20,InjectIntoDistributedGrid,injects,126596.59252622402
Jiangsu,2040.12.19.20,zone_demand_mw,withdraws,-126596.592526224
Jiangsu,2050.06.12.00,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.06.12.00,InjectIntoDistributedGrid,injects,119435.72143735297
Jiangsu,2050.06.12.00,zone_demand_mw,withdraws,-119435.721437353
Jiangsu,2050.06.12.04,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.06.12.04,InjectIntoDistributedGrid,injects,109843.17609382405
Jiangsu,2050.06.12.04,zone_demand_mw,withdraws,-109843.176093824
Jiangsu,2050.06.12.08,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.06.12.08,InjectIntoDistributedGrid,injects,120490.39625152304
Jiangsu,2050.06.12.08,zone_demand_mw,withdraws,-120490.396251523
Jiangsu,2050.06.12.12,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.06.12.12,InjectIntoDistributedGrid,injects,139399.53053848798
Jiangsu,2050.06.12.12,zone_demand_mw,withdraws,-139399.530538488
Jiangsu,2050.06.12.16,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.06.12.16,InjectIntoDistributedGrid,injects,142063.422763752
Jiangsu,2050.06.12.16,zone_demand_mw,withdraws,-142063.422763752
Jiangsu,2050.06.12.20,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.06.12.20,InjectIntoDistributedGrid,injects,137601.61085663602
Jiangsu,2050.06.12.20,zone_demand_mw,withdraws,-137601.610856636
Jiangsu,2050.12.12.00,ZoneTotalDistributedDispatch,injects,0.0
Jiangsu,2050.12.12.00,InjectIntoDistributedGrid,injects,130059.55529839103
