load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_OT_H2,Coal_1000_RC,Coal_1000_RC_H2,Coal_1000_SEA,Coal_1000_SEA_H2,Coal_100_OT,Coal_100_OT_H2,Coal_100_RC,Coal_100_RC_H2,Coal_100_SEA,Coal_100_SEA_H2,Coal_300_OT,Coal_300_OT_H2,Coal_300_RC,Coal_300_RC_H2,Coal_300_SEA,Coal_300_SEA_H2,Coal_600_OT,Coal_600_OT_H2,Coal_600_RC,Coal_600_RC_H2,Coal_600_SEA,Coal_600_SEA_H2,Coal_IGCC_RC,Coal_IGCC_RC_H2,Coal_Small_OT,Coal_Small_OT_H2,Coal_Small_RC,Coal_Small_RC_H2,Coal_Small_SEA,Coal_Small_SEA_H2,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_OT_H2,EP_Coal_1000_RC,EP_Coal_1000_RC_H2,EP_Coal_1000_SEA,EP_Coal_1000_SEA_H2,EP_Coal_300_OT,EP_Coal_300_OT_H2,EP_Coal_300_RC,EP_Coal_300_RC_H2,EP_Coal_300_SEA,EP_Coal_300_SEA_H2,EP_Coal_600_OT,EP_Coal_600_OT_H2,EP_Coal_600_RC,EP_Coal_600_RC_H2,EP_Coal_600_SEA,EP_Coal_600_SEA_H2,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Fuel_Cell,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,TXPowerNet
Anhui,2038,0.0,391454.22810353746,8761.032022012203,76579.05137013584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2662.8037510525555,5548.0,0.0,44661.4,0.0,0.0,0.0,2712.896,0.0,4894.400000000001,0.0,0.0,0.0,36283.92,0.0,117506.64,0.0,0.0,0.0,0.0,0.0,0.0,-1.6982573350637323e-12,0.0,0.0,0.0,0.0,6801.972220137178,5053.663126420315,0.0,0.0,17799.16283904,0.0,0.0,14869.48687240464,3579.874248129312,-410298.11552619433
Anhui,2048,729363.6109584359,2654720.780750572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2368.515446899111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90944.90613910585,0.0,0.0,0.0,0.0,6801.972220137178,7236.555613239278,0.0,0.0,17799.16283904,0.0,0.0,19846.772936233017,0.0,-1904511.9320690352
Fujian,2038,73297.10127742642,474091.5282173303,1571.2751926143999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3287.5391599232007,0.0,0.0,0.0,0.0,19440.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1845.8880000000001,0.0,0.0,0.0,17983.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130636,2091.0335735098733,57131.52565739527,49693.74782423042,0.0,83777.66135766721,2115.1319351254047,40885.349702727246,7569.151707459888,-359119.3990084585
Fujian,2048,82870.86826678892,260713.22643776904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2107.7549545248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.367027130662,2445.232380807482,57131.52565739527,49693.74782423042,0.0,112675.0194679956,1373.7469783333413,47116.01620513555,0.0,-53327.94959166653
Jiangsu,2038,34965.15136350767,7459.969936420497,8460.633410713375,111200.68326313881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5877.064387538283,93013.54744916668,0.0,43154.206,0.0,10408.2,0.0,1992.72,0.0,5209.04,0.0,0.0,0.0,73899.36,0.0,15478.92,0.0,19223.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6108.30709376405,4868.8664861389025,49080.244764671996,29645.073766809594,0.0,0.0,0.0,31869.352441922176,5413.783481629645,541184.9362049133
Jiangsu,2048,200957.49235970952,15529.018776648325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7670.253800693721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8844.08105071466,0.0,0.0,0.0,0.0,6108.3070937640505,6971.7323577202005,33992.6139666432,44732.704564838394,0.0,178194.67680779408,0.0,43925.50234574009,0.0,990459.8206491327
Shanghai,2038,0.0,7287.139469906688,842.3705913923328,118848.35501744688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3117.608948164481,19635.861048636052,0.0,0.0,0.0,10408.2,0.0,664.24,0.0,0.0,0.0,0.0,0.0,6415.464,0.0,5832.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4374.826970906048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.477378592001,0.0,147.29014496597574,140784.8635623294
Shanghai,2048,0.0,9570.0616035948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3481.73808663296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36280.130943767566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4551.034344864001,0.0,0.0,440554.9230513076
Zhejiang,2038,43374.30218446372,212016.67897804797,14376.497776889139,24935.293987740093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7556.24622971904,0.0,0.0,9720.4,0.0,77763.2,0.0,419.52,0.0,839.04,0.0,894.976,0.0,0.0,0.0,10404.096,0.0,36216.688145204826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092162,10062.559287569335,72264.6011265024,27766.694028902406,0.0,177402.118407136,9686.66003974144,23975.26087206656,2996.6536337872158,68447.04308309777
Zhejiang,2048,112773.04971208502,135585.629824512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5114.876199960576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23990.743137092166,14410.143700978955,52465.87276001285,47565.422395391986,0.0,180149.8092174368,6564.0787760128,24859.5005519616,0.0,492114.5808812062
