STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Anhui-Battery_Storage-11177,2038,-0.0
Anhui-Battery_Storage-11177,2048,2468684.338981247
Anhui-Hydro_Pumped-ep-35020,2000,1920.0
Anhui-Hydro_Pumped-ep-35027,2007,14400.0
Anhui-Hydro_Pumped-ep-35039,2020,43200.0
Anhui-Hydro_Pumped-ep-35040,2020,28800.0
Fujian-Battery_Storage-11178,2038,268287.4388298497
Fujian-Battery_Storage-11178,2048,0.0
Fujian-Hydro_Pumped-ep-35041,2020,33600.0
Jiangsu-Battery_Storage-11179,2038,289784.9572037195
Jiangsu-Battery_Storage-11179,2048,260783.5150146627
Jiangsu-Hydro_Pumped-ep-35005,2010,26217.6
Jiangsu-Hydro_Pumped-ep-35022,2002,2400.0
Jiangsu-Hydro_Pumped-ep-35028,2008,24000.0
Jiangsu-Hydro_Pumped-ep-35037,2020,32400.0
Shanghai-Battery_Storage-11180,2038,-0.0
Shanghai-Battery_Storage-11180,2048,0.0
Zhejiang-Battery_Storage-11181,2038,210471.4834374464
Zhejiang-Battery_Storage-11181,2048,98495.77604771809
Zhejiang-Hydro_Pumped-ep-35006,2010,15422.16
Zhejiang-Hydro_Pumped-ep-35017,1998,1920.0
Zhejiang-Hydro_Pumped-ep-35018,2000,43200.0
Zhejiang-Hydro_Pumped-ep-35023,2006,28800.0
Zhejiang-Hydro_Pumped-ep-35038,2020,50400.0
Zhejiang-Hydro_Pumped-ep-35054,2016,36000.0
