BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingency
East_China,2040.06.26.00,-0.0
East_China,2040.06.26.04,1897.15413256443
East_China,2040.06.26.08,140860.8530657425
East_China,2040.06.26.12,127602.6124462473
East_China,2040.06.26.16,91711.10903068422
East_China,2040.06.26.20,34377.00896144958
East_China,2040.12.19.00,34377.00896144958
East_China,2040.12.19.04,81708.55197139044
East_China,2040.12.19.08,74034.44622503463
East_China,2040.12.19.12,271775.4714512663
East_China,2040.12.19.16,-0.0
East_China,2040.12.19.20,34377.00896144958
East_China,2050.06.12.00,204832.1863278184
East_China,2050.06.12.04,331593.6987449309
East_China,2050.06.12.08,1134459.189861317
East_China,2050.06.12.12,325047.1256801987
East_China,2050.06.12.16,1046672.905776501
East_China,2050.06.12.20,225744.5490276206
East_China,2050.12.12.00,245513.5734304489
East_China,2050.12.12.04,284885.377854697
East_China,2050.12.12.08,812196.7603189396
East_China,2050.12.12.12,1195576.923932185
East_China,2050.12.12.16,447038.7237091459
East_China,2050.12.12.20,320412.9438659913
