load_zone,period,Battery_Storage,Central_PV,Central_PV_EP,Coal_1000_OT,Coal_1000_OT_H2,Coal_1000_RC,Coal_1000_RC_H2,Coal_1000_SEA,Coal_1000_SEA_H2,Coal_100_OT,Coal_100_OT_H2,Coal_100_RC,Coal_100_RC_H2,Coal_100_SEA,Coal_100_SEA_H2,Coal_300_OT,Coal_300_OT_H2,Coal_300_RC,Coal_300_RC_H2,Coal_300_SEA,Coal_300_SEA_H2,Coal_600_OT,Coal_600_OT_H2,Coal_600_RC,Coal_600_RC_H2,Coal_600_SEA,Coal_600_SEA_H2,Coal_IGCC_RC,Coal_IGCC_RC_H2,Coal_Small_OT,Coal_Small_OT_H2,Coal_Small_RC,Coal_Small_RC_H2,Coal_Small_SEA,Coal_Small_SEA_H2,Commercial_PV,EP_Coal_1000_OT,EP_Coal_1000_OT_H2,EP_Coal_1000_RC,EP_Coal_1000_RC_H2,EP_Coal_1000_SEA,EP_Coal_1000_SEA_H2,EP_Coal_300_OT,EP_Coal_300_OT_H2,EP_Coal_300_RC,EP_Coal_300_RC_H2,EP_Coal_300_SEA,EP_Coal_300_SEA_H2,EP_Coal_600_OT,EP_Coal_600_OT_H2,EP_Coal_600_RC,EP_Coal_600_RC_H2,EP_Coal_600_SEA,EP_Coal_600_SEA_H2,EP_Gas_CCGT_OT,EP_Gas_CCGT_RC,EP_Gas_CCGT_SEA,Fuel_Cell,Gas_CCGT_OT,Gas_CCGT_RC,Gas_CCGT_SEA,Gas_Combustion_Turbine_RC,Hydro_NonPumped,Hydro_Pumped,Nuclear_EP_SEA,Nuclear_SEA,Nuclear_SMR,Offshore_Wind,Residential_PV,Wind,Wind_EP,hydro,fuel cells
Anhui,2038,0.0,508784.0320068357,8878.5,13803.00132843111,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2266.666666,1000.0,0.0,8050.0,0.0,0,0,1940.0,0.0,3500.0,0.0,0,0,6540.0,0.0,21180.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,2001.3781652464163,3140.9065708184053,0,0,2350.0,0,0.0,9030.0,2174.0,0,0
Anhui,2048,411447.3898302079,1684036.5221250746,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2266.666666,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,31522.05320371625,0.0,0.0,0,0.0,2001.3781652464163,3680.0,0,0,2350.0,0,0.0,9030.0,0.0,0,0
Fujian,2038,44714.57313830828,280000.00002,928.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2400.0,0,0,0,0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.0,0.0,0,0,12860.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7854.075184056108,1400.0,7543.0,6561.0,0.0,28050.0,1599.9999999000001,12200.000000999999,2258.6,0,0
Fujian,2048,44714.57313830828,280000.00002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,2400.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11586.23,1400.0,7543.0,6561.0,0.0,28050.0,1599.9999999000001,12200.000000999999,0.0,0,0
Jiangsu,2038,48297.49286728659,8000.000001,9073.1,32323.395391595433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4228.571428,17060.0,0.0,8030.0,0.0,2000.0,0.0,2850.0,0.0,7450.0,0.0,0,0,17760.0,0.0,3720.0,0.0,4620.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2648.72,3034.610052436681,6480.0,3914.0,0.0,0.0,0.0,35000.00000400001,5945.6,0,0
Jiangsu,2048,91761.41203639704,8000.000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4228.571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3065.41185486727,0.0,0.0,0.0,0.0,2648.72,3542.4,4488.0,5906.0,0.0,107620.0,0.0,35000.00000400001,0.0,0,0
Shanghai,2038,0.0,5001.0,578.1,36606.70118024819,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,3800.0,0.0,0,0,2000.0,0.0,950.0,0.0,0,0,0,0,1320.0,0.0,1200.0,0.0,0,0,0.0,0.0,0.0,0.0,766.2788536691199,0.0,0.0,0.0,0,0,0,0,0,0.0,3000.0,0.0,671.9,0,0
Shanghai,2048,0.0,5001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,16766.54971891062,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,3000.0,0.0,0.0,0,0
Zhejiang,2038,35078.58057290773,120000.0,8137.0,11887.53527256869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0,0,2000.0,0.0,16000.0,0.0,600.0,0.0,1200.0,0.0,1280.0,0.0,0,0,3720.0,0.0,14160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.67,6270.387053541873,9541.0,3666.0,0.0,53840.0,6400.0,9440.0,1179.8999999999999,0,0
Zhejiang,2048,51494.543247527414,120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10404.67,7322.59,6927.0,6280.0,0.0,53840.0,6400.0,9440.0,0.0,0,0
